#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-50.01,53.33
2,101.2,0.0500,-49.90,50.27
3,102.3,0.0500,-49.99,53.23
4,103.5,0.0500,-49.57,51.30
5,104.7,0.0500,-49.53,52.76
6,105.9,0.0500,-49.57,53.87
7,107.2,0.0500,-49.54,52.82
8,108.4,0.0500,-49.54,54.21
9,109.6,0.0500,-49.48,53.30
10,110.9,0.0500,-49.35,53.13
11,112.2,0.0500,-49.53,52.99
12,113.5,0.0500,-49.41,53.41
13,114.8,0.0500,-49.28,54.05
14,116.1,0.0500,-49.07,52.42
15,117.5,0.0500,-49.48,52.49
16,118.9,0.0500,-49.39,53.11
17,120.2,0.0500,-49.22,53.93
18,121.6,0.0500,-49.08,54.45
19,123.0,0.0500,-48.97,52.42
20,124.5,0.0500,-48.63,52.40
21,125.9,0.0500,-48.81,52.64
22,127.4,0.0500,-48.85,53.30
23,128.8,0.0500,-48.82,51.20
24,130.3,0.0500,-48.85,54.16
25,131.8,0.0500,-48.83,52.38
26,133.4,0.0500,-48.53,53.72
27,134.9,0.0500,-48.56,52.14
28,136.5,0.0500,-48.58,54.01
29,138.0,0.0500,-48.60,53.34
30,139.6,0.0500,-48.30,52.95
31,141.3,0.0500,-48.22,52.60
32,142.9,0.0500,-48.25,54.62
33,144.5,0.0500,-48.23,53.50
34,146.2,0.0500,-48.01,53.57
35,147.9,0.0500,-48.02,52.47
36,149.6,0.0500,-47.99,53.51
37,151.4,0.0500,-47.83,52.79
38,153.1,0.0500,-47.89,53.32
39,154.9,0.0500,-48.15,52.39
40,156.7,0.0500,-47.86,53.27
41,158.5,0.0500,-47.66,54.56
42,160.3,0.0500,-47.60,53.89
43,162.2,0.0500,-47.49,53.38
44,164.1,0.0500,-47.69,53.12
45,166.0,0.0500,-47.49,54.08
46,167.9,0.0500,-47.62,53.63
47,169.8,0.0500,-47.51,53.43
48,171.8,0.0500,-47.47,53.54
49,173.8,0.0500,-47.31,53.12
50,175.8,0.0500,-47.29,54.10
51,177.8,0.0500,-47.20,53.46
52,179.9,0.0500,-47.06,53.21
53,182.0,0.0500,-47.24,54.28
54,184.1,0.0500,-47.09,54.75
55,186.2,0.0500,-47.01,55.26
56,188.4,0.0500,-46.85,55.18
57,190.5,0.0500,-47.00,54.23
58,192.8,0.0500,-46.91,54.86
59,195.0,0.0500,-46.92,54.12
60,197.2,0.0500,-46.92,54.96
61,199.5,0.0500,-46.67,55.37
62,201.8,0.0500,-46.57,54.89
63,204.2,0.0500,-46.52,54.65
64,206.5,0.0500,-46.50,55.96
65,208.9,0.0500,-46.49,55.15
66,211.3,0.0500,-46.37,54.59
67,213.8,0.0500,-46.25,55.18
68,216.3,0.0500,-46.33,54.97
69,218.8,0.0500,-46.16,54.30
70,221.3,0.0500,-46.16,54.94
71,223.9,0.0500,-46.15,55.15
72,226.5,0.0500,-46.12,55.60
73,229.1,0.0500,-46.00,55.82
74,231.7,0.0500,-45.89,55.48
75,234.4,0.0500,-45.87,55.47
76,237.1,0.0500,-45.90,56.31
77,239.9,0.0500,-45.51,55.15
78,242.7,0.0500,-45.66,56.12
79,245.5,0.0500,-45.52,55.22
80,248.3,0.0500,-45.60,55.77
81,251.2,0.0500,-45.50,56.22
82,254.1,0.0500,-45.37,56.14
83,257.0,0.0500,-45.29,56.55
84,260.0,0.0500,-45.32,55.80
85,263.0,0.0500,-45.22,56.43
86,266.1,0.0500,-45.20,55.86
87,269.2,0.0500,-45.22,56.47
88,272.3,0.0500,-45.09,56.48
89,275.4,0.0500,-44.93,56.37
90,278.6,0.0500,-44.86,56.31
91,281.8,0.0500,-44.92,56.61
92,285.1,0.0500,-44.78,56.68
93,288.4,0.0500,-44.69,56.93
94,291.7,0.0500,-44.61,56.49
95,295.1,0.0500,-44.53,57.60
96,298.5,0.0500,-44.55,57.44
97,302.0,0.0500,-44.47,57.34
98,305.5,0.0500,-44.46,56.80
99,309.0,0.0500,-44.22,57.96
100,312.6,0.0500,-44.39,57.83
101,316.2,0.0500,-44.16,57.70
102,319.9,0.0500,-44.17,57.10
103,323.6,0.0500,-44.07,57.39
104,327.3,0.0500,-44.08,57.14
105,331.1,0.0500,-44.03,57.60
106,335.0,0.0500,-43.95,57.63
107,338.8,0.0500,-43.75,56.90
108,342.8,0.0500,-43.74,57.64
109,346.7,0.0500,-43.69,58.01
110,350.8,0.0500,-43.53,58.65
111,354.8,0.0500,-43.53,58.23
112,358.9,0.0500,-43.62,58.32
113,363.1,0.0500,-43.40,58.40
114,367.3,0.0500,-43.30,58.14
115,371.5,0.0500,-43.30,58.04
116,375.8,0.0500,-43.18,58.73
117,380.2,0.0500,-43.22,58.75
118,384.6,0.0500,-43.07,58.77
119,389.0,0.0500,-43.02,58.71
120,393.6,0.0500,-42.95,58.59
121,398.1,0.0500,-42.94,59.04
122,402.7,0.0500,-42.86,59.40
123,407.4,0.0500,-42.72,59.06
124,412.1,0.0500,-42.75,58.77
125,416.9,0.0500,-42.62,60.06
126,421.7,0.0500,-42.61,59.45
127,426.6,0.0500,-42.45,59.60
128,431.5,0.0500,-42.50,59.36
129,436.5,0.0500,-42.38,59.45
130,441.6,0.0500,-42.32,59.64
131,446.7,0.0500,-42.20,59.55
132,451.9,0.0500,-42.18,59.66
133,457.1,0.0500,-42.08,59.25
134,462.4,0.0500,-41.97,59.95
135,467.7,0.0500,-41.88,59.65
136,473.2,0.0500,-41.83,59.83
137,478.6,0.0500,-41.82,59.89
