#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-49.90,52.57
2,101.2,0.0500,-49.88,51.15
3,102.3,0.0500,-49.71,53.66
4,103.5,0.0500,-49.74,53.02
5,104.7,0.0500,-50.06,51.09
6,105.9,0.0500,-49.73,51.72
7,107.2,0.0500,-49.82,55.15
8,108.4,0.0500,-49.61,52.63
9,109.6,0.0500,-49.38,52.84
10,110.9,0.0500,-49.45,54.25
11,112.2,0.0500,-49.57,52.31
12,113.5,0.0500,-49.39,53.41
13,114.8,0.0500,-49.52,52.63
14,116.1,0.0500,-49.41,54.25
15,117.5,0.0500,-49.42,54.12
16,118.9,0.0500,-49.22,54.07
17,120.2,0.0500,-49.34,52.75
18,121.6,0.0500,-49.15,52.65
19,123.0,0.0500,-49.12,54.25
20,124.5,0.0500,-49.07,53.19
21,125.9,0.0500,-49.00,52.25
22,127.4,0.0500,-48.96,53.29
23,128.8,0.0500,-49.08,52.83
24,130.3,0.0500,-48.72,52.55
25,131.8,0.0500,-48.71,53.54
26,133.4,0.0500,-48.64,52.38
27,134.9,0.0500,-48.63,52.55
28,136.5,0.0500,-48.70,53.86
29,138.0,0.0500,-48.62,51.85
30,139.6,0.0500,-48.34,52.17
31,141.3,0.0500,-48.50,52.58
32,142.9,0.0500,-48.47,53.43
33,144.5,0.0500,-48.23,52.77
34,146.2,0.0500,-48.20,52.94
35,147.9,0.0500,-48.24,53.39
36,149.6,0.0500,-48.34,52.31
37,151.4,0.0500,-48.05,52.83
38,153.1,0.0500,-48.15,53.58
39,154.9,0.0500,-48.08,53.53
40,156.7,0.0500,-47.86,53.26
41,158.5,0.0500,-47.91,53.22
42,160.3,0.0500,-47.92,53.77
43,162.2,0.0500,-47.85,52.50
44,164.1,0.0500,-47.87,53.23
45,166.0,0.0500,-47.81,52.30
46,167.9,0.0500,-47.74,53.70
47,169.8,0.0500,-47.59,53.15
48,171.8,0.0500,-47.42,54.70
49,173.8,0.0500,-47.53,54.32
50,175.8,0.0500,-47.44,52.91
51,177.8,0.0500,-47.37,54.17
52,179.9,0.0500,-47.35,54.71
53,182.0,0.0500,-47.27,54.34
54,184.1,0.0500,-47.18,54.51
55,186.2,0.0500,-47.07,54.34
56,188.4,0.0500,-47.04,53.79
57,190.5,0.0500,-47.13,53.89
58,192.8,0.0500,-46.90,54.27
59,195.0,0.0500,-46.78,54.18
60,197.2,0.0500,-47.00,54.37
61,199.5,0.0500,-46.87,54.07
62,201.8,0.0500,-46.67,54.60
63,204.2,0.0500,-46.65,54.37
64,206.5,0.0500,-46.68,54.59
65,208.9,0.0500,-46.76,54.42
66,211.3,0.0500,-46.59,54.78
67,213.8,0.0500,-46.49,55.05
68,216.3,0.0500,-46.34,54.61
69,218.8,0.0500,-46.31,55.44
70,221.3,0.0500,-46.47,55.34
71,223.9,0.0500,-46.31,54.82
72,226.5,0.0500,-46.26,55.05
73,229.1,0.0500,-46.25,54.82
74,231.7,0.0500,-46.15,55.71
75,234.4,0.0500,-45.97,55.00
76,237.1,0.0500,-45.93,54.93
77,239.9,0.0500,-45.92,54.70
78,242.7,0.0500,-45.90,54.47
79,245.5,0.0500,-45.67,55.72
80,248.3,0.0500,-45.67,55.88
81,251.2,0.0500,-45.57,55.65
82,254.1,0.0500,-45.56,56.85
83,257.0,0.0500,-45.43,55.52
84,260.0,0.0500,-45.51,56.54
85,263.0,0.0500,-45.49,55.51
86,266.1,0.0500,-45.35,56.43
87,269.2,0.0500,-45.37,56.11
88,272.3,0.0500,-45.29,55.91
89,275.4,0.0500,-45.15,56.49
90,278.6,0.0500,-45.11,56.36
91,281.8,0.0500,-44.95,56.54
92,285.1,0.0500,-45.13,56.81
93,288.4,0.0500,-45.04,56.77
94,291.7,0.0500,-44.90,57.01
95,295.1,0.0500,-44.91,57.29
96,298.5,0.0500,-44.64,56.69
97,302.0,0.0500,-44.61,56.93
98,305.5,0.0500,-44.58,57.30
99,309.0,0.0500,-44.56,56.43
100,312.6,0.0500,-44.45,57.07
101,316.2,0.0500,-44.42,57.60
102,319.9,0.0500,-44.32,57.25
103,323.6,0.0500,-44.24,58.22
104,327.3,0.0500,-44.21,57.74
105,331.1,0.0500,-44.15,57.55
106,335.0,0.0500,-44.04,56.94
107,338.8,0.0500,-43.96,58.45
108,342.8,0.0500,-43.95,57.77
109,346.7,0.0500,-43.88,57.71
110,350.8,0.0500,-43.81,57.17
111,354.8,0.0500,-43.76,58.62
112,358.9,0.0500,-43.55,58.02
113,363.1,0.0500,-43.56,57.46
114,367.3,0.0500,-43.59,58.57
115,371.5,0.0500,-43.46,58.80
116,375.8,0.0500,-43.38,57.81
117,380.2,0.0500,-43.36,58.62
118,384.6,0.0500,-43.34,58.93
119,389.0,0.0500,-43.20,58.67
120,393.6,0.0500,-43.19,58.67
121,398.1,0.0500,-43.08,58.47
122,402.7,0.0500,-43.00,58.60
123,407.4,0.0500,-42.86,58.61
124,412.1,0.0500,-42.80,59.01
125,416.9,0.0500,-42.86,58.66
126,421.7,0.0500,-42.74,58.84
127,426.6,0.0500,-42.79,58.96
128,431.5,0.0500,-42.54,58.97
129,436.5,0.0500,-42.55,59.37
130,441.6,0.0500,-42.47,59.16
131,446.7,0.0500,-42.39,59.03
132,451.9,0.0500,-42.32,59.43
133,457.1,0.0500,-42.17,59.76
134,462.4,0.0500,-42.21,59.39
135,467.7,0.0500,-42.14,59.63
136,473.2,0.0500,-42.08,59.35
137,478.6,0.0500,-42.00,59.81
138,484.2,0.0500,-42.02,59.28
