#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-68.45,1.40
2,101.2,0.0500,-68.21,6.56
3,102.3,0.0500,-67.10,-5.62
4,103.5,0.0500,-67.13,11.58
5,104.7,0.0500,-65.29,-5.87
6,105.9,0.0500,-66.28,4.34
7,107.2,0.0500,-66.75,12.60
8,108.4,0.0500,-68.61,1.79
9,109.6,0.0500,-66.81,-1.35
10,110.9,0.0500,-66.90,1.71
11,112.2,0.0500,-66.82,-1.67
12,113.5,0.0500,-65.17,-1.18
13,114.8,0.0500,-64.36,-7.00
14,116.1,0.0500,-66.51,12.35
15,117.5,0.0500,-66.21,3.18
16,118.9,0.0500,-67.61,4.89
17,120.2,0.0500,-66.69,4.20
18,121.6,0.0500,-67.40,7.22
19,123.0,0.0500,-66.90,11.00
20,124.5,0.0500,-65.86,-1.36
21,125.9,0.0500,-66.68,0.48
22,127.4,0.0500,-67.24,4.07
23,128.8,0.0500,-67.71,5.98
24,130.3,0.0500,-68.80,-8.02
25,131.8,0.0500,-67.68,0.39
26,133.4,0.0500,-68.90,16.54
27,134.9,0.0500,-67.27,3.83
28,136.5,0.0500,-68.56,1.91
29,138.0,0.0500,-66.31,2.58
30,139.6,0.0500,-66.66,6.77
31,141.3,0.0500,-67.43,11.50
32,142.9,0.0500,-67.20,9.36
33,144.5,0.0500,-67.10,10.02
34,146.2,0.0500,-67.36,10.08
35,147.9,0.0500,-66.74,6.90
36,149.6,0.0500,-66.82,-6.48
37,151.4,0.0500,-65.39,0.40
38,153.1,0.0500,-66.40,5.21
39,154.9,0.0500,-65.58,0.40
40,156.7,0.0500,-66.56,6.93
41,158.5,0.0500,-65.32,2.12
42,160.3,0.0500,-68.54,1.31
43,162.2,0.0500,-65.94,1.60
44,164.1,0.0500,-65.94,2.75
45,166.0,0.0500,-66.55,6.47
46,167.9,0.0500,-66.77,12.09
47,169.8,0.0500,-65.92,-1.94
48,171.8,0.0500,-67.06,5.04
49,173.8,0.0500,-66.11,12.25
50,175.8,0.0500,-67.52,8.71
51,177.8,0.0500,-66.92,6.22
52,179.9,0.0500,-67.36,4.65
53,182.0,0.0500,-66.63,11.35
54,184.1,0.0500,-65.99,4.29
55,186.2,0.0500,-66.82,16.80
56,188.4,0.0500,-68.40,2.75
57,190.5,0.0500,-66.20,3.57
58,192.8,0.0500,-66.28,4.04
59,195.0,0.0500,-65.43,5.93
60,197.2,0.0500,-66.32,4.12
61,199.5,0.0500,-66.81,9.75
62,201.8,0.0500,-66.14,8.75
63,204.2,0.0500,-66.98,7.07
64,206.5,0.0500,-66.63,-0.78
65,208.9,0.0500,-65.60,5.30
66,211.3,0.0500,-66.35,8.78
67,213.8,0.0500,-66.39,-0.20
68,216.3,0.0500,-67.71,2.90
69,218.8,0.0500,-67.16,3.29
70,221.3,0.0500,-66.12,-0.91
71,223.9,0.0500,-66.39,7.10
72,226.5,0.0500,-66.64,3.63
73,229.1,0.0500,-65.76,0.67
74,231.7,0.0500,-67.67,12.24
75,234.4,0.0500,-65.36,1.01
76,237.1,0.0500,-66.81,10.35
77,239.9,0.0500,-66.24,5.60
78,242.7,0.0500,-65.56,3.38
79,245.5,0.0500,-67.03,7.45
80,248.3,0.0500,-65.53,1.72
81,251.2,0.0500,-66.92,8.01
82,254.1,0.0500,-65.24,6.93
83,257.0,0.0500,-65.53,4.82
84,260.0,0.0500,-66.95,0.23
85,263.0,0.0500,-65.25,2.85
86,266.1,0.0500,-67.57,15.87
87,269.2,0.0500,-65.98,8.93
88,272.3,0.0500,-67.51,2.21
89,275.4,0.0500,-66.97,2.24
90,278.6,0.0500,-66.17,12.39
91,281.8,0.0500,-65.84,3.96
92,285.1,0.0500,-65.09,7.58
93,288.4,0.0500,-66.71,12.01
94,291.7,0.0500,-66.60,9.57
95,295.1,0.0500,-65.76,5.88
96,298.5,0.0500,-64.67,8.41
97,302.0,0.0500,-65.69,8.11
98,305.5,0.0500,-67.60,9.94
99,309.0,0.0500,-66.33,5.16
100,312.6,0.0500,-67.31,7.72
101,316.2,0.0500,-65.82,6.00
102,319.9,0.0500,-65.79,10.92
103,323.6,0.0500,-66.28,7.75
104,327.3,0.0500,-66.94,3.15
105,331.1,0.0500,-66.44,3.57
106,335.0,0.0500,-66.02,13.90
107,338.8,0.0500,-66.98,12.73
108,342.8,0.0500,-66.15,13.11
109,346.7,0.0500,-66.50,9.73
110,350.8,0.0500,-66.15,7.90
111,354.8,0.0500,-65.73,9.24
112,358.9,0.0500,-66.85,10.92
113,363.1,0.0500,-67.30,4.47
114,367.3,0.0500,-66.19,12.86
115,371.5,0.0500,-65.55,0.23
116,375.8,0.0500,-67.78,12.53
117,380.2,0.0500,-65.86,15.38
118,384.6,0.0500,-66.74,13.77
119,389.0,0.0500,-65.38,16.70
120,393.6,0.0500,-67.35,17.75
121,398.1,0.0500,-66.70,9.85
122,402.7,0.0500,-66.87,14.52
123,407.4,0.0500,-66.48,7.64
124,412.1,0.0500,-66.38,13.34
125,416.9,0.0500,-66.29,9.31
126,421.7,0.0500,-65.85,21.75
127,426.6,0.0500,-66.88,15.12
128,431.5,0.0500,-65.13,11.03
129,436.5,0.0500,-66.58,18.89
130,441.6,0.0500,-66.50,16.90
131,446.7,0.0500,-65.94,12.01
132,451.9,0.0500,-66.10,9.83
133,457.1,0.0500,-66.82,10.73
134,462.4,0.0500,-65.37,16.04
135,467.7,0.0500,-65.95,16.66
136,473.2,0.0500,-65.97,10.28
137,478.6,0.0500,-66.39,18.98
138,484.2,0.0500,-65.60,5.53
139,489.8,0.0500,-65.68,9.25
140,495.5,0.0500,-66.84,16.80
141,501.2,0.0500,-65.13,13.36
142,507.0,0.0500,-65.85,13.71
