#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-49.36,49.93
2,101.2,0.0500,-49.43,49.66
3,102.3,0.0500,-49.68,49.41
4,103.5,0.0500,-49.30,49.25
5,104.7,0.0500,-49.38,50.13
6,105.9,0.0500,-49.41,49.32
7,107.2,0.0500,-48.95,50.58
8,108.4,0.0500,-49.08,50.25
9,109.6,0.0500,-49.09,49.82
10,110.9,0.0500,-49.17,49.64
11,112.2,0.0500,-49.05,49.16
12,113.5,0.0500,-48.96,50.11
13,114.8,0.0500,-48.87,50.21
14,116.1,0.0500,-48.76,49.41
15,117.5,0.0500,-48.83,49.76
16,118.9,0.0500,-48.70,49.61
17,120.2,0.0500,-48.77,48.70
18,121.6,0.0500,-48.77,49.28
19,123.0,0.0500,-48.61,50.43
20,124.5,0.0500,-48.38,48.76
21,125.9,0.0500,-48.44,49.37
22,127.4,0.0500,-48.41,49.93
23,128.8,0.0500,-48.32,49.33
24,130.3,0.0500,-48.03,48.43
25,131.8,0.0500,-48.18,49.04
26,133.4,0.0500,-48.04,49.45
27,134.9,0.0500,-48.10,49.44
28,136.5,0.0500,-48.18,50.08
29,138.0,0.0500,-47.92,50.41
30,139.6,0.0500,-47.99,48.53
31,141.3,0.0500,-47.93,49.45
32,142.9,0.0500,-47.96,49.86
33,144.5,0.0500,-47.79,48.80
34,146.2,0.0500,-47.54,49.15
35,147.9,0.0500,-47.65,48.71
36,149.6,0.0500,-47.35,49.38
37,151.4,0.0500,-47.59,49.61
38,153.1,0.0500,-47.54,49.67
39,154.9,0.0500,-47.49,49.90
40,156.7,0.0500,-47.65,49.33
41,158.5,0.0500,-47.40,49.57
42,160.3,0.0500,-47.23,48.96
43,162.2,0.0500,-47.21,49.78
44,164.1,0.0500,-47.19,49.01
45,166.0,0.0500,-47.13,49.99
46,167.9,0.0500,-47.09,49.40
47,169.8,0.0500,-47.05,50.51
48,171.8,0.0500,-47.16,50.50
49,173.8,0.0500,-47.00,50.22
50,175.8,0.0500,-46.82,50.77
51,177.8,0.0500,-46.88,48.79
52,179.9,0.0500,-46.73,50.98
53,182.0,0.0500,-46.69,49.68
54,184.1,0.0500,-46.70,49.01
55,186.2,0.0500,-46.56,50.35
56,188.4,0.0500,-46.66,50.37
57,190.5,0.0500,-46.43,50.93
58,192.8,0.0500,-46.47,50.58
59,195.0,0.0500,-46.45,49.96
60,197.2,0.0500,-46.36,49.91
61,199.5,0.0500,-46.47,51.25
62,201.8,0.0500,-46.37,49.72
63,204.2,0.0500,-46.16,50.78
64,206.5,0.0500,-46.24,49.98
65,208.9,0.0500,-46.06,51.13
66,211.3,0.0500,-46.00,50.24
67,213.8,0.0500,-46.01,49.73
68,216.3,0.0500,-46.11,49.10
69,218.8,0.0500,-45.88,49.93
70,221.3,0.0500,-45.81,50.19
71,223.9,0.0500,-45.70,50.21
72,226.5,0.0500,-45.72,49.95
73,229.1,0.0500,-45.71,50.20
74,231.7,0.0500,-45.55,49.54
75,234.4,0.0500,-45.60,50.36
76,237.1,0.0500,-45.60,49.58
77,239.9,0.0500,-45.49,50.68
78,242.7,0.0500,-45.35,50.23
79,245.5,0.0500,-45.41,49.90
80,248.3,0.0500,-45.26,50.21
81,251.2,0.0500,-45.20,49.96
