#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-49.58,48.81
2,101.2,0.0500,-49.46,50.39
3,102.3,0.0500,-49.37,48.86
4,103.5,0.0500,-49.33,50.03
5,104.7,0.0500,-49.18,50.20
6,105.9,0.0500,-49.40,50.35
7,107.2,0.0500,-49.32,49.28
8,108.4,0.0500,-49.31,49.04
9,109.6,0.0500,-49.17,48.68
10,110.9,0.0500,-48.94,49.66
11,112.2,0.0500,-49.14,47.64
12,113.5,0.0500,-48.74,51.08
13,114.8,0.0500,-49.07,49.91
14,116.1,0.0500,-48.61,48.88
15,117.5,0.0500,-48.89,50.15
16,118.9,0.0500,-48.73,49.60
17,120.2,0.0500,-48.84,50.00
18,121.6,0.0500,-48.80,48.32
19,123.0,0.0500,-48.74,51.14
20,124.5,0.0500,-48.52,49.31
21,125.9,0.0500,-48.42,49.54
22,127.4,0.0500,-48.49,47.84
23,128.8,0.0500,-48.41,49.93
24,130.3,0.0500,-48.25,51.71
25,131.8,0.0500,-48.30,49.32
26,133.4,0.0500,-48.15,50.19
27,134.9,0.0500,-48.04,49.68
28,136.5,0.0500,-48.08,51.00
29,138.0,0.0500,-48.19,49.80
30,139.6,0.0500,-47.86,49.07
31,141.3,0.0500,-47.93,50.49
32,142.9,0.0500,-47.79,49.91
33,144.5,0.0500,-47.75,48.65
34,146.2,0.0500,-47.57,49.58
35,147.9,0.0500,-47.79,49.80
36,149.6,0.0500,-47.67,49.42
37,151.4,0.0500,-47.68,48.32
38,153.1,0.0500,-47.67,48.85
39,154.9,0.0500,-47.57,48.97
40,156.7,0.0500,-47.47,48.76
41,158.5,0.0500,-47.33,49.34
42,160.3,0.0500,-47.19,50.12
43,162.2,0.0500,-47.29,49.64
44,164.1,0.0500,-47.28,49.22
45,166.0,0.0500,-47.13,49.98
46,167.9,0.0500,-47.22,49.32
47,169.8,0.0500,-46.92,49.82
48,171.8,0.0500,-46.91,50.25
49,173.8,0.0500,-46.95,49.72
50,175.8,0.0500,-46.85,49.14
51,177.8,0.0500,-46.86,50.03
52,179.9,0.0500,-46.84,50.31
53,182.0,0.0500,-46.65,48.73
54,184.1,0.0500,-46.68,49.65
55,186.2,0.0500,-46.53,49.93
56,188.4,0.0500,-46.60,49.93
57,190.5,0.0500,-46.54,50.09
58,192.8,0.0500,-46.30,50.02
59,195.0,0.0500,-46.45,51.06
60,197.2,0.0500,-46.29,49.41
61,199.5,0.0500,-46.18,51.12
62,201.8,0.0500,-46.28,49.86
63,204.2,0.0500,-46.11,50.52
64,206.5,0.0500,-46.11,50.18
65,208.9,0.0500,-46.07,50.50
