#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-65.29,6.66
2,101.2,0.0500,-68.91,9.03
3,102.3,0.0500,-67.12,3.56
4,103.5,0.0500,-69.04,-0.42
5,104.7,0.0500,-67.79,2.87
6,105.9,0.0500,-67.19,4.58
7,107.2,0.0500,-66.58,-5.87
8,108.4,0.0500,-66.87,10.04
9,109.6,0.0500,-66.35,-9.73
10,110.9,0.0500,-67.38,8.32
11,112.2,0.0500,-67.09,-2.11
12,113.5,0.0500,-67.77,-4.21
13,114.8,0.0500,-67.54,-11.75
14,116.1,0.0500,-65.67,4.27
15,117.5,0.0500,-67.25,2.41
16,118.9,0.0500,-68.45,-0.91
17,120.2,0.0500,-67.60,2.73
18,121.6,0.0500,-66.44,-2.97
19,123.0,0.0500,-68.66,-0.64
20,124.5,0.0500,-68.38,-9.71
21,125.9,0.0500,-68.86,1.67
22,127.4,0.0500,-65.42,7.30
23,128.8,0.0500,-66.74,1.15
24,130.3,0.0500,-66.45,3.17
25,131.8,0.0500,-68.28,15.63
26,133.4,0.0500,-66.92,5.82
27,134.9,0.0500,-68.12,2.75
28,136.5,0.0500,-66.20,-2.39
29,138.0,0.0500,-66.87,8.26
30,139.6,0.0500,-67.83,3.66
31,141.3,0.0500,-68.50,-5.75
32,142.9,0.0500,-67.59,11.29
33,144.5,0.0500,-67.47,8.00
34,146.2,0.0500,-69.56,17.51
35,147.9,0.0500,-66.54,4.51
36,149.6,0.0500,-68.22,-0.05
37,151.4,0.0500,-67.55,-0.18
38,153.1,0.0500,-67.07,-6.33
39,154.9,0.0500,-66.94,2.20
40,156.7,0.0500,-68.16,2.63
41,158.5,0.0500,-67.80,3.94
42,160.3,0.0500,-66.59,-2.27
43,162.2,0.0500,-66.90,6.58
44,164.1,0.0500,-66.64,7.34
45,166.0,0.0500,-67.36,5.51
46,167.9,0.0500,-66.28,2.80
47,169.8,0.0500,-66.36,2.90
48,171.8,0.0500,-67.97,2.98
49,173.8,0.0500,-68.09,-4.35
50,175.8,0.0500,-68.12,-6.00
51,177.8,0.0500,-66.31,-8.74
52,179.9,0.0500,-66.57,10.28
53,182.0,0.0500,-65.90,5.99
54,184.1,0.0500,-66.43,-3.61
55,186.2,0.0500,-66.95,20.36
56,188.4,0.0500,-67.46,10.77
57,190.5,0.0500,-66.45,4.59
58,192.8,0.0500,-67.24,16.95
59,195.0,0.0500,-66.20,-5.97
60,197.2,0.0500,-65.27,-0.42
61,199.5,0.0500,-66.19,5.13
62,201.8,0.0500,-66.87,-0.71
63,204.2,0.0500,-66.45,5.07
64,206.5,0.0500,-66.76,4.68
65,208.9,0.0500,-68.16,12.73
66,211.3,0.0500,-67.83,5.68
67,213.8,0.0500,-68.12,12.29
68,216.3,0.0500,-66.45,2.11
69,218.8,0.0500,-65.98,13.91
70,221.3,0.0500,-67.77,2.30
71,223.9,0.0500,-65.88,2.98
72,226.5,0.0500,-66.28,-0.17
73,229.1,0.0500,-67.11,8.98
74,231.7,0.0500,-68.21,10.01
75,234.4,0.0500,-67.96,2.30
76,237.1,0.0500,-67.28,3.29
77,239.9,0.0500,-67.02,-0.39
78,242.7,0.0500,-66.63,9.69
79,245.5,0.0500,-66.37,11.91
80,248.3,0.0500,-67.85,10.47
81,251.2,0.0500,-66.04,0.57
82,254.1,0.0500,-66.91,15.35
83,257.0,0.0500,-66.80,12.61
84,260.0,0.0500,-67.40,3.78
85,263.0,0.0500,-66.32,6.06
86,266.1,0.0500,-67.53,8.09
87,269.2,0.0500,-66.34,12.81
88,272.3,0.0500,-66.83,-0.03
89,275.4,0.0500,-66.82,8.19
90,278.6,0.0500,-68.10,14.37
91,281.8,0.0500,-66.31,6.44
92,285.1,0.0500,-65.67,4.20
93,288.4,0.0500,-65.89,3.73
94,291.7,0.0500,-67.60,16.71
95,295.1,0.0500,-67.42,9.97
96,298.5,0.0500,-68.27,11.30
97,302.0,0.0500,-66.84,12.14
98,305.5,0.0500,-66.16,14.21
99,309.0,0.0500,-66.54,-0.59
100,312.6,0.0500,-66.09,7.17
101,316.2,0.0500,-66.43,5.66
102,319.9,0.0500,-66.84,10.70
103,323.6,0.0500,-66.79,3.10
104,327.3,0.0500,-66.36,9.92
105,331.1,0.0500,-65.31,3.55
106,335.0,0.0500,-66.31,6.61
107,338.8,0.0500,-65.85,0.50
108,342.8,0.0500,-65.31,6.81
109,346.7,0.0500,-66.93,13.90
110,350.8,0.0500,-66.17,12.21
111,354.8,0.0500,-65.90,2.66
112,358.9,0.0500,-67.12,7.34
113,363.1,0.0500,-66.75,11.46
114,367.3,0.0500,-66.86,0.58
115,371.5,0.0500,-66.50,7.97
116,375.8,0.0500,-66.75,7.18
117,380.2,0.0500,-66.16,15.01
118,384.6,0.0500,-66.16,10.25
119,389.0,0.0500,-66.59,12.95
120,393.6,0.0500,-65.78,9.24
121,398.1,0.0500,-67.11,8.69
122,402.7,0.0500,-66.07,14.74
123,407.4,0.0500,-66.80,11.40
124,412.1,0.0500,-66.28,10.67
125,416.9,0.0500,-66.57,5.42
126,421.7,0.0500,-67.24,11.98
127,426.6,0.0500,-66.97,15.63
128,431.5,0.0500,-66.40,13.12
129,436.5,0.0500,-66.02,17.01
130,441.6,0.0500,-67.03,7.65
131,446.7,0.0500,-66.71,20.67
132,451.9,0.0500,-68.57,23.57
133,457.1,0.0500,-66.93,13.42
134,462.4,0.0500,-66.28,11.83
