#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-66.50,5.69
2,101.2,0.0500,-68.05,7.20
3,102.3,0.0500,-67.32,-15.97
4,103.5,0.0500,-67.97,-6.75
5,104.7,0.0500,-70.72,-5.31
6,105.9,0.0500,-66.40,5.86
7,107.2,0.0500,-66.73,0.95
8,108.4,0.0500,-68.91,0.63
9,109.6,0.0500,-68.40,-1.91
10,110.9,0.0500,-67.97,-2.25
11,112.2,0.0500,-68.75,-3.40
12,113.5,0.0500,-68.49,3.42
13,114.8,0.0500,-68.76,1.49
14,116.1,0.0500,-69.18,9.20
15,117.5,0.0500,-68.04,-6.91
16,118.9,0.0500,-69.39,-0.45
17,120.2,0.0500,-68.24,4.79
18,121.6,0.0500,-67.53,3.80
19,123.0,0.0500,-69.12,8.45
20,124.5,0.0500,-68.11,-3.67
21,125.9,0.0500,-68.67,-2.74
22,127.4,0.0500,-66.40,3.55
23,128.8,0.0500,-68.61,-8.96
24,130.3,0.0500,-68.23,-2.62
25,131.8,0.0500,-66.92,0.12
26,133.4,0.0500,-68.43,7.08
27,134.9,0.0500,-66.25,-1.45
28,136.5,0.0500,-67.38,-1.33
29,138.0,0.0500,-67.17,8.80
30,139.6,0.0500,-69.96,-0.66
31,141.3,0.0500,-68.74,-2.64
32,142.9,0.0500,-70.59,4.44
33,144.5,0.0500,-66.87,-17.83
34,146.2,0.0500,-67.78,-4.03
35,147.9,0.0500,-68.63,7.61
36,149.6,0.0500,-68.69,-1.11
37,151.4,0.0500,-68.99,-1.07
38,153.1,0.0500,-68.05,5.33
39,154.9,0.0500,-67.48,-2.90
40,156.7,0.0500,-67.30,12.49
41,158.5,0.0500,-67.73,2.75
42,160.3,0.0500,-67.61,11.09
43,162.2,0.0500,-68.80,-4.19
44,164.1,0.0500,-67.75,4.30
45,166.0,0.0500,-68.26,7.22
46,167.9,0.0500,-67.07,0.35
47,169.8,0.0500,-69.56,13.48
48,171.8,0.0500,-66.33,-1.91
49,173.8,0.0500,-66.62,7.71
50,175.8,0.0500,-67.82,-0.36
51,177.8,0.0500,-67.88,-5.21
52,179.9,0.0500,-67.95,2.13
53,182.0,0.0500,-67.26,1.01
54,184.1,0.0500,-67.30,-5.22
55,186.2,0.0500,-68.61,-10.37
56,188.4,0.0500,-66.91,12.97
57,190.5,0.0500,-67.92,-0.37
58,192.8,0.0500,-68.49,0.77
59,195.0,0.0500,-66.47,7.34
60,197.2,0.0500,-66.61,5.51
61,199.5,0.0500,-69.73,-5.69
62,201.8,0.0500,-68.14,9.89
63,204.2,0.0500,-67.65,3.13
64,206.5,0.0500,-68.28,7.99
65,208.9,0.0500,-67.41,2.67
66,211.3,0.0500,-68.18,4.09
67,213.8,0.0500,-68.51,1.40
68,216.3,0.0500,-66.84,6.52
