#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-67.30,5.58
2,101.2,0.0500,-68.07,-2.03
3,102.3,0.0500,-68.55,5.43
4,103.5,0.0500,-70.70,-22.90
5,104.7,0.0500,-68.81,2.27
6,105.9,0.0500,-70.54,-6.25
7,107.2,0.0500,-67.63,-7.28
8,108.4,0.0500,-67.63,-7.88
9,109.6,0.0500,-67.89,-2.10
10,110.9,0.0500,-67.81,-0.69
11,112.2,0.0500,-69.82,-6.14
12,113.5,0.0500,-67.14,-5.74
13,114.8,0.0500,-67.24,-1.32
14,116.1,0.0500,-68.58,4.74
15,117.5,0.0500,-67.15,3.54
16,118.9,0.0500,-66.93,-4.85
17,120.2,0.0500,-69.42,-7.21
18,121.6,0.0500,-68.63,1.63
19,123.0,0.0500,-68.31,3.51
20,124.5,0.0500,-68.89,0.62
21,125.9,0.0500,-69.67,-2.00
22,127.4,0.0500,-69.13,-0.64
23,128.8,0.0500,-68.42,-8.37
24,130.3,0.0500,-69.88,4.70
25,131.8,0.0500,-68.01,3.16
26,133.4,0.0500,-67.91,1.67
27,134.9,0.0500,-67.32,2.03
28,136.5,0.0500,-68.40,-12.21
29,138.0,0.0500,-68.78,-0.45
30,139.6,0.0500,-67.93,10.47
31,141.3,0.0500,-67.41,1.70
32,142.9,0.0500,-67.12,-5.59
33,144.5,0.0500,-69.27,3.57
34,146.2,0.0500,-67.32,5.53
35,147.9,0.0500,-68.66,4.70
36,149.6,0.0500,-68.41,1.89
37,151.4,0.0500,-69.51,-5.24
38,153.1,0.0500,-68.01,-8.04
39,154.9,0.0500,-67.32,11.88
40,156.7,0.0500,-68.88,0.68
41,158.5,0.0500,-68.74,0.69
42,160.3,0.0500,-67.44,0.75
43,162.2,0.0500,-69.19,-6.35
44,164.1,0.0500,-67.78,1.97
45,166.0,0.0500,-68.70,7.47
46,167.9,0.0500,-67.97,5.02
47,169.8,0.0500,-67.56,1.67
