#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-72.07,8.31
2,101.2,0.0500,-70.52,-0.63
3,102.3,0.0500,-73.93,-9.94
4,103.5,0.0500,-74.15,-5.42
5,104.7,0.0500,-74.24,14.32
6,105.9,0.0500,-72.46,-5.18
7,107.2,0.0500,-73.17,8.65
8,108.4,0.0500,-74.88,33.43
9,109.6,0.0500,-73.16,-5.81
10,110.9,0.0500,-77.24,0.52
11,112.2,0.0500,-74.44,2.38
12,113.5,0.0500,-72.63,5.16
13,114.8,0.0500,-73.11,-30.35
14,116.1,0.0500,-72.59,4.33
15,117.5,0.0500,-71.47,-11.27
16,118.9,0.0500,-71.60,6.67
17,120.2,0.0500,-76.24,11.41
18,121.6,0.0500,-72.46,2.95
19,123.0,0.0500,-70.29,-3.73
20,124.5,0.0500,-76.08,8.19
21,125.9,0.0500,-73.96,7.62
22,127.4,0.0500,-72.89,-8.98
23,128.8,0.0500,-74.95,12.66
24,130.3,0.0500,-72.23,-1.71
25,131.8,0.0500,-72.36,-7.78
26,133.4,0.0500,-73.20,-8.64
27,134.9,0.0500,-74.68,4.71
28,136.5,0.0500,-73.55,0.25
29,138.0,0.0500,-73.79,-5.77
30,139.6,0.0500,-75.47,15.03
31,141.3,0.0500,-73.70,23.23
32,142.9,0.0500,-71.78,18.52
33,144.5,0.0500,-73.62,-3.43
34,146.2,0.0500,-72.15,3.69
35,147.9,0.0500,-73.06,7.39
36,149.6,0.0500,-69.75,9.55
37,151.4,0.0500,-71.20,7.86
38,153.1,0.0500,-69.29,13.80
39,154.9,0.0500,-72.23,-7.94
40,156.7,0.0500,-73.29,-10.64
41,158.5,0.0500,-69.61,-15.58
42,160.3,0.0500,-70.46,12.71
43,162.2,0.0500,-71.92,-4.03
44,164.1,0.0500,-71.83,11.18
45,166.0,0.0500,-72.32,17.18
46,167.9,0.0500,-71.93,-6.61
47,169.8,0.0500,-71.64,-1.66
48,171.8,0.0500,-71.82,-18.68
49,173.8,0.0500,-72.63,-4.30
50,175.8,0.0500,-72.61,0.13
51,177.8,0.0500,-73.82,5.69
52,179.9,0.0500,-71.71,7.97
53,182.0,0.0500,-75.71,-13.25
54,184.1,0.0500,-70.83,27.86
55,186.2,0.0500,-72.72,-13.84
56,188.4,0.0500,-72.79,5.51
57,190.5,0.0500,-71.42,-3.75
58,192.8,0.0500,-72.25,11.81
59,195.0,0.0500,-70.64,-3.27
60,197.2,0.0500,-72.30,-1.79
61,199.5,0.0500,-71.12,-1.89
62,201.8,0.0500,-71.20,11.50
63,204.2,0.0500,-72.19,-16.68
64,206.5,0.0500,-72.36,12.54
65,208.9,0.0500,-74.70,-16.04
66,211.3,0.0500,-71.51,8.73
67,213.8,0.0500,-69.71,8.11
68,216.3,0.0500,-70.34,-1.45
69,218.8,0.0500,-70.43,20.44
70,221.3,0.0500,-70.84,-12.18
71,223.9,0.0500,-71.61,13.97
72,226.5,0.0500,-70.00,4.18
73,229.1,0.0500,-71.61,-3.55
74,231.7,0.0500,-71.75,5.68
75,234.4,0.0500,-71.16,1.30
76,237.1,0.0500,-72.94,-5.86
77,239.9,0.0500,-75.14,8.65
78,242.7,0.0500,-72.66,1.52
79,245.5,0.0500,-72.89,7.35
80,248.3,0.0500,-71.19,8.33
81,251.2,0.0500,-70.73,13.86
82,254.1,0.0500,-73.07,17.59
83,257.0,0.0500,-73.27,14.05
84,260.0,0.0500,-72.42,3.75
85,263.0,0.0500,-71.98,0.02
86,266.1,0.0500,-73.98,22.94
87,269.2,0.0500,-70.46,1.46
88,272.3,0.0500,-71.10,-0.59
89,275.4,0.0500,-72.94,10.60
90,278.6,0.0500,-73.37,14.64
91,281.8,0.0500,-72.62,8.91
92,285.1,0.0500,-72.39,13.05
93,288.4,0.0500,-72.64,-0.32
94,291.7,0.0500,-70.29,9.43
95,295.1,0.0500,-71.85,10.97
96,298.5,0.0500,-70.94,2.36
97,302.0,0.0500,-72.48,-4.27
98,305.5,0.0500,-71.45,1.21
99,309.0,0.0500,-73.01,8.07
100,312.6,0.0500,-72.05,7.07
101,316.2,0.0500,-70.37,-3.35
102,319.9,0.0500,-73.39,-3.93
103,323.6,0.0500,-72.47,4.48
104,327.3,0.0500,-70.32,8.76
105,331.1,0.0500,-69.45,1.77
106,335.0,0.0500,-71.03,9.06
107,338.8,0.0500,-71.82,12.52
108,342.8,0.0500,-72.28,-0.63
109,346.7,0.0500,-71.74,5.42
110,350.8,0.0500,-75.66,9.37
111,354.8,0.0500,-71.49,19.94
112,358.9,0.0500,-72.66,17.93
113,363.1,0.0500,-75.43,6.17
114,367.3,0.0500,-70.30,-1.45
