#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-61.55,9.53
2,101.2,0.0500,-62.10,-0.58
3,102.3,0.0500,-61.79,5.05
4,103.5,0.0500,-62.43,2.41
5,104.7,0.0500,-62.90,6.10
6,105.9,0.0500,-62.50,1.93
7,107.2,0.0500,-61.44,0.76
8,108.4,0.0500,-61.66,1.31
9,109.6,0.0500,-62.37,0.73
10,110.9,0.0500,-62.55,1.62
11,112.2,0.0500,-62.06,6.25
12,113.5,0.0500,-62.69,5.82
13,114.8,0.0500,-61.57,1.23
14,116.1,0.0500,-61.49,6.37
15,117.5,0.0500,-61.94,8.59
16,118.9,0.0500,-61.89,-0.18
17,120.2,0.0500,-61.63,-4.48
18,121.6,0.0500,-62.26,3.59
19,123.0,0.0500,-62.97,6.29
20,124.5,0.0500,-62.38,0.52
21,125.9,0.0500,-61.92,4.39
22,127.4,0.0500,-61.63,-0.71
23,128.8,0.0500,-62.20,2.65
24,130.3,0.0500,-61.43,3.69
25,131.8,0.0500,-62.34,4.36
26,133.4,0.0500,-61.97,3.71
27,134.9,0.0500,-61.75,-1.93
28,136.5,0.0500,-62.09,7.58
29,138.0,0.0500,-62.13,3.55
30,139.6,0.0500,-61.49,-0.91
31,141.3,0.0500,-62.02,-1.88
32,142.9,0.0500,-61.81,9.12
33,144.5,0.0500,-62.41,9.46
34,146.2,0.0500,-61.49,1.88
35,147.9,0.0500,-62.32,4.77
36,149.6,0.0500,-61.68,2.62
37,151.4,0.0500,-62.20,8.50
38,153.1,0.0500,-61.82,3.15
39,154.9,0.0500,-61.60,3.75
40,156.7,0.0500,-61.96,9.77
41,158.5,0.0500,-61.71,6.51
42,160.3,0.0500,-61.79,5.25
43,162.2,0.0500,-61.97,4.17
44,164.1,0.0500,-61.94,1.29
45,166.0,0.0500,-61.64,1.06
46,167.9,0.0500,-61.76,0.29
47,169.8,0.0500,-61.18,5.13
48,171.8,0.0500,-61.39,2.74
49,173.8,0.0500,-62.23,2.91
50,175.8,0.0500,-61.87,4.19
51,177.8,0.0500,-61.76,5.98
52,179.9,0.0500,-62.26,6.22
53,182.0,0.0500,-61.83,6.67
54,184.1,0.0500,-61.97,5.01
55,186.2,0.0500,-61.28,3.70
56,188.4,0.0500,-62.37,1.31
57,190.5,0.0500,-62.12,3.95
58,192.8,0.0500,-61.41,0.11
59,195.0,0.0500,-62.30,6.76
60,197.2,0.0500,-62.08,0.13
61,199.5,0.0500,-61.60,2.12
62,201.8,0.0500,-61.95,5.62
63,204.2,0.0500,-61.88,3.05
64,206.5,0.0500,-61.94,8.63
65,208.9,0.0500,-62.54,1.59
66,211.3,0.0500,-61.50,5.20
67,213.8,0.0500,-61.26,6.41
68,216.3,0.0500,-61.48,2.25
69,218.8,0.0500,-61.56,4.98
70,221.3,0.0500,-61.90,5.88
71,223.9,0.0500,-61.36,2.61
72,226.5,0.0500,-61.58,10.08
73,229.1,0.0500,-61.00,1.86
74,231.7,0.0500,-61.29,6.09
75,234.4,0.0500,-61.52,7.82
76,237.1,0.0500,-61.83,2.22
77,239.9,0.0500,-61.93,3.05
78,242.7,0.0500,-61.62,3.91
79,245.5,0.0500,-61.74,4.94
80,248.3,0.0500,-61.64,6.11
81,251.2,0.0500,-61.44,2.87
82,254.1,0.0500,-61.06,5.73
83,257.0,0.0500,-62.36,5.15
84,260.0,0.0500,-61.14,8.26
85,263.0,0.0500,-61.94,4.41
86,266.1,0.0500,-61.90,7.39
87,269.2,0.0500,-61.30,3.63
88,272.3,0.0500,-61.19,4.20
89,275.4,0.0500,-61.11,10.15
90,278.6,0.0500,-61.95,6.59
91,281.8,0.0500,-61.43,9.47
92,285.1,0.0500,-60.66,5.64
93,288.4,0.0500,-61.87,1.90
94,291.7,0.0500,-61.68,6.36
95,295.1,0.0500,-61.22,7.57
96,298.5,0.0500,-61.61,10.82
97,302.0,0.0500,-62.50,13.14
98,305.5,0.0500,-61.15,5.63
99,309.0,0.0500,-60.86,7.61
100,312.6,0.0500,-61.23,3.97
101,316.2,0.0500,-61.72,9.40
102,319.9,0.0500,-61.32,7.65
103,323.6,0.0500,-61.78,8.86
104,327.3,0.0500,-61.60,4.15
105,331.1,0.0500,-61.41,5.24
106,335.0,0.0500,-61.01,11.89
107,338.8,0.0500,-61.37,9.60
108,342.8,0.0500,-61.63,6.29
109,346.7,0.0500,-61.90,9.39
110,350.8,0.0500,-61.47,10.26
111,354.8,0.0500,-61.28,9.26
112,358.9,0.0500,-60.86,6.75
113,363.1,0.0500,-60.92,11.23
114,367.3,0.0500,-61.10,8.56
115,371.5,0.0500,-60.31,8.15
116,375.8,0.0500,-61.03,9.85
117,380.2,0.0500,-60.98,11.86
118,384.6,0.0500,-60.95,6.94
119,389.0,0.0500,-62.12,12.34
120,393.6,0.0500,-61.60,11.05
121,398.1,0.0500,-61.75,3.83
122,402.7,0.0500,-61.26,9.62
123,407.4,0.0500,-60.93,8.01
124,412.1,0.0500,-60.98,10.82
125,416.9,0.0500,-61.40,11.89
126,421.7,0.0500,-60.92,10.47
127,426.6,0.0500,-61.93,10.96
128,431.5,0.0500,-61.16,9.50
129,436.5,0.0500,-60.33,6.49
130,441.6,0.0500,-61.10,10.25
131,446.7,0.0500,-61.77,9.92
132,451.9,0.0500,-61.26,12.03
133,457.1,0.0500,-61.59,10.48
134,462.4,0.0500,-60.42,11.50
135,467.7,0.0500,-60.89,9.80
136,473.2,0.0500,-61.09,9.36
137,478.6,0.0500,-61.23,13.94
138,484.2,0.0500,-61.64,9.88
139,489.8,0.0500,-60.92,12.99
140,495.5,0.0500,-60.98,13.56
141,501.2,0.0500,-60.86,19.28
142,507.0,0.0500,-61.30,13.40
143,512.9,0.0500,-61.57,11.42
144,518.8,0.0500,-60.67,12.37
145,524.8,0.0500,-60.61,17.56
146,530.9,0.0500,-61.38,12.60
147,537.0,0.0500,-59.83,11.88
148,543.3,0.0500,-61.10,13.13
149,549.5,0.0500,-61.55,19.68
150,555.9,0.0500,-60.62,13.81
151,562.3,0.0500,-60.98,9.84
152,568.9,0.0500,-61.03,14.87
153,575.4,0.0500,-60.81,11.23
154,582.1,0.0500,-61.31,15.42
155,588.8,0.0500,-60.56,12.43
156,595.7,0.0500,-61.61,14.55
157,602.6,0.0500,-61.05,16.81
158,609.5,0.0500,-61.15,16.17
159,616.6,0.0500,-61.16,15.47
160,623.7,0.0500,-60.36,17.46
161,631.0,0.0500,-60.32,12.10
162,638.3,0.0500,-60.89,11.27
163,645.7,0.0500,-61.19,16.34
164,653.1,0.0500,-61.51,12.36
165,660.7,0.0500,-60.67,16.59
166,668.3,0.0500,-60.82,13.17
167,676.1,0.0500,-60.65,19.06
168,683.9,0.0500,-60.75,18.30
169,691.8,0.0500,-60.92,24.99
170,699.8,0.0500,-60.94,15.27
171,707.9,0.0500,-60.76,19.58
172,716.1,0.0500,-61.36,16.66
173,724.4,0.0500,-61.73,21.91
174,732.8,0.0500,-60.36,15.02
175,741.3,0.0500,-60.50,19.44
176,749.9,0.0500,-61.17,15.49
177,758.6,0.0500,-60.26,18.19
178,767.4,0.0500,-59.67,20.11
179,776.2,0.0500,-61.08,17.59
180,785.2,0.0500,-60.64,18.25
181,794.3,0.0500,-61.42,19.38
182,803.5,0.0500,-61.15,15.72
183,812.8,0.0500,-60.93,17.24
184,822.2,0.0500,-60.47,22.87
185,831.8,0.0500,-60.21,17.42
186,841.4,0.0500,-60.50,17.68
187,851.1,0.0500,-61.38,18.97
188,861.0,0.0500,-60.48,15.31
189,871.0,0.0500,-60.61,16.99
190,881.0,0.0500,-60.79,17.36
191,891.3,0.0500,-60.61,23.50
