#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-64.43,-0.03
2,101.2,0.0500,-63.79,5.92
3,102.3,0.0500,-64.40,5.21
4,103.5,0.0500,-65.07,3.66
5,104.7,0.0500,-64.54,5.76
6,105.9,0.0500,-63.62,4.12
7,107.2,0.0500,-64.22,7.17
8,108.4,0.0500,-65.19,7.31
9,109.6,0.0500,-63.81,2.71
10,110.9,0.0500,-64.13,3.07
11,112.2,0.0500,-64.20,2.85
12,113.5,0.0500,-64.89,-0.81
13,114.8,0.0500,-65.28,0.34
14,116.1,0.0500,-64.15,10.03
15,117.5,0.0500,-63.95,-3.87
16,118.9,0.0500,-63.92,4.75
17,120.2,0.0500,-64.70,6.41
18,121.6,0.0500,-64.15,2.43
19,123.0,0.0500,-65.05,-3.11
20,124.5,0.0500,-64.91,-4.06
21,125.9,0.0500,-64.17,0.36
22,127.4,0.0500,-65.42,-2.24
23,128.8,0.0500,-63.38,4.78
24,130.3,0.0500,-64.64,-1.05
25,131.8,0.0500,-65.63,3.81
26,133.4,0.0500,-66.29,-6.99
27,134.9,0.0500,-65.07,-0.62
28,136.5,0.0500,-65.81,1.11
29,138.0,0.0500,-64.47,7.70
30,139.6,0.0500,-64.45,-0.61
31,141.3,0.0500,-64.27,3.27
32,142.9,0.0500,-63.60,5.99
33,144.5,0.0500,-65.19,5.46
34,146.2,0.0500,-64.81,3.33
35,147.9,0.0500,-64.47,-3.78
36,149.6,0.0500,-63.86,6.34
37,151.4,0.0500,-64.42,-1.61
38,153.1,0.0500,-63.51,10.30
39,154.9,0.0500,-65.69,5.14
40,156.7,0.0500,-63.99,5.86
41,158.5,0.0500,-64.86,2.95
42,160.3,0.0500,-64.14,8.38
43,162.2,0.0500,-64.65,13.53
44,164.1,0.0500,-64.07,7.02
45,166.0,0.0500,-63.82,4.25
46,167.9,0.0500,-65.01,-3.52
47,169.8,0.0500,-63.25,1.87
48,171.8,0.0500,-64.13,3.99
49,173.8,0.0500,-64.47,-1.09
50,175.8,0.0500,-64.07,7.25
51,177.8,0.0500,-63.84,2.77
52,179.9,0.0500,-65.14,11.00
53,182.0,0.0500,-64.53,8.77
54,184.1,0.0500,-63.22,9.01
55,186.2,0.0500,-65.15,1.08
56,188.4,0.0500,-64.47,11.83
57,190.5,0.0500,-63.75,9.38
58,192.8,0.0500,-64.39,8.22
59,195.0,0.0500,-64.70,3.04
60,197.2,0.0500,-64.84,2.42
61,199.5,0.0500,-65.36,0.32
62,201.8,0.0500,-64.63,4.63
63,204.2,0.0500,-64.23,3.66
64,206.5,0.0500,-64.08,12.36
65,208.9,0.0500,-65.31,3.93
66,211.3,0.0500,-64.65,6.55
67,213.8,0.0500,-65.10,3.26
68,216.3,0.0500,-64.41,5.68
69,218.8,0.0500,-64.01,9.90
70,221.3,0.0500,-64.53,7.04
71,223.9,0.0500,-64.48,11.61
72,226.5,0.0500,-64.47,6.86
73,229.1,0.0500,-64.72,3.38
74,231.7,0.0500,-64.78,7.68
75,234.4,0.0500,-66.03,9.51
76,237.1,0.0500,-64.65,2.22
77,239.9,0.0500,-63.50,7.18
78,242.7,0.0500,-64.58,3.38
79,245.5,0.0500,-65.04,5.97
80,248.3,0.0500,-64.35,5.47
81,251.2,0.0500,-64.83,5.25
82,254.1,0.0500,-64.85,11.42
83,257.0,0.0500,-64.37,3.46
84,260.0,0.0500,-63.96,3.11
85,263.0,0.0500,-64.28,10.38
86,266.1,0.0500,-64.83,6.38
87,269.2,0.0500,-65.15,10.45
88,272.3,0.0500,-64.80,10.34
89,275.4,0.0500,-63.85,3.34
90,278.6,0.0500,-64.33,8.09
91,281.8,0.0500,-65.01,6.44
92,285.1,0.0500,-64.57,6.39
93,288.4,0.0500,-64.08,6.87
94,291.7,0.0500,-63.97,10.45
95,295.1,0.0500,-64.45,10.60
96,298.5,0.0500,-64.10,7.13
97,302.0,0.0500,-63.88,9.85
98,305.5,0.0500,-64.01,10.46
99,309.0,0.0500,-64.11,5.81
100,312.6,0.0500,-64.22,5.45
101,316.2,0.0500,-63.45,3.83
102,319.9,0.0500,-64.88,6.81
103,323.6,0.0500,-63.68,16.60
104,327.3,0.0500,-65.09,9.83
105,331.1,0.0500,-64.60,3.61
106,335.0,0.0500,-64.80,11.90
107,338.8,0.0500,-63.14,6.19
108,342.8,0.0500,-64.67,12.29
109,346.7,0.0500,-64.01,5.55
110,350.8,0.0500,-63.79,8.66
111,354.8,0.0500,-63.44,8.73
112,358.9,0.0500,-63.86,11.98
113,363.1,0.0500,-63.56,8.78
114,367.3,0.0500,-64.36,11.82
115,371.5,0.0500,-63.42,0.33
116,375.8,0.0500,-63.50,16.01
117,380.2,0.0500,-64.15,8.42
118,384.6,0.0500,-63.68,11.75
119,389.0,0.0500,-64.97,16.98
120,393.6,0.0500,-63.95,13.30
121,398.1,0.0500,-64.41,13.68
122,402.7,0.0500,-65.19,13.63
123,407.4,0.0500,-64.17,9.78
124,412.1,0.0500,-64.14,8.34
125,416.9,0.0500,-64.02,7.76
126,421.7,0.0500,-64.38,12.88
127,426.6,0.0500,-63.98,12.40
128,431.5,0.0500,-64.12,9.95
129,436.5,0.0500,-63.40,12.36
130,441.6,0.0500,-63.48,10.95
131,446.7,0.0500,-63.58,12.97
132,451.9,0.0500,-62.93,11.32
133,457.1,0.0500,-63.67,13.90
134,462.4,0.0500,-64.02,12.85
135,467.7,0.0500,-64.00,11.72
136,473.2,0.0500,-63.98,11.19
137,478.6,0.0500,-63.63,10.28
138,484.2,0.0500,-64.06,15.24
139,489.8,0.0500,-63.14,13.11
140,495.5,0.0500,-63.92,15.80
141,501.2,0.0500,-63.04,14.58
142,507.0,0.0500,-64.08,8.86
143,512.9,0.0500,-64.66,11.58
144,518.8,0.0500,-64.37,20.85
145,524.8,0.0500,-63.25,11.56
146,530.9,0.0500,-62.99,8.90
147,537.0,0.0500,-63.05,14.75
148,543.3,0.0500,-63.66,8.62
149,549.5,0.0500,-62.80,15.72
150,555.9,0.0500,-62.73,12.60
151,562.3,0.0500,-63.95,18.97
152,568.9,0.0500,-63.00,20.97
153,575.4,0.0500,-64.00,14.43
154,582.1,0.0500,-63.61,16.92
155,588.8,0.0500,-63.71,10.54
156,595.7,0.0500,-63.94,11.11
157,602.6,0.0500,-63.60,16.23
158,609.5,0.0500,-64.20,14.32
159,616.6,0.0500,-64.11,18.14
160,623.7,0.0500,-63.96,11.94
161,631.0,0.0500,-63.36,15.22
162,638.3,0.0500,-62.85,22.12
163,645.7,0.0500,-63.79,16.88
164,653.1,0.0500,-63.05,23.11
165,660.7,0.0500,-63.10,19.47
166,668.3,0.0500,-63.14,16.38
167,676.1,0.0500,-64.46,17.89
168,683.9,0.0500,-62.97,17.76
169,691.8,0.0500,-63.60,15.23
170,699.8,0.0500,-63.25,17.60
171,707.9,0.0500,-62.76,23.64
172,716.1,0.0500,-63.64,17.30
173,724.4,0.0500,-62.42,19.02
174,732.8,0.0500,-62.50,13.62
175,741.3,0.0500,-63.49,12.86
176,749.9,0.0500,-62.71,23.80
177,758.6,0.0500,-63.77,25.03
178,767.4,0.0500,-63.00,22.55
179,776.2,0.0500,-63.50,22.11
180,785.2,0.0500,-62.51,22.00
181,794.3,0.0500,-62.43,20.77
182,803.5,0.0500,-63.66,23.19
183,812.8,0.0500,-63.15,21.93
184,822.2,0.0500,-62.48,22.13
185,831.8,0.0500,-62.47,22.73
186,841.4,0.0500,-63.41,23.38
187,851.1,0.0500,-63.05,22.79
188,861.0,0.0500,-63.00,20.83
189,871.0,0.0500,-62.31,23.52
190,881.0,0.0500,-63.22,28.01
191,891.3,0.0500,-63.23,26.39
192,901.6,0.0500,-62.81,25.13
193,912.0,0.0500,-62.60,25.02
194,922.6,0.0500,-63.30,27.05
195,933.3,0.0500,-63.55,28.54
196,944.1,0.0500,-62.30,27.00
197,955.0,0.0500,-62.50,31.48
198,966.1,0.0500,-62.80,20.63
199,977.2,0.0500,-62.64,27.89
200,988.6,0.0500,-63.00,24.93
201,1000.0,0.0500,-62.95,27.43
202,1011.6,0.0500,-62.57,25.30
203,1023.3,0.0500,-63.02,24.60
204,1035.1,0.0500,-61.79,29.76
205,1047.1,0.0500,-62.94,26.72
206,1059.3,0.0500,-62.13,26.80
207,1071.5,0.0500,-62.68,16.16
208,1083.9,0.0500,-62.26,27.84
209,1096.5,0.0500,-62.71,28.53
210,1109.2,0.0500,-62.42,24.38
211,1122.0,0.0500,-62.62,29.56
212,1135.0,0.0500,-63.61,24.80
213,1148.2,0.0500,-63.26,24.15
214,1161.4,0.0500,-61.77,25.25
215,1174.9,0.0500,-62.85,29.45
216,1188.5,0.0500,-61.79,33.47
217,1202.3,0.0500,-62.05,25.28
218,1216.2,0.0500,-62.09,28.76
219,1230.3,0.0500,-62.73,29.91
220,1244.5,0.0500,-62.44,31.39
221,1258.9,0.0500,-62.09,31.68
222,1273.5,0.0500,-61.68,31.11
223,1288.2,0.0500,-62.65,30.24
