#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-66.05,3.34
2,101.2,0.0500,-66.34,-5.06
3,102.3,0.0500,-65.74,-1.82
4,103.5,0.0500,-64.92,-7.22
5,104.7,0.0500,-66.23,-5.26
6,105.9,0.0500,-64.19,8.82
7,107.2,0.0500,-67.31,-2.93
8,108.4,0.0500,-65.02,-9.15
9,109.6,0.0500,-63.92,3.20
10,110.9,0.0500,-65.03,2.29
11,112.2,0.0500,-64.30,-2.78
12,113.5,0.0500,-66.66,10.86
13,114.8,0.0500,-65.11,3.90
14,116.1,0.0500,-66.41,-3.41
15,117.5,0.0500,-64.80,-1.48
16,118.9,0.0500,-64.82,4.46
17,120.2,0.0500,-65.35,-2.29
18,121.6,0.0500,-66.23,9.40
19,123.0,0.0500,-65.17,3.30
20,124.5,0.0500,-65.20,-2.48
21,125.9,0.0500,-65.50,-1.96
22,127.4,0.0500,-65.92,0.92
23,128.8,0.0500,-65.94,-2.94
24,130.3,0.0500,-66.45,5.91
25,131.8,0.0500,-64.26,3.73
26,133.4,0.0500,-64.96,-3.41
27,134.9,0.0500,-65.52,-2.02
28,136.5,0.0500,-64.54,3.30
29,138.0,0.0500,-64.24,3.85
30,139.6,0.0500,-65.43,5.13
31,141.3,0.0500,-65.17,4.29
32,142.9,0.0500,-65.01,-6.26
33,144.5,0.0500,-67.15,5.18
34,146.2,0.0500,-65.75,1.79
35,147.9,0.0500,-64.83,4.73
36,149.6,0.0500,-64.59,9.46
37,151.4,0.0500,-64.44,0.65
38,153.1,0.0500,-65.61,4.97
39,154.9,0.0500,-65.60,6.19
40,156.7,0.0500,-65.89,3.46
41,158.5,0.0500,-64.52,3.28
42,160.3,0.0500,-63.93,-0.16
43,162.2,0.0500,-64.36,-2.11
44,164.1,0.0500,-65.24,-3.78
45,166.0,0.0500,-64.23,0.50
46,167.9,0.0500,-63.63,-0.57
47,169.8,0.0500,-65.63,5.04
48,171.8,0.0500,-66.10,3.41
49,173.8,0.0500,-64.56,3.06
50,175.8,0.0500,-65.52,2.62
51,177.8,0.0500,-65.29,0.60
52,179.9,0.0500,-65.03,8.53
53,182.0,0.0500,-64.38,11.81
54,184.1,0.0500,-65.39,-3.49
55,186.2,0.0500,-64.96,14.55
56,188.4,0.0500,-64.45,5.29
57,190.5,0.0500,-65.21,3.05
58,192.8,0.0500,-64.79,-3.27
59,195.0,0.0500,-63.45,-3.41
60,197.2,0.0500,-64.42,6.83
61,199.5,0.0500,-65.40,1.10
62,201.8,0.0500,-65.02,3.19
63,204.2,0.0500,-64.54,8.60
64,206.5,0.0500,-65.81,12.21
65,208.9,0.0500,-65.28,1.17
66,211.3,0.0500,-64.74,8.05
67,213.8,0.0500,-65.43,0.74
68,216.3,0.0500,-63.17,6.46
69,218.8,0.0500,-65.60,7.65
70,221.3,0.0500,-63.97,2.25
71,223.9,0.0500,-64.21,7.75
72,226.5,0.0500,-65.02,5.70
73,229.1,0.0500,-64.97,1.94
74,231.7,0.0500,-64.99,6.25
75,234.4,0.0500,-65.91,2.32
76,237.1,0.0500,-64.81,6.19
77,239.9,0.0500,-64.25,4.13
78,242.7,0.0500,-66.86,1.17
79,245.5,0.0500,-64.46,6.70
80,248.3,0.0500,-64.96,5.35
81,251.2,0.0500,-64.26,8.10
82,254.1,0.0500,-64.97,8.06
83,257.0,0.0500,-65.53,7.72
84,260.0,0.0500,-65.39,5.99
85,263.0,0.0500,-65.34,6.89
86,266.1,0.0500,-64.44,6.33
87,269.2,0.0500,-63.70,3.64
88,272.3,0.0500,-64.14,4.01
89,275.4,0.0500,-64.35,9.78
90,278.6,0.0500,-65.33,4.88
91,281.8,0.0500,-64.10,1.56
92,285.1,0.0500,-64.94,6.54
93,288.4,0.0500,-64.80,4.93
94,291.7,0.0500,-64.86,5.75
95,295.1,0.0500,-64.17,9.53
96,298.5,0.0500,-63.69,3.75
97,302.0,0.0500,-65.17,4.50
98,305.5,0.0500,-64.24,7.11
99,309.0,0.0500,-63.79,6.54
100,312.6,0.0500,-65.67,6.84
101,316.2,0.0500,-64.94,3.83
102,319.9,0.0500,-66.01,2.40
103,323.6,0.0500,-64.51,1.09
104,327.3,0.0500,-65.16,6.21
105,331.1,0.0500,-63.86,3.27
106,335.0,0.0500,-63.52,9.01
