#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-63.92,-2.84
2,101.2,0.0500,-63.84,3.35
3,102.3,0.0500,-64.71,1.19
4,103.5,0.0500,-64.52,7.02
5,104.7,0.0500,-64.72,0.69
6,105.9,0.0500,-63.52,-0.06
7,107.2,0.0500,-63.76,-5.58
8,108.4,0.0500,-64.33,-2.08
9,109.6,0.0500,-63.39,-6.06
10,110.9,0.0500,-64.68,9.27
11,112.2,0.0500,-65.19,4.22
12,113.5,0.0500,-63.59,5.55
13,114.8,0.0500,-64.26,10.72
14,116.1,0.0500,-64.48,2.80
15,117.5,0.0500,-65.06,-4.44
16,118.9,0.0500,-64.66,1.91
17,120.2,0.0500,-64.75,3.12
18,121.6,0.0500,-64.32,-1.61
19,123.0,0.0500,-64.07,0.18
20,124.5,0.0500,-63.95,-2.77
21,125.9,0.0500,-63.69,-4.56
22,127.4,0.0500,-63.26,-1.55
23,128.8,0.0500,-63.78,3.10
24,130.3,0.0500,-64.77,11.30
25,131.8,0.0500,-63.61,-2.95
26,133.4,0.0500,-64.36,-0.66
27,134.9,0.0500,-63.60,8.57
28,136.5,0.0500,-64.35,3.56
29,138.0,0.0500,-64.01,1.07
30,139.6,0.0500,-64.37,-1.52
31,141.3,0.0500,-63.04,6.10
32,142.9,0.0500,-63.41,0.63
33,144.5,0.0500,-63.70,-4.43
34,146.2,0.0500,-63.15,0.96
35,147.9,0.0500,-63.40,4.11
36,149.6,0.0500,-63.32,1.64
37,151.4,0.0500,-63.66,-0.40
38,153.1,0.0500,-62.89,7.80
39,154.9,0.0500,-63.47,3.92
40,156.7,0.0500,-63.91,-2.02
41,158.5,0.0500,-63.25,1.95
42,160.3,0.0500,-64.81,-4.82
43,162.2,0.0500,-63.22,4.51
44,164.1,0.0500,-63.55,6.60
45,166.0,0.0500,-64.33,2.41
46,167.9,0.0500,-64.42,1.33
47,169.8,0.0500,-63.90,2.00
48,171.8,0.0500,-63.11,-4.51
49,173.8,0.0500,-63.73,8.69
50,175.8,0.0500,-64.67,4.98
51,177.8,0.0500,-63.72,4.50
52,179.9,0.0500,-63.67,1.30
53,182.0,0.0500,-62.84,2.91
54,184.1,0.0500,-62.56,-2.20
55,186.2,0.0500,-63.29,3.34
56,188.4,0.0500,-64.30,0.64
57,190.5,0.0500,-62.59,5.98
58,192.8,0.0500,-63.36,4.54
59,195.0,0.0500,-64.83,7.17
60,197.2,0.0500,-63.77,3.98
61,199.5,0.0500,-63.13,6.19
62,201.8,0.0500,-62.83,-0.45
63,204.2,0.0500,-62.85,9.22
64,206.5,0.0500,-64.99,-2.34
65,208.9,0.0500,-62.98,-0.64
66,211.3,0.0500,-64.25,5.77
67,213.8,0.0500,-64.23,-3.29
68,216.3,0.0500,-63.28,1.89
69,218.8,0.0500,-63.96,-0.72
70,221.3,0.0500,-62.66,6.72
71,223.9,0.0500,-63.68,4.72
72,226.5,0.0500,-64.02,7.26
73,229.1,0.0500,-63.98,3.56
74,231.7,0.0500,-64.36,0.38
75,234.4,0.0500,-62.84,2.62
76,237.1,0.0500,-63.70,6.65
77,239.9,0.0500,-63.93,5.15
78,242.7,0.0500,-64.70,2.72
79,245.5,0.0500,-63.08,5.47
80,248.3,0.0500,-63.79,6.51
81,251.2,0.0500,-64.15,7.33
82,254.1,0.0500,-63.78,1.85
83,257.0,0.0500,-62.87,10.28
84,260.0,0.0500,-62.98,-0.29
85,263.0,0.0500,-64.28,3.27
86,266.1,0.0500,-63.14,6.99
87,269.2,0.0500,-64.29,3.56
88,272.3,0.0500,-64.24,7.60
89,275.4,0.0500,-63.77,7.08
90,278.6,0.0500,-62.92,-0.92
91,281.8,0.0500,-63.68,2.10
92,285.1,0.0500,-64.47,8.77
93,288.4,0.0500,-63.63,-0.09
