#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-71.68,-16.09
2,101.2,0.0500,-72.10,-10.14
3,102.3,0.0500,-71.89,-14.63
4,103.5,0.0500,-70.69,9.78
5,104.7,0.0500,-71.50,1.19
6,105.9,0.0500,-72.86,-3.03
7,107.2,0.0500,-69.82,-2.16
8,108.4,0.0500,-72.19,-15.27
9,109.6,0.0500,-70.66,-2.79
10,110.9,0.0500,-69.80,2.23
11,112.2,0.0500,-69.84,4.19
12,113.5,0.0500,-70.15,-8.37
13,114.8,0.0500,-71.96,-4.74
14,116.1,0.0500,-71.93,1.07
15,117.5,0.0500,-73.12,-12.26
16,118.9,0.0500,-69.67,3.61
17,120.2,0.0500,-71.09,-7.76
18,121.6,0.0500,-71.56,-19.97
19,123.0,0.0500,-70.50,-1.11
20,124.5,0.0500,-72.81,3.00
21,125.9,0.0500,-69.89,7.68
22,127.4,0.0500,-71.74,10.80
23,128.8,0.0500,-71.63,-0.70
24,130.3,0.0500,-70.65,1.69
25,131.8,0.0500,-73.26,6.09
26,133.4,0.0500,-70.79,-11.11
27,134.9,0.0500,-71.47,11.58
28,136.5,0.0500,-70.17,-3.73
29,138.0,0.0500,-71.27,-1.46
30,139.6,0.0500,-69.20,4.11
31,141.3,0.0500,-71.47,2.26
32,142.9,0.0500,-71.41,8.53
33,144.5,0.0500,-71.16,-3.23
34,146.2,0.0500,-72.19,5.48
35,147.9,0.0500,-71.68,22.27
36,149.6,0.0500,-69.82,15.88
37,151.4,0.0500,-71.38,-11.41
38,153.1,0.0500,-72.82,-6.20
39,154.9,0.0500,-70.02,-6.60
40,156.7,0.0500,-71.08,5.30
41,158.5,0.0500,-74.07,12.66
42,160.3,0.0500,-70.60,9.20
43,162.2,0.0500,-73.04,5.81
44,164.1,0.0500,-71.53,-8.29
45,166.0,0.0500,-72.84,-6.46
46,167.9,0.0500,-71.07,7.37
47,169.8,0.0500,-72.13,-2.55
48,171.8,0.0500,-69.24,-2.39
49,173.8,0.0500,-69.30,-4.91
50,175.8,0.0500,-72.76,9.71
51,177.8,0.0500,-72.15,-0.17
52,179.9,0.0500,-72.08,7.06
53,182.0,0.0500,-71.45,-13.34
54,184.1,0.0500,-73.67,-0.84
55,186.2,0.0500,-71.02,-7.99
56,188.4,0.0500,-70.16,2.04
57,190.5,0.0500,-70.59,11.62
58,192.8,0.0500,-70.46,14.98
59,195.0,0.0500,-71.18,-1.17
60,197.2,0.0500,-69.61,8.70
61,199.5,0.0500,-72.42,7.15
62,201.8,0.0500,-71.29,11.39
63,204.2,0.0500,-70.52,-12.44
64,206.5,0.0500,-71.17,0.35
65,208.9,0.0500,-69.74,3.29
66,211.3,0.0500,-70.44,-1.41
67,213.8,0.0500,-71.80,6.42
68,216.3,0.0500,-71.58,-8.31
69,218.8,0.0500,-69.27,-4.83
70,221.3,0.0500,-69.96,2.01
71,223.9,0.0500,-69.17,-2.89
72,226.5,0.0500,-70.43,4.26
73,229.1,0.0500,-70.22,-0.99
74,231.7,0.0500,-70.16,-7.49
75,234.4,0.0500,-70.40,10.91
76,237.1,0.0500,-69.86,6.88
77,239.9,0.0500,-71.28,2.84
78,242.7,0.0500,-69.19,4.37
79,245.5,0.0500,-71.59,5.50
80,248.3,0.0500,-71.03,6.53
81,251.2,0.0500,-68.33,-5.20
82,254.1,0.0500,-71.81,13.37
83,257.0,0.0500,-72.08,6.97
84,260.0,0.0500,-73.53,27.20
85,263.0,0.0500,-71.14,16.65
86,266.1,0.0500,-72.83,9.14
87,269.2,0.0500,-72.45,4.41
88,272.3,0.0500,-73.12,-25.55
89,275.4,0.0500,-70.26,11.37
90,278.6,0.0500,-70.17,18.87
91,281.8,0.0500,-72.16,7.53
92,285.1,0.0500,-71.04,3.33
93,288.4,0.0500,-69.52,2.16
94,291.7,0.0500,-72.20,2.45
95,295.1,0.0500,-70.09,12.04
96,298.5,0.0500,-69.86,3.76
97,302.0,0.0500,-69.61,-0.94
98,305.5,0.0500,-70.53,1.22
99,309.0,0.0500,-71.40,9.99
100,312.6,0.0500,-70.43,6.56
101,316.2,0.0500,-70.11,9.39
102,319.9,0.0500,-69.30,-5.89
103,323.6,0.0500,-69.26,19.20
104,327.3,0.0500,-72.57,17.19
105,331.1,0.0500,-70.73,9.46
106,335.0,0.0500,-72.16,2.56
107,338.8,0.0500,-70.40,-1.76
108,342.8,0.0500,-72.72,7.81
109,346.7,0.0500,-70.42,-2.84
110,350.8,0.0500,-69.15,-4.17
111,354.8,0.0500,-70.45,10.92
112,358.9,0.0500,-68.80,7.24
113,363.1,0.0500,-72.38,-0.80
114,367.3,0.0500,-69.70,4.32
115,371.5,0.0500,-68.68,-0.65
116,375.8,0.0500,-70.69,17.74
117,380.2,0.0500,-69.79,10.32
118,384.6,0.0500,-70.25,-2.08
119,389.0,0.0500,-70.09,-2.74
120,393.6,0.0500,-70.24,8.32
121,398.1,0.0500,-70.02,5.47
122,402.7,0.0500,-69.34,9.19
123,407.4,0.0500,-68.32,0.27
124,412.1,0.0500,-70.50,-7.71
125,416.9,0.0500,-71.93,6.22
126,421.7,0.0500,-71.10,15.10
127,426.6,0.0500,-69.71,12.26
128,431.5,0.0500,-70.62,1.76
129,436.5,0.0500,-71.70,-9.26
130,441.6,0.0500,-71.28,1.97
131,446.7,0.0500,-72.09,13.47
132,451.9,0.0500,-72.59,-0.84
133,457.1,0.0500,-70.99,9.31
134,462.4,0.0500,-69.98,3.54
135,467.7,0.0500,-71.31,13.33
136,473.2,0.0500,-71.19,-2.63
137,478.6,0.0500,-69.90,-2.99
138,484.2,0.0500,-69.82,11.49
139,489.8,0.0500,-70.71,12.32
140,495.5,0.0500,-71.07,19.50
141,501.2,0.0500,-68.19,-0.09
142,507.0,0.0500,-69.56,-0.39
143,512.9,0.0500,-68.39,-9.30
144,518.8,0.0500,-69.64,10.94
145,524.8,0.0500,-69.20,0.27
146,530.9,0.0500,-69.31,6.86
147,537.0,0.0500,-70.39,21.48
148,543.3,0.0500,-70.96,4.35
149,549.5,0.0500,-69.55,-3.01
150,555.9,0.0500,-72.98,1.19
151,562.3,0.0500,-71.42,9.23
152,568.9,0.0500,-71.29,2.31
153,575.4,0.0500,-70.77,6.40
154,582.1,0.0500,-70.10,17.67
155,588.8,0.0500,-69.95,3.23
156,595.7,0.0500,-69.11,3.30
157,602.6,0.0500,-69.72,6.95
158,609.5,0.0500,-71.35,11.29
159,616.6,0.0500,-71.59,16.52
160,623.7,0.0500,-68.02,4.60
161,631.0,0.0500,-69.96,16.24
162,638.3,0.0500,-68.52,2.58
163,645.7,0.0500,-70.76,5.43
164,653.1,0.0500,-68.84,6.53
165,660.7,0.0500,-69.53,5.47
166,668.3,0.0500,-69.95,1.98
167,676.1,0.0500,-69.49,10.06
168,683.9,0.0500,-68.90,10.00
169,691.8,0.0500,-71.30,18.32
170,699.8,0.0500,-70.39,15.65
171,707.9,0.0500,-70.01,23.28
172,716.1,0.0500,-68.93,8.00
173,724.4,0.0500,-70.02,17.64
174,732.8,0.0500,-70.10,20.64
175,741.3,0.0500,-72.47,16.19
176,749.9,0.0500,-71.37,8.98
177,758.6,0.0500,-70.21,23.23
178,767.4,0.0500,-69.41,17.40
179,776.2,0.0500,-70.86,7.57
180,785.2,0.0500,-71.03,13.39
181,794.3,0.0500,-69.52,11.67
182,803.5,0.0500,-70.51,16.14
183,812.8,0.0500,-69.32,3.11
184,822.2,0.0500,-71.29,14.08
185,831.8,0.0500,-70.38,10.25
186,841.4,0.0500,-70.04,11.16
187,851.1,0.0500,-70.30,6.68
188,861.0,0.0500,-68.76,23.45
189,871.0,0.0500,-69.03,19.40
190,881.0,0.0500,-69.26,2.69
191,891.3,0.0500,-69.75,12.07
192,901.6,0.0500,-68.70,15.91
193,912.0,0.0500,-68.81,14.85
194,922.6,0.0500,-69.99,9.28
195,933.3,0.0500,-70.13,23.09
196,944.1,0.0500,-70.39,13.40
197,955.0,0.0500,-68.95,8.11
198,966.1,0.0500,-68.65,14.75
199,977.2,0.0500,-67.35,25.12
200,988.6,0.0500,-69.21,17.12
201,1000.0,0.0500,-70.99,-7.48
202,1011.6,0.0500,-68.70,2.33
203,1023.3,0.0500,-69.65,3.37
204,1035.1,0.0500,-69.46,12.87
205,1047.1,0.0500,-69.84,15.28
206,1059.3,0.0500,-67.42,12.57
207,1071.5,0.0500,-72.52,35.15
208,1083.9,0.0500,-68.46,19.42
209,1096.5,0.0500,-70.29,5.19
210,1109.2,0.0500,-70.39,12.02
211,1122.0,0.0500,-68.63,3.67
212,1135.0,0.0500,-70.36,4.05
213,1148.2,0.0500,-71.91,9.60
214,1161.4,0.0500,-71.09,16.52
215,1174.9,0.0500,-70.65,39.77
216,1188.5,0.0500,-69.02,8.07
217,1202.3,0.0500,-69.36,18.06
218,1216.2,0.0500,-69.35,11.09
219,1230.3,0.0500,-69.05,18.57
220,1244.5,0.0500,-68.02,22.59
221,1258.9,0.0500,-67.97,10.61
222,1273.5,0.0500,-70.64,23.42
223,1288.2,0.0500,-70.28,12.98
224,1303.2,0.0500,-69.03,17.99
225,1318.3,0.0500,-70.05,20.11
226,1333.5,0.0500,-70.17,15.14
227,1349.0,0.0500,-69.49,14.86
228,1364.6,0.0500,-68.71,20.19
229,1380.4,0.0500,-69.21,12.21
230,1396.4,0.0500,-67.86,27.42
231,1412.5,0.0500,-72.58,0.90
232,1428.9,0.0500,-68.43,17.50
233,1445.4,0.0500,-70.92,7.47
234,1462.2,0.0500,-69.87,20.37
235,1479.1,0.0500,-71.24,38.41
236,1496.2,0.0500,-68.41,1.27
237,1513.6,0.0500,-68.10,7.29
238,1531.1,0.0500,-71.83,45.87
239,1548.8,0.0500,-67.77,25.63
240,1566.8,0.0500,-66.57,8.03
241,1584.9,0.0500,-68.77,14.98
242,1603.2,0.0500,-69.53,14.09
243,1621.8,0.0500,-70.11,40.66
244,1640.6,0.0500,-81.65,77.91
245,1659.6,0.0500,-80.07,-64.41
246,1678.8,0.0500,-70.79,74.30
247,1698.2,0.0500,-68.97,-2.33
248,1717.9,0.0500,-68.81,5.78
249,1737.8,0.0500,-70.16,26.30
250,1757.9,0.0500,-70.35,29.47
251,1778.3,0.0500,-72.95,3.65
252,1798.9,0.0500,-69.32,39.65
253,1819.7,0.0500,-71.04,27.22
254,1840.8,0.0500,-73.03,66.71
255,1862.1,0.0500,-70.22,52.80
256,1883.6,0.0500,-67.00,31.05
257,1905.5,0.0500,-70.87,49.43
258,1927.5,0.0500,-69.79,0.18
259,1949.8,0.0500,-73.22,21.00
260,1972.4,0.0500,-71.95,31.95
261,1995.3,0.0500,-69.46,29.21
262,2018.4,0.0500,-69.65,34.94
263,2041.7,0.0500,-68.88,23.67
264,2065.4,0.0500,-68.89,21.61
265,2089.3,0.0500,-67.71,29.40
266,2113.5,0.0500,-69.02,25.51
267,2138.0,0.0500,-69.95,35.61
268,2162.7,0.0500,-68.41,17.41
269,2187.8,0.0500,-67.81,24.52
270,2213.1,0.0500,-68.88,16.47
271,2238.7,0.0500,-68.99,19.86
272,2264.6,0.0500,-69.23,24.48
273,2290.9,0.0500,-68.46,8.85
