#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-72.64,-7.42
2,101.2,0.0500,-71.27,14.55
3,102.3,0.0500,-74.08,-6.19
4,103.5,0.0500,-69.98,6.44
5,104.7,0.0500,-72.12,0.37
6,105.9,0.0500,-72.70,-2.05
7,107.2,0.0500,-68.89,-10.71
8,108.4,0.0500,-71.35,-1.33
9,109.6,0.0500,-69.71,-0.79
10,110.9,0.0500,-73.41,-8.60
11,112.2,0.0500,-72.75,5.05
12,113.5,0.0500,-70.70,9.81
13,114.8,0.0500,-71.82,3.03
14,116.1,0.0500,-67.97,0.68
15,117.5,0.0500,-68.41,0.95
16,118.9,0.0500,-71.97,-9.61
17,120.2,0.0500,-73.15,-17.56
18,121.6,0.0500,-71.49,3.42
19,123.0,0.0500,-69.53,7.31
20,124.5,0.0500,-72.44,6.05
21,125.9,0.0500,-70.60,12.00
22,127.4,0.0500,-72.21,9.57
23,128.8,0.0500,-71.36,-5.42
24,130.3,0.0500,-71.62,8.61
25,131.8,0.0500,-71.09,14.81
26,133.4,0.0500,-70.96,12.75
27,134.9,0.0500,-70.51,10.74
28,136.5,0.0500,-71.00,-1.05
29,138.0,0.0500,-71.25,3.77
30,139.6,0.0500,-71.19,-7.57
31,141.3,0.0500,-71.85,-7.59
32,142.9,0.0500,-70.87,3.27
33,144.5,0.0500,-71.05,-4.80
34,146.2,0.0500,-69.35,12.25
35,147.9,0.0500,-68.69,0.61
36,149.6,0.0500,-70.84,10.24
37,151.4,0.0500,-71.41,-7.73
38,153.1,0.0500,-71.11,-13.32
39,154.9,0.0500,-71.94,33.95
40,156.7,0.0500,-70.66,4.03
41,158.5,0.0500,-69.92,5.29
42,160.3,0.0500,-72.52,-5.66
43,162.2,0.0500,-71.78,18.61
44,164.1,0.0500,-72.49,5.02
45,166.0,0.0500,-71.23,3.86
46,167.9,0.0500,-71.02,-3.85
47,169.8,0.0500,-71.49,-2.44
48,171.8,0.0500,-69.90,-4.30
49,173.8,0.0500,-71.57,-2.69
50,175.8,0.0500,-69.78,17.52
51,177.8,0.0500,-71.32,5.70
52,179.9,0.0500,-72.64,-14.00
53,182.0,0.0500,-70.37,-8.61
54,184.1,0.0500,-70.66,3.62
55,186.2,0.0500,-70.62,-3.70
56,188.4,0.0500,-70.33,-10.57
57,190.5,0.0500,-70.34,10.47
58,192.8,0.0500,-71.58,-2.20
59,195.0,0.0500,-72.18,2.36
60,197.2,0.0500,-71.50,20.27
61,199.5,0.0500,-71.99,6.22
62,201.8,0.0500,-70.21,7.69
63,204.2,0.0500,-71.58,10.76
64,206.5,0.0500,-68.66,1.79
65,208.9,0.0500,-70.28,-1.51
66,211.3,0.0500,-71.55,6.59
67,213.8,0.0500,-70.12,12.30
68,216.3,0.0500,-69.76,-5.69
69,218.8,0.0500,-70.13,3.44
70,221.3,0.0500,-70.58,0.47
71,223.9,0.0500,-71.46,8.77
72,226.5,0.0500,-68.94,9.19
73,229.1,0.0500,-68.80,-1.04
74,231.7,0.0500,-69.43,11.44
75,234.4,0.0500,-69.44,14.01
76,237.1,0.0500,-70.66,3.78
77,239.9,0.0500,-70.53,1.07
78,242.7,0.0500,-71.59,9.38
79,245.5,0.0500,-69.33,18.42
80,248.3,0.0500,-69.90,3.25
81,251.2,0.0500,-70.87,0.86
82,254.1,0.0500,-70.70,-2.07
83,257.0,0.0500,-68.93,9.83
84,260.0,0.0500,-68.67,6.63
85,263.0,0.0500,-70.91,7.89
86,266.1,0.0500,-70.56,17.43
87,269.2,0.0500,-69.95,7.62
88,272.3,0.0500,-71.04,2.06
89,275.4,0.0500,-70.10,3.95
90,278.6,0.0500,-70.09,7.24
91,281.8,0.0500,-71.16,-7.10
92,285.1,0.0500,-70.53,16.00
93,288.4,0.0500,-68.88,8.65
94,291.7,0.0500,-72.54,2.16
95,295.1,0.0500,-71.58,6.28
96,298.5,0.0500,-72.18,9.81
97,302.0,0.0500,-71.69,9.87
98,305.5,0.0500,-71.25,9.77
99,309.0,0.0500,-70.92,4.39
100,312.6,0.0500,-70.00,3.18
101,316.2,0.0500,-71.66,-3.73
102,319.9,0.0500,-70.02,0.92
103,323.6,0.0500,-71.52,14.19
104,327.3,0.0500,-68.82,0.35
105,331.1,0.0500,-70.39,-1.25
106,335.0,0.0500,-70.58,4.09
107,338.8,0.0500,-71.25,-14.35
108,342.8,0.0500,-68.27,6.59
109,346.7,0.0500,-69.51,-0.61
110,350.8,0.0500,-70.12,-18.06
111,354.8,0.0500,-69.90,2.04
112,358.9,0.0500,-69.77,-3.84
113,363.1,0.0500,-70.00,1.33
114,367.3,0.0500,-69.67,0.23
115,371.5,0.0500,-70.06,-7.09
116,375.8,0.0500,-68.76,6.63
117,380.2,0.0500,-70.79,5.76
118,384.6,0.0500,-71.28,5.18
119,389.0,0.0500,-69.81,13.15
120,393.6,0.0500,-71.10,-1.73
121,398.1,0.0500,-69.99,12.75
122,402.7,0.0500,-70.24,4.60
123,407.4,0.0500,-69.59,8.90
124,412.1,0.0500,-68.59,4.07
125,416.9,0.0500,-69.46,0.11
126,421.7,0.0500,-70.66,24.98
127,426.6,0.0500,-70.60,15.76
128,431.5,0.0500,-71.09,13.53
129,436.5,0.0500,-69.81,7.67
130,441.6,0.0500,-70.76,12.91
131,446.7,0.0500,-68.78,6.49
132,451.9,0.0500,-68.25,5.58
133,457.1,0.0500,-71.47,-6.57
134,462.4,0.0500,-70.14,2.08
135,467.7,0.0500,-69.18,5.41
136,473.2,0.0500,-71.16,2.19
137,478.6,0.0500,-70.16,15.05
138,484.2,0.0500,-70.09,14.40
139,489.8,0.0500,-70.14,8.82
140,495.5,0.0500,-68.96,14.89
141,501.2,0.0500,-70.57,17.36
142,507.0,0.0500,-68.57,13.26
143,512.9,0.0500,-69.64,13.58
144,518.8,0.0500,-71.64,11.99
145,524.8,0.0500,-69.46,9.58
146,530.9,0.0500,-69.61,0.32
147,537.0,0.0500,-69.16,2.24
148,543.3,0.0500,-68.87,9.59
149,549.5,0.0500,-69.22,11.70
150,555.9,0.0500,-70.72,12.79
151,562.3,0.0500,-69.67,8.52
152,568.9,0.0500,-70.18,17.31
153,575.4,0.0500,-70.04,19.83
154,582.1,0.0500,-70.82,2.00
155,588.8,0.0500,-70.20,1.58
156,595.7,0.0500,-69.28,1.33
157,602.6,0.0500,-70.97,0.22
158,609.5,0.0500,-69.80,5.09
159,616.6,0.0500,-70.70,-0.56
160,623.7,0.0500,-68.42,2.37
161,631.0,0.0500,-69.98,-3.35
162,638.3,0.0500,-69.75,6.34
163,645.7,0.0500,-71.34,11.43
164,653.1,0.0500,-70.09,20.93
165,660.7,0.0500,-67.97,10.90
166,668.3,0.0500,-71.65,-0.07
167,676.1,0.0500,-70.30,-0.52
168,683.9,0.0500,-69.03,7.78
169,691.8,0.0500,-69.60,10.63
170,699.8,0.0500,-70.67,13.24
171,707.9,0.0500,-69.25,1.45
172,716.1,0.0500,-69.39,22.69
173,724.4,0.0500,-70.10,9.45
174,732.8,0.0500,-69.06,8.52
175,741.3,0.0500,-70.25,12.58
176,749.9,0.0500,-73.98,-1.76
177,758.6,0.0500,-72.60,14.76
178,767.4,0.0500,-68.62,21.61
179,776.2,0.0500,-68.74,2.85
180,785.2,0.0500,-69.90,4.69
181,794.3,0.0500,-69.11,18.45
182,803.5,0.0500,-69.83,11.42
183,812.8,0.0500,-68.54,8.58
184,822.2,0.0500,-69.32,11.74
185,831.8,0.0500,-70.46,13.09
186,841.4,0.0500,-70.06,6.61
187,851.1,0.0500,-69.44,10.11
188,861.0,0.0500,-68.62,10.04
189,871.0,0.0500,-69.46,12.95
190,881.0,0.0500,-71.47,10.16
191,891.3,0.0500,-70.81,17.30
192,901.6,0.0500,-69.74,16.06
193,912.0,0.0500,-70.53,14.39
194,922.6,0.0500,-69.18,13.35
195,933.3,0.0500,-68.41,10.03
196,944.1,0.0500,-69.52,2.28
197,955.0,0.0500,-69.33,5.60
198,966.1,0.0500,-67.86,9.19
199,977.2,0.0500,-70.58,24.94
200,988.6,0.0500,-72.60,6.85
201,1000.0,0.0500,-69.06,8.78
202,1011.6,0.0500,-70.49,0.44
203,1023.3,0.0500,-71.10,10.80
204,1035.1,0.0500,-68.26,-7.13
205,1047.1,0.0500,-68.75,22.41
206,1059.3,0.0500,-71.26,7.62
207,1071.5,0.0500,-68.84,9.62
208,1083.9,0.0500,-71.76,2.59
209,1096.5,0.0500,-69.75,14.53
210,1109.2,0.0500,-70.99,5.17
211,1122.0,0.0500,-69.69,14.28
212,1135.0,0.0500,-73.53,6.07
213,1148.2,0.0500,-69.17,11.07
214,1161.4,0.0500,-70.68,7.66
215,1174.9,0.0500,-67.34,2.92
216,1188.5,0.0500,-70.97,0.33
217,1202.3,0.0500,-70.22,10.84
218,1216.2,0.0500,-69.96,9.70
219,1230.3,0.0500,-68.65,13.35
220,1244.5,0.0500,-68.72,13.24
221,1258.9,0.0500,-70.08,9.06
222,1273.5,0.0500,-70.32,18.08
223,1288.2,0.0500,-69.48,17.52
224,1303.2,0.0500,-70.22,26.72
225,1318.3,0.0500,-69.24,4.24
226,1333.5,0.0500,-67.56,25.21
227,1349.0,0.0500,-70.04,14.09
228,1364.6,0.0500,-69.50,20.46
229,1380.4,0.0500,-68.17,25.32
230,1396.4,0.0500,-74.09,6.57
231,1412.5,0.0500,-67.39,13.03
232,1428.9,0.0500,-66.57,24.14
233,1445.4,0.0500,-70.80,10.60
234,1462.2,0.0500,-69.24,31.19
235,1479.1,0.0500,-67.75,9.21
236,1496.2,0.0500,-72.50,6.70
237,1513.6,0.0500,-70.89,27.33
238,1531.1,0.0500,-68.02,0.80
239,1548.8,0.0500,-96.62,-116.78
240,1566.8,0.0500,-71.60,87.54
241,1584.9,0.0500,-67.99,17.31
242,1603.2,0.0500,-69.35,20.59
243,1621.8,0.0500,-73.61,42.27
244,1640.6,0.0500,-65.24,42.24
245,1659.6,0.0500,-71.31,33.81
246,1678.8,0.0500,-69.25,-50.74
247,1698.2,0.0500,-68.19,6.93
248,1717.9,0.0500,-67.49,22.26
249,1737.8,0.0500,-71.06,48.68
250,1757.9,0.0500,-67.32,21.01
251,1778.3,0.0500,-74.09,22.42
252,1798.9,0.0500,-67.54,37.29
253,1819.7,0.0500,-67.32,26.80
254,1840.8,0.0500,-74.28,2.46
255,1862.1,0.0500,-66.42,19.13
256,1883.6,0.0500,-70.63,4.70
257,1905.5,0.0500,-77.41,51.09
258,1927.5,0.0500,-65.90,10.71
259,1949.8,0.0500,-69.54,41.83
260,1972.4,0.0500,-70.86,-17.38
261,1995.3,0.0500,-69.29,12.79
262,2018.4,0.0500,-67.55,29.81
263,2041.7,0.0500,-70.05,27.74
264,2065.4,0.0500,-67.51,11.74
265,2089.3,0.0500,-69.72,27.31
266,2113.5,0.0500,-68.87,24.40
