#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-59.55,5.20
2,101.2,0.0500,-60.34,8.33
3,102.3,0.0500,-60.79,4.46
4,103.5,0.0500,-61.40,0.54
5,104.7,0.0500,-61.39,2.52
6,105.9,0.0500,-61.50,7.17
7,107.2,0.0500,-61.03,4.15
8,108.4,0.0500,-61.55,4.51
9,109.6,0.0500,-61.20,3.84
10,110.9,0.0500,-61.88,-0.42
11,112.2,0.0500,-60.21,0.78
12,113.5,0.0500,-60.88,8.02
13,114.8,0.0500,-61.16,3.32
14,116.1,0.0500,-60.70,-0.89
15,117.5,0.0500,-60.67,5.07
16,118.9,0.0500,-61.12,5.93
17,120.2,0.0500,-60.56,4.07
18,121.6,0.0500,-61.28,0.63
19,123.0,0.0500,-61.21,0.75
20,124.5,0.0500,-60.00,3.05
21,125.9,0.0500,-60.13,3.76
22,127.4,0.0500,-60.62,1.39
23,128.8,0.0500,-60.66,3.16
24,130.3,0.0500,-61.29,0.00
25,131.8,0.0500,-61.09,7.32
26,133.4,0.0500,-60.80,1.65
27,134.9,0.0500,-61.02,4.40
28,136.5,0.0500,-60.70,1.86
29,138.0,0.0500,-60.56,2.47
30,139.6,0.0500,-59.93,2.69
31,141.3,0.0500,-60.92,-0.54
32,142.9,0.0500,-60.81,8.98
33,144.5,0.0500,-59.72,9.14
34,146.2,0.0500,-60.95,2.30
35,147.9,0.0500,-60.92,-2.99
36,149.6,0.0500,-60.41,1.80
37,151.4,0.0500,-61.15,5.57
38,153.1,0.0500,-60.57,5.44
39,154.9,0.0500,-61.08,-0.88
40,156.7,0.0500,-60.84,8.18
41,158.5,0.0500,-60.72,1.19
42,160.3,0.0500,-60.35,4.23
43,162.2,0.0500,-61.84,7.12
44,164.1,0.0500,-60.83,1.99
45,166.0,0.0500,-60.93,0.69
46,167.9,0.0500,-60.65,3.84
47,169.8,0.0500,-60.31,9.36
48,171.8,0.0500,-60.45,0.29
49,173.8,0.0500,-60.84,9.42
50,175.8,0.0500,-60.46,1.92
51,177.8,0.0500,-60.68,4.13
52,179.9,0.0500,-61.12,7.83
53,182.0,0.0500,-60.78,5.18
54,184.1,0.0500,-60.31,2.44
55,186.2,0.0500,-60.50,8.27
56,188.4,0.0500,-60.46,6.36
57,190.5,0.0500,-60.33,4.87
58,192.8,0.0500,-60.19,6.36
59,195.0,0.0500,-60.49,2.42
60,197.2,0.0500,-60.44,7.01
61,199.5,0.0500,-59.81,4.49
62,201.8,0.0500,-60.61,0.83
63,204.2,0.0500,-61.26,5.44
64,206.5,0.0500,-60.38,5.66
65,208.9,0.0500,-60.82,9.05
66,211.3,0.0500,-60.21,5.70
67,213.8,0.0500,-60.43,8.66
68,216.3,0.0500,-60.24,6.63
69,218.8,0.0500,-60.24,6.02
70,221.3,0.0500,-60.49,5.73
71,223.9,0.0500,-60.74,5.00
72,226.5,0.0500,-60.23,1.55
73,229.1,0.0500,-60.43,6.34
74,231.7,0.0500,-60.76,6.20
75,234.4,0.0500,-60.67,3.85
76,237.1,0.0500,-60.89,11.00
77,239.9,0.0500,-60.39,8.43
78,242.7,0.0500,-60.09,7.16
79,245.5,0.0500,-60.45,5.16
80,248.3,0.0500,-60.22,8.27
81,251.2,0.0500,-59.74,4.62
82,254.1,0.0500,-60.63,7.82
83,257.0,0.0500,-60.50,10.24
84,260.0,0.0500,-60.28,3.91
85,263.0,0.0500,-60.94,4.82
86,266.1,0.0500,-60.43,6.41
87,269.2,0.0500,-60.50,5.94
88,272.3,0.0500,-60.37,6.86
89,275.4,0.0500,-60.65,8.50
90,278.6,0.0500,-59.53,7.29
91,281.8,0.0500,-60.64,7.16
92,285.1,0.0500,-60.72,4.83
93,288.4,0.0500,-60.61,6.20
94,291.7,0.0500,-60.12,5.86
95,295.1,0.0500,-60.00,9.14
96,298.5,0.0500,-61.11,9.25
97,302.0,0.0500,-60.76,12.56
98,305.5,0.0500,-60.38,7.59
99,309.0,0.0500,-59.95,10.16
100,312.6,0.0500,-59.94,7.17
101,316.2,0.0500,-60.16,6.15
102,319.9,0.0500,-60.64,8.48
103,323.6,0.0500,-59.91,5.38
104,327.3,0.0500,-60.01,8.58
105,331.1,0.0500,-60.46,7.88
106,335.0,0.0500,-60.11,5.49
107,338.8,0.0500,-59.57,6.91
108,342.8,0.0500,-60.06,9.81
109,346.7,0.0500,-59.97,11.16
110,350.8,0.0500,-60.60,9.15
111,354.8,0.0500,-60.14,12.50
112,358.9,0.0500,-60.27,12.08
113,363.1,0.0500,-59.95,6.64
114,367.3,0.0500,-60.05,9.81
115,371.5,0.0500,-59.70,7.90
116,375.8,0.0500,-59.94,10.61
117,380.2,0.0500,-59.75,11.97
118,384.6,0.0500,-60.45,6.35
119,389.0,0.0500,-59.97,11.57
120,393.6,0.0500,-59.86,8.64
121,398.1,0.0500,-59.98,10.31
122,402.7,0.0500,-59.95,9.15
123,407.4,0.0500,-60.09,9.38
124,412.1,0.0500,-59.25,11.46
125,416.9,0.0500,-60.28,11.93
126,421.7,0.0500,-60.05,9.82
127,426.6,0.0500,-60.20,8.96
128,431.5,0.0500,-60.07,10.98
129,436.5,0.0500,-60.10,10.31
130,441.6,0.0500,-59.95,12.38
131,446.7,0.0500,-59.25,7.43
132,451.9,0.0500,-60.10,13.80
