#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-60.71,-0.15
2,101.2,0.0500,-60.66,5.29
3,102.3,0.0500,-60.92,3.84
4,103.5,0.0500,-61.47,5.82
5,104.7,0.0500,-60.13,-4.17
6,105.9,0.0500,-60.56,2.81
7,107.2,0.0500,-60.84,7.92
8,108.4,0.0500,-60.48,1.70
9,109.6,0.0500,-60.90,5.09
10,110.9,0.0500,-60.98,1.55
11,112.2,0.0500,-60.58,-1.36
12,113.5,0.0500,-61.66,0.88
13,114.8,0.0500,-60.96,0.18
14,116.1,0.0500,-61.02,2.73
15,117.5,0.0500,-61.04,2.06
16,118.9,0.0500,-60.22,3.43
17,120.2,0.0500,-61.46,4.63
18,121.6,0.0500,-60.98,4.87
19,123.0,0.0500,-61.37,3.19
20,124.5,0.0500,-60.43,3.61
21,125.9,0.0500,-60.11,0.53
22,127.4,0.0500,-60.62,3.69
23,128.8,0.0500,-60.56,1.70
24,130.3,0.0500,-60.75,3.45
25,131.8,0.0500,-61.00,1.76
26,133.4,0.0500,-60.44,5.04
27,134.9,0.0500,-60.91,3.25
28,136.5,0.0500,-59.81,9.26
29,138.0,0.0500,-60.84,0.20
30,139.6,0.0500,-59.98,2.23
31,141.3,0.0500,-60.17,1.02
32,142.9,0.0500,-60.99,7.18
33,144.5,0.0500,-60.81,4.56
34,146.2,0.0500,-60.84,6.04
35,147.9,0.0500,-61.47,4.38
36,149.6,0.0500,-60.25,3.11
37,151.4,0.0500,-60.74,2.94
38,153.1,0.0500,-60.06,6.32
39,154.9,0.0500,-61.17,-1.19
40,156.7,0.0500,-60.60,6.91
41,158.5,0.0500,-59.97,1.61
42,160.3,0.0500,-60.87,0.82
43,162.2,0.0500,-60.72,6.98
44,164.1,0.0500,-60.57,5.58
45,166.0,0.0500,-59.69,6.67
46,167.9,0.0500,-60.47,7.63
47,169.8,0.0500,-60.54,4.70
48,171.8,0.0500,-60.96,5.51
49,173.8,0.0500,-59.99,6.92
50,175.8,0.0500,-61.21,6.97
51,177.8,0.0500,-60.32,6.23
52,179.9,0.0500,-60.67,2.98
53,182.0,0.0500,-59.94,1.57
54,184.1,0.0500,-60.49,5.94
55,186.2,0.0500,-60.80,10.23
56,188.4,0.0500,-59.87,5.68
57,190.5,0.0500,-60.54,6.27
58,192.8,0.0500,-61.18,11.10
59,195.0,0.0500,-60.36,11.09
60,197.2,0.0500,-60.96,11.08
61,199.5,0.0500,-60.90,5.72
62,201.8,0.0500,-61.13,9.96
63,204.2,0.0500,-60.34,9.50
64,206.5,0.0500,-60.31,2.07
65,208.9,0.0500,-60.02,5.72
66,211.3,0.0500,-60.56,5.41
67,213.8,0.0500,-60.72,4.80
68,216.3,0.0500,-60.72,3.72
69,218.8,0.0500,-60.73,7.22
70,221.3,0.0500,-60.17,4.76
71,223.9,0.0500,-60.11,7.66
72,226.5,0.0500,-60.58,4.66
73,229.1,0.0500,-59.93,5.54
74,231.7,0.0500,-60.97,4.14
75,234.4,0.0500,-60.47,3.29
76,237.1,0.0500,-60.04,7.91
77,239.9,0.0500,-60.31,3.19
78,242.7,0.0500,-59.96,7.06
79,245.5,0.0500,-60.33,11.23
80,248.3,0.0500,-60.66,3.26
81,251.2,0.0500,-59.85,10.46
82,254.1,0.0500,-60.56,5.08
83,257.0,0.0500,-60.55,8.46
84,260.0,0.0500,-60.84,4.72
85,263.0,0.0500,-60.49,4.70
86,266.1,0.0500,-60.15,2.54
87,269.2,0.0500,-60.05,4.25
88,272.3,0.0500,-60.34,6.62
89,275.4,0.0500,-60.30,5.39
90,278.6,0.0500,-60.06,9.96
91,281.8,0.0500,-60.20,7.80
92,285.1,0.0500,-60.67,8.73
93,288.4,0.0500,-60.45,9.99
94,291.7,0.0500,-60.15,6.79
95,295.1,0.0500,-60.13,8.93
96,298.5,0.0500,-60.48,12.51
97,302.0,0.0500,-60.28,6.75
98,305.5,0.0500,-60.14,9.41
99,309.0,0.0500,-60.55,6.96
100,312.6,0.0500,-60.83,12.41
101,316.2,0.0500,-59.50,8.94
102,319.9,0.0500,-59.93,6.92
103,323.6,0.0500,-60.10,10.63
104,327.3,0.0500,-60.32,8.33
105,331.1,0.0500,-59.95,5.35
106,335.0,0.0500,-59.91,12.76
107,338.8,0.0500,-59.66,8.19
108,342.8,0.0500,-60.33,6.12
109,346.7,0.0500,-59.84,10.89
110,350.8,0.0500,-59.97,12.34
111,354.8,0.0500,-59.88,10.52
