#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-64.92,-4.04
2,101.2,0.0500,-63.51,4.68
3,102.3,0.0500,-64.63,0.86
4,103.5,0.0500,-64.33,0.72
5,104.7,0.0500,-63.93,1.42
6,105.9,0.0500,-63.27,0.45
7,107.2,0.0500,-63.37,2.15
8,108.4,0.0500,-63.38,3.90
9,109.6,0.0500,-63.23,3.32
10,110.9,0.0500,-63.28,5.80
11,112.2,0.0500,-63.82,-3.04
12,113.5,0.0500,-63.91,7.29
13,114.8,0.0500,-64.99,-1.60
14,116.1,0.0500,-64.01,3.72
15,117.5,0.0500,-64.04,5.25
16,118.9,0.0500,-63.94,-0.42
17,120.2,0.0500,-64.06,7.62
18,121.6,0.0500,-64.19,0.63
19,123.0,0.0500,-64.08,0.64
20,124.5,0.0500,-63.50,0.93
21,125.9,0.0500,-64.13,-2.73
22,127.4,0.0500,-63.18,2.60
23,128.8,0.0500,-63.83,-0.43
24,130.3,0.0500,-63.89,9.84
25,131.8,0.0500,-63.62,7.37
26,133.4,0.0500,-63.63,6.34
27,134.9,0.0500,-63.61,2.78
28,136.5,0.0500,-63.41,-0.86
29,138.0,0.0500,-62.83,3.95
30,139.6,0.0500,-64.49,6.56
31,141.3,0.0500,-63.51,7.10
32,142.9,0.0500,-63.82,7.09
33,144.5,0.0500,-63.64,7.79
34,146.2,0.0500,-64.22,8.13
35,147.9,0.0500,-63.53,3.99
36,149.6,0.0500,-64.15,2.87
37,151.4,0.0500,-64.19,9.91
38,153.1,0.0500,-64.23,7.93
39,154.9,0.0500,-63.66,-1.06
40,156.7,0.0500,-62.80,0.30
41,158.5,0.0500,-64.61,9.71
42,160.3,0.0500,-64.24,1.79
43,162.2,0.0500,-64.18,0.86
44,164.1,0.0500,-63.73,7.79
45,166.0,0.0500,-64.43,-3.04
46,167.9,0.0500,-63.48,5.33
47,169.8,0.0500,-63.23,2.19
48,171.8,0.0500,-63.47,3.03
49,173.8,0.0500,-62.97,8.57
50,175.8,0.0500,-63.60,-4.36
51,177.8,0.0500,-62.97,5.34
52,179.9,0.0500,-62.87,6.02
53,182.0,0.0500,-63.55,4.23
54,184.1,0.0500,-63.73,10.11
55,186.2,0.0500,-63.74,6.22
56,188.4,0.0500,-63.63,8.74
57,190.5,0.0500,-63.05,6.88
58,192.8,0.0500,-64.16,0.30
59,195.0,0.0500,-63.80,6.46
60,197.2,0.0500,-63.56,8.84
61,199.5,0.0500,-63.54,6.87
62,201.8,0.0500,-62.55,6.25
63,204.2,0.0500,-62.94,5.15
64,206.5,0.0500,-62.99,6.80
65,208.9,0.0500,-63.26,8.75
66,211.3,0.0500,-64.30,7.27
67,213.8,0.0500,-63.04,5.06
68,216.3,0.0500,-62.74,7.23
69,218.8,0.0500,-63.61,10.44
70,221.3,0.0500,-63.33,10.99
71,223.9,0.0500,-64.17,12.97
72,226.5,0.0500,-63.06,3.89
73,229.1,0.0500,-62.78,14.06
74,231.7,0.0500,-63.29,14.04
75,234.4,0.0500,-63.18,7.52
76,237.1,0.0500,-63.80,7.75
77,239.9,0.0500,-63.58,1.05
78,242.7,0.0500,-64.01,4.91
79,245.5,0.0500,-63.24,8.03
80,248.3,0.0500,-62.64,8.71
81,251.2,0.0500,-62.85,3.86
82,254.1,0.0500,-62.95,8.20
83,257.0,0.0500,-63.33,12.24
84,260.0,0.0500,-62.90,6.19
85,263.0,0.0500,-63.22,8.65
86,266.1,0.0500,-63.36,11.66
87,269.2,0.0500,-63.06,10.33
88,272.3,0.0500,-63.39,18.34
89,275.4,0.0500,-63.55,6.73
90,278.6,0.0500,-63.10,8.60
91,281.8,0.0500,-62.91,2.12
92,285.1,0.0500,-63.16,6.16
93,288.4,0.0500,-63.46,8.54
94,291.7,0.0500,-62.92,8.03
95,295.1,0.0500,-63.51,11.40
96,298.5,0.0500,-63.43,10.03
97,302.0,0.0500,-63.86,7.84
98,305.5,0.0500,-62.46,7.10
99,309.0,0.0500,-62.94,7.65
100,312.6,0.0500,-63.19,10.67
101,316.2,0.0500,-62.50,13.23
102,319.9,0.0500,-63.38,11.49
103,323.6,0.0500,-63.42,14.73
104,327.3,0.0500,-62.71,17.90
105,331.1,0.0500,-63.41,7.93
106,335.0,0.0500,-63.18,13.93
107,338.8,0.0500,-63.22,12.44
108,342.8,0.0500,-63.18,11.72
109,346.7,0.0500,-62.22,6.75
110,350.8,0.0500,-62.58,7.49
111,354.8,0.0500,-62.66,8.40
112,358.9,0.0500,-62.79,14.91
113,363.1,0.0500,-63.32,7.94
114,367.3,0.0500,-63.15,14.01
115,371.5,0.0500,-63.81,9.42
116,375.8,0.0500,-62.17,14.88
117,380.2,0.0500,-62.81,12.01
118,384.6,0.0500,-62.73,10.58
119,389.0,0.0500,-62.75,10.87
120,393.6,0.0500,-63.76,9.16
121,398.1,0.0500,-63.21,10.34
122,402.7,0.0500,-62.64,10.00
123,407.4,0.0500,-63.14,8.11
124,412.1,0.0500,-63.03,13.52
125,416.9,0.0500,-62.20,9.00
