#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-63.85,7.05
2,101.2,0.0500,-63.75,-4.45
3,102.3,0.0500,-64.87,1.15
4,103.5,0.0500,-63.31,1.25
5,104.7,0.0500,-64.53,3.93
6,105.9,0.0500,-63.14,-3.86
7,107.2,0.0500,-63.81,6.55
8,108.4,0.0500,-63.61,0.77
9,109.6,0.0500,-63.90,3.67
10,110.9,0.0500,-63.46,4.02
11,112.2,0.0500,-63.41,-0.53
12,113.5,0.0500,-63.64,1.97
13,114.8,0.0500,-64.25,7.33
14,116.1,0.0500,-62.67,3.85
15,117.5,0.0500,-62.33,1.76
16,118.9,0.0500,-64.94,0.74
17,120.2,0.0500,-63.58,-0.98
18,121.6,0.0500,-63.49,11.41
19,123.0,0.0500,-63.83,-4.44
20,124.5,0.0500,-64.44,0.97
21,125.9,0.0500,-64.09,7.15
22,127.4,0.0500,-63.47,-1.21
23,128.8,0.0500,-63.23,4.76
24,130.3,0.0500,-63.40,5.14
25,131.8,0.0500,-62.21,5.59
26,133.4,0.0500,-63.85,-3.15
27,134.9,0.0500,-63.91,4.93
28,136.5,0.0500,-64.07,0.95
29,138.0,0.0500,-63.58,-3.51
30,139.6,0.0500,-63.95,13.81
31,141.3,0.0500,-64.67,0.12
32,142.9,0.0500,-64.11,6.44
33,144.5,0.0500,-64.85,-1.14
34,146.2,0.0500,-63.80,1.53
35,147.9,0.0500,-63.88,-0.92
36,149.6,0.0500,-64.28,6.49
37,151.4,0.0500,-63.92,2.58
38,153.1,0.0500,-62.87,6.20
39,154.9,0.0500,-63.79,6.91
40,156.7,0.0500,-63.93,2.45
41,158.5,0.0500,-63.83,11.24
42,160.3,0.0500,-64.12,14.10
43,162.2,0.0500,-64.01,1.88
44,164.1,0.0500,-63.48,0.46
45,166.0,0.0500,-63.59,9.63
46,167.9,0.0500,-64.09,2.95
47,169.8,0.0500,-63.97,3.87
48,171.8,0.0500,-62.58,9.42
49,173.8,0.0500,-62.80,6.38
50,175.8,0.0500,-63.05,6.63
51,177.8,0.0500,-63.84,2.35
52,179.9,0.0500,-63.68,4.82
53,182.0,0.0500,-62.65,7.49
54,184.1,0.0500,-63.27,9.09
55,186.2,0.0500,-63.53,9.47
56,188.4,0.0500,-63.32,8.28
57,190.5,0.0500,-63.96,9.32
58,192.8,0.0500,-63.39,8.30
59,195.0,0.0500,-63.58,3.24
60,197.2,0.0500,-63.41,2.39
61,199.5,0.0500,-63.50,1.89
62,201.8,0.0500,-62.44,5.76
63,204.2,0.0500,-63.35,11.92
64,206.5,0.0500,-62.96,13.31
65,208.9,0.0500,-64.35,4.07
66,211.3,0.0500,-63.49,1.29
67,213.8,0.0500,-62.12,2.26
68,216.3,0.0500,-62.97,5.94
69,218.8,0.0500,-63.72,5.89
70,221.3,0.0500,-63.05,11.23
71,223.9,0.0500,-63.98,6.95
72,226.5,0.0500,-63.64,4.82
73,229.1,0.0500,-63.84,6.63
74,231.7,0.0500,-64.07,1.44
75,234.4,0.0500,-63.76,10.00
76,237.1,0.0500,-64.18,7.10
77,239.9,0.0500,-64.23,5.87
78,242.7,0.0500,-62.77,5.22
79,245.5,0.0500,-63.36,9.55
80,248.3,0.0500,-62.62,7.27
81,251.2,0.0500,-63.42,5.58
82,254.1,0.0500,-62.48,-0.29
83,257.0,0.0500,-62.64,7.32
84,260.0,0.0500,-62.10,6.05
85,263.0,0.0500,-64.14,9.50
86,266.1,0.0500,-63.19,7.48
87,269.2,0.0500,-63.29,10.02
88,272.3,0.0500,-63.38,15.20
89,275.4,0.0500,-63.11,12.68
90,278.6,0.0500,-63.53,7.92
91,281.8,0.0500,-63.55,6.11
92,285.1,0.0500,-62.74,5.40
93,288.4,0.0500,-63.49,10.29
94,291.7,0.0500,-63.48,9.32
95,295.1,0.0500,-63.57,10.22
96,298.5,0.0500,-62.63,8.16
97,302.0,0.0500,-62.90,6.54
98,305.5,0.0500,-63.03,12.01
99,309.0,0.0500,-63.00,6.10
100,312.6,0.0500,-63.18,11.30
101,316.2,0.0500,-62.65,5.33
102,319.9,0.0500,-62.46,11.50
103,323.6,0.0500,-63.65,9.48
104,327.3,0.0500,-63.15,6.62
105,331.1,0.0500,-62.86,10.79
106,335.0,0.0500,-63.09,9.30
107,338.8,0.0500,-63.54,12.09
108,342.8,0.0500,-63.41,6.07
109,346.7,0.0500,-62.30,7.36
110,350.8,0.0500,-62.83,5.03
111,354.8,0.0500,-61.94,12.53
112,358.9,0.0500,-63.56,12.63
113,363.1,0.0500,-63.65,12.53
114,367.3,0.0500,-63.00,9.03
115,371.5,0.0500,-62.29,12.18
116,375.8,0.0500,-62.50,7.45
117,380.2,0.0500,-63.44,12.31
118,384.6,0.0500,-62.71,9.96
119,389.0,0.0500,-62.44,9.81
120,393.6,0.0500,-62.99,10.06
121,398.1,0.0500,-62.88,13.20
122,402.7,0.0500,-62.94,13.91
123,407.4,0.0500,-62.49,12.50
124,412.1,0.0500,-62.89,8.45
125,416.9,0.0500,-63.54,8.80
126,421.7,0.0500,-63.42,10.68
127,426.6,0.0500,-62.16,18.14
128,431.5,0.0500,-62.27,13.69
129,436.5,0.0500,-63.09,12.75
130,441.6,0.0500,-62.81,13.93
131,446.7,0.0500,-62.75,11.63
132,451.9,0.0500,-63.01,17.01
133,457.1,0.0500,-62.41,13.63
134,462.4,0.0500,-62.24,10.38
135,467.7,0.0500,-62.75,10.55
136,473.2,0.0500,-63.01,13.29
137,478.6,0.0500,-62.06,15.15
138,484.2,0.0500,-62.58,10.02
139,489.8,0.0500,-62.71,14.25
140,495.5,0.0500,-61.57,16.72
141,501.2,0.0500,-61.89,17.56
142,507.0,0.0500,-62.66,17.76
143,512.9,0.0500,-63.39,14.22
144,518.8,0.0500,-62.35,15.63
145,524.8,0.0500,-63.09,14.17
146,530.9,0.0500,-62.97,13.41
147,537.0,0.0500,-63.16,15.87
148,543.3,0.0500,-63.16,11.41
149,549.5,0.0500,-62.81,21.36
150,555.9,0.0500,-62.39,14.56
151,562.3,0.0500,-62.66,21.05
152,568.9,0.0500,-62.90,18.55
153,575.4,0.0500,-62.15,18.60
154,582.1,0.0500,-62.17,19.90
155,588.8,0.0500,-62.10,15.18
156,595.7,0.0500,-61.72,14.55
157,602.6,0.0500,-62.59,15.64
158,609.5,0.0500,-61.29,18.89
159,616.6,0.0500,-62.85,22.09
160,623.7,0.0500,-63.30,18.29
161,631.0,0.0500,-62.16,18.87
162,638.3,0.0500,-62.21,17.57
163,645.7,0.0500,-62.03,14.23
164,653.1,0.0500,-62.70,15.21
165,660.7,0.0500,-62.25,15.98
166,668.3,0.0500,-61.64,18.98
167,676.1,0.0500,-63.35,19.93
168,683.9,0.0500,-62.18,24.25
169,691.8,0.0500,-62.10,18.51
170,699.8,0.0500,-62.25,21.11
171,707.9,0.0500,-63.44,16.27
172,716.1,0.0500,-62.60,25.23
173,724.4,0.0500,-61.38,14.01
174,732.8,0.0500,-61.77,20.93
175,741.3,0.0500,-63.12,28.07
176,749.9,0.0500,-62.21,19.57
177,758.6,0.0500,-62.32,18.71
178,767.4,0.0500,-61.39,20.50
179,776.2,0.0500,-62.09,24.73
180,785.2,0.0500,-62.75,26.99
181,794.3,0.0500,-61.95,31.72
182,803.5,0.0500,-61.85,25.29
183,812.8,0.0500,-61.62,21.74
184,822.2,0.0500,-62.22,25.77
185,831.8,0.0500,-62.05,24.21
186,841.4,0.0500,-62.01,26.75
187,851.1,0.0500,-61.66,23.39
188,861.0,0.0500,-62.17,30.02
189,871.0,0.0500,-62.03,26.90
190,881.0,0.0500,-61.71,21.69
191,891.3,0.0500,-61.93,23.75
192,901.6,0.0500,-62.11,27.29
193,912.0,0.0500,-61.85,24.65
194,922.6,0.0500,-61.55,31.32
195,933.3,0.0500,-61.60,28.38
196,944.1,0.0500,-62.07,26.48
197,955.0,0.0500,-62.50,29.00
198,966.1,0.0500,-61.97,26.77
199,977.2,0.0500,-63.79,24.31
200,988.6,0.0500,-61.83,28.97
201,1000.0,0.0500,-61.72,20.30
202,1011.6,0.0500,-61.68,28.17
203,1023.3,0.0500,-61.97,27.83
204,1035.1,0.0500,-61.64,26.84
205,1047.1,0.0500,-60.78,28.63
206,1059.3,0.0500,-61.45,29.04
207,1071.5,0.0500,-62.48,28.76
208,1083.9,0.0500,-61.47,23.47
209,1096.5,0.0500,-61.11,26.32
210,1109.2,0.0500,-62.31,24.98
211,1122.0,0.0500,-60.96,29.67
212,1135.0,0.0500,-61.26,28.64
213,1148.2,0.0500,-60.97,30.21
214,1161.4,0.0500,-61.76,28.19
215,1174.9,0.0500,-61.28,33.40
216,1188.5,0.0500,-61.58,33.06
217,1202.3,0.0500,-60.57,35.53
218,1216.2,0.0500,-60.97,32.41
219,1230.3,0.0500,-61.18,33.04
220,1244.5,0.0500,-60.72,33.69
221,1258.9,0.0500,-60.71,28.90
222,1273.5,0.0500,-60.57,36.36
223,1288.2,0.0500,-61.44,29.43
224,1303.2,0.0500,-61.16,33.68
225,1318.3,0.0500,-60.75,32.01
226,1333.5,0.0500,-60.60,33.82
227,1349.0,0.0500,-59.70,39.78
228,1364.6,0.0500,-60.50,35.07
229,1380.4,0.0500,-60.00,35.50
230,1396.4,0.0500,-60.24,39.07
231,1412.5,0.0500,-60.83,36.94
232,1428.9,0.0500,-60.35,39.82
233,1445.4,0.0500,-61.20,36.30
234,1462.2,0.0500,-60.83,34.95
235,1479.1,0.0500,-60.97,36.64
236,1496.2,0.0500,-59.17,39.39
237,1513.6,0.0500,-59.35,50.51
238,1531.1,0.0500,-60.79,41.72
239,1548.8,0.0500,-60.91,28.57
240,1566.8,0.0500,-59.39,24.90
241,1584.9,0.0500,-60.25,46.35
242,1603.2,0.0500,-59.71,36.83
243,1621.8,0.0500,-59.67,46.60
244,1640.6,0.0500,-59.31,44.48
245,1659.6,0.0500,-60.13,45.83
246,1678.8,0.0500,-59.79,52.60
247,1698.2,0.0500,-58.62,38.76
248,1717.9,0.0500,-60.92,40.76
249,1737.8,0.0500,-59.37,49.53
250,1757.9,0.0500,-59.84,37.05
251,1778.3,0.0500,-59.50,39.57
252,1798.9,0.0500,-60.41,41.93
253,1819.7,0.0500,-60.26,44.40
254,1840.8,0.0500,-61.67,49.27
255,1862.1,0.0500,-59.34,40.97
256,1883.6,0.0500,-59.23,39.04
257,1905.5,0.0500,-59.73,43.08
258,1927.5,0.0500,-58.92,45.30
259,1949.8,0.0500,-59.88,45.32
260,1972.4,0.0500,-59.25,44.49
261,1995.3,0.0500,-58.84,48.44
262,2018.4,0.0500,-59.16,43.80
263,2041.7,0.0500,-59.52,47.30
264,2065.4,0.0500,-58.33,43.17
265,2089.3,0.0500,-59.02,45.44
266,2113.5,0.0500,-58.99,47.06
267,2138.0,0.0500,-58.63,48.14
268,2162.7,0.0500,-58.56,49.29
269,2187.8,0.0500,-58.74,46.27
270,2213.1,0.0500,-58.84,43.62
271,2238.7,0.0500,-58.83,48.64
272,2264.6,0.0500,-58.38,47.84
273,2290.9,0.0500,-57.92,48.62
274,2317.4,0.0500,-58.28,52.49
275,2344.2,0.0500,-58.37,43.29
276,2371.4,0.0500,-58.22,48.29
277,2398.8,0.0500,-58.83,51.44
278,2426.6,0.0500,-58.82,48.79
279,2454.7,0.0500,-59.16,48.95
280,2483.1,0.0500,-58.41,51.29
281,2511.9,0.0500,-58.34,47.43
282,2541.0,0.0500,-57.74,54.59
283,2570.4,0.0500,-58.18,53.07
284,2600.2,0.0500,-57.54,52.84
285,2630.3,0.0500,-57.64,47.24
286,2660.7,0.0500,-57.78,49.23
287,2691.5,0.0500,-57.77,52.49
288,2722.7,0.0500,-56.71,52.32
289,2754.2,0.0500,-57.40,51.60
290,2786.1,0.0500,-57.53,56.68
291,2818.4,0.0500,-57.48,50.43
292,2851.0,0.0500,-57.30,50.45
293,2884.0,0.0500,-57.14,54.03
294,2917.4,0.0500,-56.72,53.76
295,2951.2,0.0500,-57.02,54.83
296,2985.4,0.0500,-57.81,57.77
297,3020.0,0.0500,-56.63,53.27
298,3054.9,0.0500,-57.03,54.24
299,3090.3,0.0500,-56.63,54.78
300,3126.1,0.0500,-56.93,55.60
301,3162.3,0.0500,-56.37,55.92
302,3198.9,0.0500,-57.07,52.83
303,3235.9,0.0500,-56.67,54.09
304,3273.4,0.0500,-56.41,57.89
305,3311.3,0.0500,-56.25,54.90
306,3349.7,0.0500,-55.86,59.44
307,3388.4,0.0500,-55.85,56.67
308,3427.7,0.0500,-55.02,55.05
309,3467.4,0.0500,-56.26,57.34
310,3507.5,0.0500,-55.93,70.12
311,3548.1,0.0500,-56.58,55.94
312,3589.2,0.0500,-55.39,58.17
313,3630.8,0.0500,-55.90,63.71
314,3672.8,0.0500,-55.62,57.26
315,3715.4,0.0500,-56.27,59.94
316,3758.4,0.0500,-55.99,61.69
317,3801.9,0.0500,-54.40,64.66
318,3845.9,0.0500,-55.07,61.38
319,3890.5,0.0500,-55.00,59.05
320,3935.5,0.0500,-54.40,62.56
321,3981.1,0.0500,-54.95,63.48
322,4027.2,0.0500,-54.84,58.97
323,4073.8,0.0500,-55.12,60.44
324,4121.0,0.0500,-55.03,59.57
325,4168.7,0.0500,-54.68,62.21
326,4217.0,0.0500,-54.98,64.39
327,4265.8,0.0500,-54.54,65.06
328,4315.2,0.0500,-54.83,60.81
329,4365.2,0.0500,-54.57,62.41
330,4415.7,0.0500,-54.46,63.06
331,4466.8,0.0500,-54.33,63.35
332,4518.6,0.0500,-54.52,66.02
333,4570.9,0.0500,-54.05,63.35
334,4623.8,0.0500,-54.11,63.52
335,4677.4,0.0500,-54.26,62.79
336,4731.5,0.0500,-54.08,64.08
337,4786.3,0.0500,-53.96,66.82
338,4841.7,0.0500,-53.79,64.33
339,4897.8,0.0500,-53.80,64.61
340,4954.5,0.0500,-53.27,65.85
341,5011.9,0.0500,-53.42,65.91
342,5069.9,0.0500,-53.67,65.27
343,5128.6,0.0500,-53.32,65.43
344,5188.0,0.0500,-53.57,66.96
345,5248.1,0.0500,-53.33,65.96
346,5308.8,0.0500,-53.12,64.44
347,5370.3,0.0500,-53.13,66.65
348,5432.5,0.0500,-52.76,66.54
349,5495.4,0.0500,-53.16,64.89
350,5559.0,0.0500,-52.69,65.29
351,5623.4,0.0500,-53.01,65.76
352,5688.5,0.0500,-52.93,68.44
353,5754.4,0.0500,-52.77,68.13
354,5821.0,0.0500,-52.93,67.97
355,5888.4,0.0500,-52.27,68.12
356,5956.6,0.0500,-51.83,65.97
357,6025.6,0.0500,-52.72,68.38
358,6095.4,0.0500,-52.25,66.85
359,6166.0,0.0500,-52.13,66.02
360,6237.3,0.0500,-51.80,72.03
361,6309.6,0.0500,-52.08,67.45
362,6382.6,0.0500,-51.96,69.50
363,6456.5,0.0500,-51.58,69.81
364,6531.3,0.0500,-51.96,69.20
365,6606.9,0.0500,-51.56,68.12
366,6683.4,0.0500,-51.74,68.39
367,6760.8,0.0500,-51.39,69.68
368,6839.1,0.0500,-51.13,72.02
369,6918.3,0.0500,-51.13,66.84
370,6998.4,0.0500,-51.66,71.84
371,7079.5,0.0500,-51.39,71.07
372,7161.4,0.0500,-51.46,69.39
373,7244.4,0.0500,-51.17,70.66
374,7328.2,0.0500,-50.62,71.63
375,7413.1,0.0500,-50.46,73.07
376,7498.9,0.0500,-50.69,70.37
377,7585.8,0.0500,-50.30,73.57
378,7673.6,0.0500,-50.60,70.42
379,7762.5,0.0500,-50.71,72.27
380,7852.4,0.0500,-50.14,70.45
381,7943.3,0.0500,-49.78,73.16
382,8035.3,0.0500,-50.68,71.59
383,8128.3,0.0500,-49.98,71.95
384,8222.4,0.0500,-49.75,70.75
385,8317.6,0.0500,-50.22,73.10
386,8414.0,0.0500,-49.68,73.15
387,8511.4,0.0500,-49.53,72.66
388,8609.9,0.0500,-49.73,72.16
389,8709.6,0.0500,-49.62,71.94
390,8810.5,0.0500,-49.37,72.90
391,8912.5,0.0500,-49.35,73.04
392,9015.7,0.0500,-49.05,72.39
393,9120.1,0.0500,-49.18,73.09
394,9225.7,0.0500,-48.79,74.93
395,9332.5,0.0500,-48.76,73.45
396,9440.6,0.0500,-48.89,73.05
397,9549.9,0.0500,-48.66,72.94
398,9660.5,0.0500,-48.74,72.82
399,9772.4,0.0500,-48.59,73.51
400,9885.5,0.0500,-48.38,74.36
401,10000.0,0.0500,-48.45,75.48
402,10115.8,0.0500,-48.24,75.28
403,10232.9,0.0500,-48.29,74.23
404,10351.4,0.0500,-48.09,73.87
405,10471.3,0.0500,-48.18,74.23
406,10592.5,0.0500,-48.18,73.51
407,10715.2,0.0500,-48.05,74.93
408,10839.3,0.0500,-48.05,73.81
409,10964.8,0.0500,-47.57,75.20
410,11091.7,0.0500,-47.68,75.07
411,11220.2,0.0500,-47.55,74.10
412,11350.1,0.0500,-47.42,74.75
413,11481.5,0.0500,-47.63,74.00
414,11614.5,0.0500,-47.09,74.98
415,11749.0,0.0500,-47.15,75.28
416,11885.0,0.0500,-47.23,75.83
417,12022.6,0.0500,-47.36,75.46
418,12161.9,0.0500,-46.70,73.54
419,12302.7,0.0500,-46.76,75.18
420,12445.1,0.0500,-46.68,75.67
421,12589.3,0.0500,-46.68,76.23
422,12735.0,0.0500,-46.28,76.76
423,12882.5,0.0500,-46.34,75.98
424,13031.7,0.0500,-46.27,76.83
425,13182.6,0.0500,-46.19,75.74
426,13335.2,0.0500,-46.13,74.50
427,13489.6,0.0500,-46.05,76.22
428,13645.8,0.0500,-45.90,77.52
429,13803.8,0.0500,-45.62,76.74
430,13963.7,0.0500,-46.00,75.45
431,14125.4,0.0500,-45.67,76.94
432,14288.9,0.0500,-45.55,76.53
433,14454.4,0.0500,-45.28,77.00
434,14621.8,0.0500,-45.36,77.12
435,14791.1,0.0500,-45.28,76.03
436,14962.4,0.0500,-45.12,77.50
437,15135.6,0.0500,-45.24,76.99
438,15310.9,0.0500,-45.12,76.66
439,15488.2,0.0500,-45.15,76.38
440,15667.5,0.0500,-44.80,77.75
441,15848.9,0.0500,-44.64,76.53
442,16032.5,0.0500,-44.78,77.74
443,16218.1,0.0500,-44.54,77.63
444,16405.9,0.0500,-44.50,77.29
445,16595.9,0.0500,-44.45,77.99
446,16788.0,0.0500,-44.24,77.53
447,16982.4,0.0500,-44.13,77.15
448,17179.1,0.0500,-44.11,77.51
449,17378.0,0.0500,-43.96,78.08
450,17579.2,0.0500,-43.89,78.71
451,17782.8,0.0500,-43.80,78.62
452,17988.7,0.0500,-43.69,78.14
453,18197.0,0.0500,-43.68,77.71
454,18407.7,0.0500,-43.53,78.09
455,18620.9,0.0500,-43.39,77.49
456,18836.5,0.0500,-43.39,77.81
457,19054.6,0.0500,-43.15,77.85
458,19275.2,0.0500,-43.16,78.26
459,19498.4,0.0500,-43.03,78.72
460,19724.2,0.0500,-42.99,78.60
461,19952.6,0.0500,-42.93,77.64
462,20183.7,0.0500,-42.69,78.10
463,20417.4,0.0500,-42.72,78.07
464,20653.8,0.0500,-42.68,78.27
465,20893.0,0.0500,-42.56,78.67
466,21134.9,0.0500,-42.44,78.42
467,21379.6,0.0500,-42.29,78.88
468,21627.2,0.0500,-42.24,78.88
469,21877.6,0.0500,-42.17,78.70
470,22130.9,0.0500,-41.98,79.03
471,22387.2,0.0500,-41.92,78.67
472,22646.4,0.0500,-41.91,78.74
473,22908.7,0.0500,-41.71,78.85
474,23173.9,0.0500,-41.72,78.22
