#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-0.10,-0.05
2,101.2,0.0500,-0.09,-0.08
3,102.3,0.0500,-0.08,-0.15
4,103.5,0.0500,-0.08,-0.07
5,104.7,0.0500,-0.09,-0.11
6,105.9,0.0500,-0.08,-0.10
7,107.2,0.0500,-0.08,-0.13
8,108.4,0.0500,-0.09,-0.11
9,109.6,0.0500,-0.08,-0.12
10,110.9,0.0500,-0.09,-0.11
11,112.2,0.0500,-0.09,-0.12
12,113.5,0.0500,-0.09,-0.18
13,114.8,0.0500,-0.09,-0.11
14,116.1,0.0500,-0.08,-0.12
15,117.5,0.0500,-0.09,-0.17
16,118.9,0.0500,-0.09,-0.16
17,120.2,0.0500,-0.09,-0.18
18,121.6,0.0500,-0.09,-0.17
19,123.0,0.0500,-0.09,-0.11
20,124.5,0.0500,-0.10,-0.17
21,125.9,0.0500,-0.10,-0.12
22,127.4,0.0500,-0.10,-0.18
23,128.8,0.0500,-0.09,-0.17
24,130.3,0.0500,-0.09,-0.18
25,131.8,0.0500,-0.09,-0.13
26,133.4,0.0500,-0.10,-0.16
27,134.9,0.0500,-0.09,-0.17
28,136.5,0.0500,-0.10,-0.17
29,138.0,0.0500,-0.10,-0.21
30,139.6,0.0500,-0.10,-0.17
31,141.3,0.0500,-0.10,-0.17
32,142.9,0.0500,-0.09,-0.17
33,144.5,0.0500,-0.10,-0.18
34,146.2,0.0500,-0.10,-0.14
35,147.9,0.0500,-0.10,-0.17
36,149.6,0.0500,-0.10,-0.17
37,151.4,0.0500,-0.10,-0.17
38,153.1,0.0500,-0.10,-0.17
39,154.9,0.0500,-0.10,-0.18
40,156.7,0.0500,-0.10,-0.18
41,158.5,0.0500,-0.10,-0.21
42,160.3,0.0500,-0.10,-0.18
43,162.2,0.0500,-0.10,-0.16
44,164.1,0.0500,-0.10,-0.21
45,166.0,0.0500,-0.10,-0.17
46,167.9,0.0500,-0.10,-0.19
47,169.8,0.0500,-0.11,-0.19
48,171.8,0.0500,-0.10,-0.23
49,173.8,0.0500,-0.09,-0.18
50,175.8,0.0500,-0.10,-0.23
51,177.8,0.0500,-0.10,-0.16
52,179.9,0.0500,-0.10,-0.22
53,182.0,0.0500,-0.10,-0.23
54,184.1,0.0500,-0.11,-0.19
55,186.2,0.0500,-0.10,-0.18
56,188.4,0.0500,-0.11,-0.17
57,190.5,0.0500,-0.10,-0.23
58,192.8,0.0500,-0.10,-0.18
59,195.0,0.0500,-0.10,-0.23
60,197.2,0.0500,-0.10,-0.23
61,199.5,0.0500,-0.10,-0.21
62,201.8,0.0500,-0.10,-0.17
63,204.2,0.0500,-0.11,-0.18
64,206.5,0.0500,-0.10,-0.18
65,208.9,0.0500,-0.11,-0.23
66,211.3,0.0500,-0.10,-0.23
67,213.8,0.0500,-0.10,-0.23
68,216.3,0.0500,-0.11,-0.23
69,218.8,0.0500,-0.10,-0.22
70,221.3,0.0500,-0.10,-0.18
71,223.9,0.0500,-0.11,-0.17
72,226.5,0.0500,-0.10,-0.22
73,229.1,0.0500,-0.11,-0.23
74,231.7,0.0500,-0.11,-0.19
75,234.4,0.0500,-0.10,-0.23
76,237.1,0.0500,-0.11,-0.24
77,239.9,0.0500,-0.10,-0.23
78,242.7,0.0500,-0.10,-0.21
79,245.5,0.0500,-0.11,-0.29
80,248.3,0.0500,-0.10,-0.29
81,251.2,0.0500,-0.11,-0.23
82,254.1,0.0500,-0.11,-0.29
83,257.0,0.0500,-0.11,-0.23
84,260.0,0.0500,-0.10,-0.25
85,263.0,0.0500,-0.11,-0.29
