#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-63.99,-3.48
2,101.2,0.0500,-65.15,-2.38
3,102.3,0.0500,-64.87,5.46
4,103.5,0.0500,-63.83,-1.56
5,104.7,0.0500,-64.89,3.95
6,105.9,0.0500,-64.63,1.22
7,107.2,0.0500,-64.87,-0.78
8,108.4,0.0500,-66.43,2.23
9,109.6,0.0500,-65.00,-0.89
10,110.9,0.0500,-64.95,2.36
11,112.2,0.0500,-65.07,4.37
12,113.5,0.0500,-64.49,4.29
13,114.8,0.0500,-65.76,6.71
14,116.1,0.0500,-65.11,-2.60
15,117.5,0.0500,-65.75,3.77
16,118.9,0.0500,-65.08,-9.02
17,120.2,0.0500,-64.66,3.07
18,121.6,0.0500,-65.59,3.08
19,123.0,0.0500,-64.43,8.09
20,124.5,0.0500,-64.00,6.99
21,125.9,0.0500,-65.46,-1.01
22,127.4,0.0500,-66.21,-1.12
23,128.8,0.0500,-64.57,1.66
24,130.3,0.0500,-64.78,5.07
25,131.8,0.0500,-66.41,3.77
26,133.4,0.0500,-65.54,1.33
27,134.9,0.0500,-65.76,-6.88
28,136.5,0.0500,-66.24,9.98
29,138.0,0.0500,-65.60,-5.91
30,139.6,0.0500,-65.54,6.74
31,141.3,0.0500,-65.57,0.86
32,142.9,0.0500,-66.48,7.56
33,144.5,0.0500,-64.13,-12.50
34,146.2,0.0500,-66.47,-0.72
35,147.9,0.0500,-66.28,10.40
36,149.6,0.0500,-65.73,7.19
37,151.4,0.0500,-65.91,2.79
38,153.1,0.0500,-66.89,-5.05
39,154.9,0.0500,-64.82,1.07
40,156.7,0.0500,-65.27,4.33
41,158.5,0.0500,-64.59,5.60
42,160.3,0.0500,-64.83,0.97
43,162.2,0.0500,-64.74,2.75
44,164.1,0.0500,-65.63,5.54
45,166.0,0.0500,-65.88,8.89
46,167.9,0.0500,-64.36,-5.37
47,169.8,0.0500,-65.59,5.66
48,171.8,0.0500,-65.37,-2.41
49,173.8,0.0500,-66.28,9.83
50,175.8,0.0500,-65.11,-0.09
51,177.8,0.0500,-65.46,-0.26
52,179.9,0.0500,-65.69,5.05
53,182.0,0.0500,-65.45,7.32
54,184.1,0.0500,-64.85,4.64
55,186.2,0.0500,-65.53,-0.04
56,188.4,0.0500,-65.82,-2.04
57,190.5,0.0500,-65.27,7.61
58,192.8,0.0500,-66.08,1.26
59,195.0,0.0500,-65.30,1.36
60,197.2,0.0500,-64.64,9.60
61,199.5,0.0500,-66.19,-1.23
62,201.8,0.0500,-65.12,3.30
63,204.2,0.0500,-66.15,3.19
64,206.5,0.0500,-65.26,1.69
65,208.9,0.0500,-66.25,-3.53
66,211.3,0.0500,-64.84,-5.47
67,213.8,0.0500,-65.10,6.68
68,216.3,0.0500,-65.35,4.92
69,218.8,0.0500,-65.43,1.20
70,221.3,0.0500,-65.82,4.15
71,223.9,0.0500,-64.35,10.97
72,226.5,0.0500,-64.90,5.85
73,229.1,0.0500,-66.02,3.29
74,231.7,0.0500,-65.64,-6.81
75,234.4,0.0500,-65.95,8.20
76,237.1,0.0500,-66.39,3.03
77,239.9,0.0500,-64.82,5.64
78,242.7,0.0500,-65.31,8.05
79,245.5,0.0500,-66.49,9.91
80,248.3,0.0500,-64.42,7.61
81,251.2,0.0500,-65.47,6.93
82,254.1,0.0500,-65.21,3.17
83,257.0,0.0500,-65.16,9.38
84,260.0,0.0500,-65.87,12.46
85,263.0,0.0500,-65.49,-3.65
86,266.1,0.0500,-65.44,10.36
87,269.2,0.0500,-66.19,0.33
88,272.3,0.0500,-65.78,4.39
89,275.4,0.0500,-64.55,4.88
90,278.6,0.0500,-65.49,5.83
91,281.8,0.0500,-66.99,4.44
92,285.1,0.0500,-64.71,-0.14
93,288.4,0.0500,-65.05,6.26
94,291.7,0.0500,-65.23,2.89
95,295.1,0.0500,-65.61,4.00
96,298.5,0.0500,-65.04,1.89
97,302.0,0.0500,-65.74,5.81
98,305.5,0.0500,-64.05,6.94
99,309.0,0.0500,-64.46,7.73
100,312.6,0.0500,-65.88,6.97
101,316.2,0.0500,-65.30,11.09
102,319.9,0.0500,-66.05,3.48
103,323.6,0.0500,-64.88,9.29
104,327.3,0.0500,-64.73,6.60
105,331.1,0.0500,-65.37,8.70
106,335.0,0.0500,-65.17,3.61
107,338.8,0.0500,-64.30,9.33
108,342.8,0.0500,-66.03,6.54
109,346.7,0.0500,-65.08,13.83
110,350.8,0.0500,-65.17,8.15
111,354.8,0.0500,-64.98,3.42
112,358.9,0.0500,-65.37,1.46
113,363.1,0.0500,-64.46,11.75
114,367.3,0.0500,-64.72,4.13
115,371.5,0.0500,-65.30,7.20
116,375.8,0.0500,-65.19,6.70
117,380.2,0.0500,-65.84,11.89
118,384.6,0.0500,-65.79,11.67
119,389.0,0.0500,-65.05,8.11
120,393.6,0.0500,-65.22,1.97
121,398.1,0.0500,-64.86,8.01
122,402.7,0.0500,-65.18,13.15
123,407.4,0.0500,-64.62,8.30
124,412.1,0.0500,-64.96,7.09
125,416.9,0.0500,-65.14,2.78
126,421.7,0.0500,-64.89,10.17
127,426.6,0.0500,-65.13,8.34
128,431.5,0.0500,-64.85,5.50
129,436.5,0.0500,-64.61,12.91
130,441.6,0.0500,-64.59,7.43
131,446.7,0.0500,-65.04,3.50
132,451.9,0.0500,-64.77,11.12
133,457.1,0.0500,-64.72,7.32
134,462.4,0.0500,-65.04,9.50
135,467.7,0.0500,-65.66,9.67
136,473.2,0.0500,-65.52,13.20
137,478.6,0.0500,-65.42,8.95
138,484.2,0.0500,-65.11,4.68
139,489.8,0.0500,-65.11,4.69
140,495.5,0.0500,-65.00,6.25
141,501.2,0.0500,-65.08,9.67
142,507.0,0.0500,-65.65,7.38
143,512.9,0.0500,-65.12,13.53
144,518.8,0.0500,-65.15,8.36
145,524.8,0.0500,-64.70,11.11
146,530.9,0.0500,-64.99,6.09
147,537.0,0.0500,-65.37,8.41
148,543.3,0.0500,-66.50,12.76
149,549.5,0.0500,-65.22,12.49
150,555.9,0.0500,-65.24,9.26
151,562.3,0.0500,-64.87,12.53
152,568.9,0.0500,-64.20,9.65
153,575.4,0.0500,-64.95,8.95
154,582.1,0.0500,-65.28,8.53
155,588.8,0.0500,-65.24,9.98
156,595.7,0.0500,-65.04,11.70
157,602.6,0.0500,-65.46,14.08
158,609.5,0.0500,-65.01,6.89
159,616.6,0.0500,-64.89,7.88
160,623.7,0.0500,-65.03,14.52
161,631.0,0.0500,-65.62,14.47
162,638.3,0.0500,-65.08,7.62
163,645.7,0.0500,-64.95,12.38
164,653.1,0.0500,-66.03,14.34
165,660.7,0.0500,-64.79,13.95
166,668.3,0.0500,-64.83,16.24
167,676.1,0.0500,-65.30,6.72
168,683.9,0.0500,-65.11,9.93
169,691.8,0.0500,-65.35,10.56
170,699.8,0.0500,-64.81,12.61
171,707.9,0.0500,-64.98,10.36
172,716.1,0.0500,-65.29,16.03
173,724.4,0.0500,-64.01,10.06
174,732.8,0.0500,-64.17,18.57
175,741.3,0.0500,-65.11,11.55
176,749.9,0.0500,-64.97,15.38
177,758.6,0.0500,-65.09,10.96
178,767.4,0.0500,-64.97,9.75
179,776.2,0.0500,-64.47,11.10
180,785.2,0.0500,-65.38,14.97
181,794.3,0.0500,-65.09,15.31
182,803.5,0.0500,-65.17,11.85
183,812.8,0.0500,-64.99,14.18
184,822.2,0.0500,-64.53,9.65
185,831.8,0.0500,-64.71,18.16
186,841.4,0.0500,-64.46,11.07
187,851.1,0.0500,-64.55,15.14
188,861.0,0.0500,-65.06,15.48
189,871.0,0.0500,-64.45,14.73
190,881.0,0.0500,-64.42,11.90
191,891.3,0.0500,-65.58,14.76
192,901.6,0.0500,-64.89,12.92
193,912.0,0.0500,-64.92,16.08
194,922.6,0.0500,-65.85,19.07
195,933.3,0.0500,-63.92,11.01
196,944.1,0.0500,-64.59,15.05
197,955.0,0.0500,-64.76,17.28
198,966.1,0.0500,-64.63,18.14
199,977.2,0.0500,-64.77,17.62
200,988.6,0.0500,-65.83,12.16
201,1000.0,0.0500,-64.48,18.67
202,1011.6,0.0500,-64.66,19.78
203,1023.3,0.0500,-64.25,15.37
204,1035.1,0.0500,-64.68,16.36
205,1047.1,0.0500,-63.99,22.03
206,1059.3,0.0500,-65.69,11.34
207,1071.5,0.0500,-64.19,21.41
208,1083.9,0.0500,-64.47,19.03
209,1096.5,0.0500,-64.86,21.12
210,1109.2,0.0500,-64.05,18.87
211,1122.0,0.0500,-64.84,20.34
212,1135.0,0.0500,-65.11,29.11
213,1148.2,0.0500,-65.06,14.99
214,1161.4,0.0500,-64.28,20.45
215,1174.9,0.0500,-64.28,23.15
216,1188.5,0.0500,-65.09,21.02
217,1202.3,0.0500,-65.37,24.75
218,1216.2,0.0500,-64.25,18.15
219,1230.3,0.0500,-63.77,18.79
220,1244.5,0.0500,-64.31,24.65
221,1258.9,0.0500,-64.66,20.15
222,1273.5,0.0500,-64.52,16.66
223,1288.2,0.0500,-63.61,21.97
224,1303.2,0.0500,-64.36,22.72
225,1318.3,0.0500,-64.19,24.33
226,1333.5,0.0500,-64.19,25.98
227,1349.0,0.0500,-63.75,19.92
