#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-64.07,-0.18
2,101.2,0.0500,-63.42,4.09
3,102.3,0.0500,-62.82,-3.12
4,103.5,0.0500,-63.62,-6.78
5,104.7,0.0500,-63.64,1.43
6,105.9,0.0500,-64.01,-0.77
7,107.2,0.0500,-64.47,8.23
8,108.4,0.0500,-63.43,5.24
9,109.6,0.0500,-63.92,3.52
10,110.9,0.0500,-64.04,-2.96
11,112.2,0.0500,-63.39,-2.81
12,113.5,0.0500,-62.67,-4.08
13,114.8,0.0500,-63.32,5.48
14,116.1,0.0500,-63.57,2.21
15,117.5,0.0500,-64.47,3.01
16,118.9,0.0500,-63.63,-2.20
17,120.2,0.0500,-63.78,-0.45
18,121.6,0.0500,-64.08,3.32
19,123.0,0.0500,-64.96,-5.05
20,124.5,0.0500,-64.56,-2.51
21,125.9,0.0500,-63.72,4.88
22,127.4,0.0500,-64.81,2.24
23,128.8,0.0500,-62.57,6.16
24,130.3,0.0500,-64.17,-9.55
25,131.8,0.0500,-63.53,-3.99
26,133.4,0.0500,-63.42,4.30
27,134.9,0.0500,-63.91,2.45
28,136.5,0.0500,-65.23,5.40
29,138.0,0.0500,-63.49,1.39
30,139.6,0.0500,-63.38,0.60
31,141.3,0.0500,-63.69,2.84
32,142.9,0.0500,-63.33,8.27
33,144.5,0.0500,-63.22,-5.18
34,146.2,0.0500,-62.99,-1.13
35,147.9,0.0500,-64.84,-4.79
36,149.6,0.0500,-63.54,2.81
37,151.4,0.0500,-63.26,2.36
38,153.1,0.0500,-64.05,-5.10
39,154.9,0.0500,-63.30,-5.51
40,156.7,0.0500,-64.00,6.49
41,158.5,0.0500,-63.48,0.49
42,160.3,0.0500,-63.53,1.46
43,162.2,0.0500,-63.91,1.86
44,164.1,0.0500,-63.79,2.77
45,166.0,0.0500,-64.38,5.69
46,167.9,0.0500,-63.70,-3.89
47,169.8,0.0500,-64.45,4.06
48,171.8,0.0500,-63.52,-3.68
49,173.8,0.0500,-63.96,-1.33
50,175.8,0.0500,-63.16,5.30
51,177.8,0.0500,-63.46,2.24
52,179.9,0.0500,-63.57,4.73
53,182.0,0.0500,-62.24,2.58
54,184.1,0.0500,-62.94,-2.32
55,186.2,0.0500,-63.38,7.50
56,188.4,0.0500,-63.89,5.56
57,190.5,0.0500,-64.14,2.96
58,192.8,0.0500,-63.86,5.83
59,195.0,0.0500,-63.72,1.52
60,197.2,0.0500,-63.07,3.26
61,199.5,0.0500,-62.94,4.57
62,201.8,0.0500,-64.61,2.91
63,204.2,0.0500,-63.29,-1.04
64,206.5,0.0500,-63.66,-3.60
65,208.9,0.0500,-64.25,9.47
66,211.3,0.0500,-64.22,-1.34
67,213.8,0.0500,-63.75,3.70
68,216.3,0.0500,-63.70,5.15
69,218.8,0.0500,-63.80,5.89
70,221.3,0.0500,-63.98,0.64
71,223.9,0.0500,-63.27,1.65
72,226.5,0.0500,-63.41,5.26
73,229.1,0.0500,-63.37,7.57
74,231.7,0.0500,-62.57,-0.05
75,234.4,0.0500,-63.05,2.17
76,237.1,0.0500,-63.69,-1.83
77,239.9,0.0500,-63.32,6.93
78,242.7,0.0500,-63.97,4.62
