#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-76.01,0.92
2,101.2,0.0500,-70.66,-9.52
3,102.3,0.0500,-70.91,-7.28
4,103.5,0.0500,-73.22,-9.07
5,104.7,0.0500,-72.92,2.29
6,105.9,0.0500,-72.41,13.77
7,107.2,0.0500,-71.12,-12.96
8,108.4,0.0500,-72.31,-2.51
9,109.6,0.0500,-72.14,-1.77
10,110.9,0.0500,-72.43,-6.08
11,112.2,0.0500,-71.58,-16.58
12,113.5,0.0500,-72.92,1.57
13,114.8,0.0500,-74.61,8.12
14,116.1,0.0500,-71.17,-15.11
15,117.5,0.0500,-73.24,-9.43
16,118.9,0.0500,-73.03,-0.25
17,120.2,0.0500,-74.77,-1.08
18,121.6,0.0500,-71.55,-6.29
19,123.0,0.0500,-76.27,-6.22
20,124.5,0.0500,-73.60,10.95
21,125.9,0.0500,-72.08,10.54
22,127.4,0.0500,-73.78,-8.22
23,128.8,0.0500,-71.67,1.68
24,130.3,0.0500,-74.76,0.96
25,131.8,0.0500,-72.94,12.13
26,133.4,0.0500,-72.62,-7.51
27,134.9,0.0500,-76.52,20.08
28,136.5,0.0500,-74.24,-1.88
29,138.0,0.0500,-71.18,-3.22
30,139.6,0.0500,-73.10,-3.59
31,141.3,0.0500,-71.73,7.64
32,142.9,0.0500,-73.30,1.39
33,144.5,0.0500,-70.99,-10.18
34,146.2,0.0500,-71.58,5.64
35,147.9,0.0500,-75.60,1.18
36,149.6,0.0500,-72.57,3.44
37,151.4,0.0500,-77.52,18.09
38,153.1,0.0500,-72.82,-16.19
39,154.9,0.0500,-72.63,7.99
40,156.7,0.0500,-77.44,-10.63
41,158.5,0.0500,-71.68,-5.16
42,160.3,0.0500,-72.59,24.50
43,162.2,0.0500,-76.58,10.46
44,164.1,0.0500,-72.19,18.34
45,166.0,0.0500,-74.72,-5.32
46,167.9,0.0500,-71.02,2.67
47,169.8,0.0500,-75.85,-2.16
48,171.8,0.0500,-74.35,-2.28
49,173.8,0.0500,-76.27,10.54
50,175.8,0.0500,-73.06,3.03
51,177.8,0.0500,-70.37,-3.88
52,179.9,0.0500,-73.31,-19.70
53,182.0,0.0500,-70.74,-2.38
54,184.1,0.0500,-72.98,3.27
55,186.2,0.0500,-74.31,0.24
56,188.4,0.0500,-73.41,0.56
57,190.5,0.0500,-70.87,12.80
58,192.8,0.0500,-72.19,-4.53
59,195.0,0.0500,-72.07,26.16
60,197.2,0.0500,-73.05,-2.37
61,199.5,0.0500,-71.33,11.20
62,201.8,0.0500,-73.45,2.59
63,204.2,0.0500,-74.12,-14.57
64,206.5,0.0500,-73.92,-0.15
65,208.9,0.0500,-71.16,1.47
66,211.3,0.0500,-73.56,-2.26
67,213.8,0.0500,-74.07,10.37
68,216.3,0.0500,-72.38,-0.46
69,218.8,0.0500,-70.92,1.56
70,221.3,0.0500,-74.03,4.19
71,223.9,0.0500,-72.85,2.25
72,226.5,0.0500,-72.81,-7.33
73,229.1,0.0500,-72.88,4.20
74,231.7,0.0500,-71.63,6.45
75,234.4,0.0500,-73.89,6.48
76,237.1,0.0500,-71.01,-5.28
77,239.9,0.0500,-76.53,4.03
78,242.7,0.0500,-71.13,20.29
79,245.5,0.0500,-71.80,-0.98
80,248.3,0.0500,-70.63,5.70
81,251.2,0.0500,-72.85,19.44
82,254.1,0.0500,-72.25,3.70
83,257.0,0.0500,-71.07,5.55
84,260.0,0.0500,-70.48,0.89
85,263.0,0.0500,-74.36,-5.96
86,266.1,0.0500,-70.34,5.68
87,269.2,0.0500,-72.07,9.10
88,272.3,0.0500,-71.62,8.90
89,275.4,0.0500,-71.72,14.54
90,278.6,0.0500,-72.24,2.30
91,281.8,0.0500,-73.33,-11.80
92,285.1,0.0500,-71.65,-0.79
93,288.4,0.0500,-71.72,4.65
94,291.7,0.0500,-73.32,8.24
95,295.1,0.0500,-72.14,13.58
96,298.5,0.0500,-71.86,9.76
97,302.0,0.0500,-73.30,-5.84
98,305.5,0.0500,-73.04,7.30
99,309.0,0.0500,-71.60,15.33
100,312.6,0.0500,-71.76,-11.05
101,316.2,0.0500,-72.70,0.31
102,319.9,0.0500,-73.49,7.32
103,323.6,0.0500,-73.37,2.91
104,327.3,0.0500,-72.91,10.02
105,331.1,0.0500,-71.51,7.15
106,335.0,0.0500,-74.26,-3.11
107,338.8,0.0500,-73.43,17.23
108,342.8,0.0500,-73.58,-0.05
109,346.7,0.0500,-71.92,-6.44
110,350.8,0.0500,-71.28,12.55
111,354.8,0.0500,-72.99,7.89
112,358.9,0.0500,-74.59,-2.65
113,363.1,0.0500,-72.01,3.55
114,367.3,0.0500,-72.48,10.86
115,371.5,0.0500,-72.46,-6.80
116,375.8,0.0500,-72.70,7.25
117,380.2,0.0500,-72.27,3.66
118,384.6,0.0500,-71.56,6.18
119,389.0,0.0500,-71.31,6.13
120,393.6,0.0500,-71.58,6.50
121,398.1,0.0500,-71.36,3.52
122,402.7,0.0500,-71.06,7.25
123,407.4,0.0500,-70.42,1.08
124,412.1,0.0500,-72.12,4.65
125,416.9,0.0500,-72.46,6.71
