#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-71.47,9.87
2,101.2,0.0500,-70.56,-13.32
3,102.3,0.0500,-70.55,6.62
4,103.5,0.0500,-70.57,-5.08
5,104.7,0.0500,-70.44,-16.68
6,105.9,0.0500,-72.93,-13.16
7,107.2,0.0500,-69.82,-2.65
8,108.4,0.0500,-71.37,3.45
9,109.6,0.0500,-72.81,21.06
10,110.9,0.0500,-69.04,-10.00
11,112.2,0.0500,-71.14,6.00
12,113.5,0.0500,-75.10,-1.04
13,114.8,0.0500,-71.30,5.60
14,116.1,0.0500,-70.62,-7.42
15,117.5,0.0500,-72.78,7.52
16,118.9,0.0500,-70.86,7.79
17,120.2,0.0500,-71.93,-1.09
18,121.6,0.0500,-70.46,-21.51
19,123.0,0.0500,-75.65,12.76
20,124.5,0.0500,-74.08,13.07
21,125.9,0.0500,-70.15,-0.95
22,127.4,0.0500,-70.95,-4.41
23,128.8,0.0500,-72.10,2.93
24,130.3,0.0500,-72.90,15.52
25,131.8,0.0500,-71.30,3.92
26,133.4,0.0500,-72.91,3.95
27,134.9,0.0500,-73.44,-18.04
28,136.5,0.0500,-73.33,15.84
29,138.0,0.0500,-69.80,1.35
30,139.6,0.0500,-71.43,15.77
31,141.3,0.0500,-72.14,21.46
32,142.9,0.0500,-70.38,4.82
33,144.5,0.0500,-70.26,4.32
34,146.2,0.0500,-68.77,9.26
35,147.9,0.0500,-73.71,18.47
36,149.6,0.0500,-69.76,-0.11
37,151.4,0.0500,-69.53,0.89
38,153.1,0.0500,-68.87,8.45
39,154.9,0.0500,-71.90,5.01
40,156.7,0.0500,-70.69,-13.23
41,158.5,0.0500,-72.52,16.16
42,160.3,0.0500,-73.13,2.58
43,162.2,0.0500,-70.82,-3.28
44,164.1,0.0500,-70.65,-4.16
45,166.0,0.0500,-70.72,0.35
46,167.9,0.0500,-72.55,-11.11
47,169.8,0.0500,-72.19,-2.74
48,171.8,0.0500,-73.01,4.69
49,173.8,0.0500,-72.48,-5.25
50,175.8,0.0500,-70.97,-0.05
51,177.8,0.0500,-72.74,5.36
52,179.9,0.0500,-69.71,-5.15
53,182.0,0.0500,-70.67,12.00
54,184.1,0.0500,-70.64,-3.23
55,186.2,0.0500,-71.38,5.48
56,188.4,0.0500,-70.84,-10.15
57,190.5,0.0500,-71.28,11.04
58,192.8,0.0500,-73.23,-4.94
59,195.0,0.0500,-70.65,18.21
60,197.2,0.0500,-74.06,0.05
61,199.5,0.0500,-72.33,8.21
62,201.8,0.0500,-71.88,-11.05
63,204.2,0.0500,-70.14,1.30
64,206.5,0.0500,-74.01,1.01
65,208.9,0.0500,-72.55,-5.86
66,211.3,0.0500,-69.35,-0.99
67,213.8,0.0500,-71.58,4.50
68,216.3,0.0500,-70.59,-4.49
69,218.8,0.0500,-70.56,19.23
70,221.3,0.0500,-73.23,-2.19
71,223.9,0.0500,-70.41,4.35
72,226.5,0.0500,-71.57,-3.44
73,229.1,0.0500,-70.32,-14.47
74,231.7,0.0500,-69.89,3.70
75,234.4,0.0500,-73.64,-2.70
76,237.1,0.0500,-71.76,6.93
77,239.9,0.0500,-70.90,-4.65
78,242.7,0.0500,-72.15,-4.62
79,245.5,0.0500,-70.41,6.20
80,248.3,0.0500,-71.57,6.09
81,251.2,0.0500,-70.25,4.63
82,254.1,0.0500,-71.09,3.15
83,257.0,0.0500,-71.57,-1.07
84,260.0,0.0500,-71.04,-1.20
85,263.0,0.0500,-69.65,10.49
86,266.1,0.0500,-70.48,-3.00
87,269.2,0.0500,-71.41,-2.43
88,272.3,0.0500,-72.35,-1.08
89,275.4,0.0500,-73.50,4.77
90,278.6,0.0500,-73.24,-2.59
91,281.8,0.0500,-70.51,12.45
92,285.1,0.0500,-70.70,2.37
93,288.4,0.0500,-73.26,11.57
94,291.7,0.0500,-70.38,6.57
95,295.1,0.0500,-71.40,12.13
96,298.5,0.0500,-71.37,-4.50
97,302.0,0.0500,-71.38,5.95
98,305.5,0.0500,-70.10,-3.51
99,309.0,0.0500,-71.51,4.05
100,312.6,0.0500,-70.02,8.60
101,316.2,0.0500,-72.85,6.59
102,319.9,0.0500,-71.54,0.16
103,323.6,0.0500,-69.85,13.53
104,327.3,0.0500,-70.65,-3.22
105,331.1,0.0500,-72.27,-6.18
106,335.0,0.0500,-70.84,-2.48
107,338.8,0.0500,-71.38,12.96
108,342.8,0.0500,-71.60,12.07
109,346.7,0.0500,-73.10,20.86
110,350.8,0.0500,-71.76,0.95
111,354.8,0.0500,-70.82,-0.76
112,358.9,0.0500,-71.86,-11.01
113,363.1,0.0500,-72.04,6.25
114,367.3,0.0500,-69.78,6.05
115,371.5,0.0500,-69.39,0.26
116,375.8,0.0500,-70.23,-10.37
117,380.2,0.0500,-69.21,-5.20
118,384.6,0.0500,-72.08,-10.59
119,389.0,0.0500,-71.11,-8.24
120,393.6,0.0500,-70.24,14.68
121,398.1,0.0500,-70.15,4.27
122,402.7,0.0500,-69.93,-1.46
123,407.4,0.0500,-70.84,15.60
124,412.1,0.0500,-70.37,-6.26
125,416.9,0.0500,-71.87,12.81
126,421.7,0.0500,-70.42,9.68
127,426.6,0.0500,-71.54,18.20
128,431.5,0.0500,-72.22,7.37
129,436.5,0.0500,-70.57,6.62
130,441.6,0.0500,-73.40,3.47
131,446.7,0.0500,-70.46,2.87
132,451.9,0.0500,-70.20,7.15
133,457.1,0.0500,-71.72,7.09
134,462.4,0.0500,-72.70,-0.33
135,467.7,0.0500,-71.85,7.89
136,473.2,0.0500,-70.09,10.42
137,478.6,0.0500,-69.83,8.25
138,484.2,0.0500,-70.05,5.28
139,489.8,0.0500,-72.39,8.96
140,495.5,0.0500,-70.98,2.76
141,501.2,0.0500,-68.73,16.40
142,507.0,0.0500,-70.26,8.00
143,512.9,0.0500,-71.71,-12.77
144,518.8,0.0500,-70.79,3.05
145,524.8,0.0500,-71.06,10.57
146,530.9,0.0500,-69.85,7.44
147,537.0,0.0500,-71.05,6.95
148,543.3,0.0500,-71.32,3.51
149,549.5,0.0500,-70.00,9.66
150,555.9,0.0500,-71.33,7.28
151,562.3,0.0500,-70.26,6.75
152,568.9,0.0500,-71.27,2.65
153,575.4,0.0500,-70.56,2.45
154,582.1,0.0500,-72.44,-7.28
155,588.8,0.0500,-71.30,9.54
156,595.7,0.0500,-71.64,5.76
157,602.6,0.0500,-70.64,15.23
158,609.5,0.0500,-71.63,5.06
159,616.6,0.0500,-71.50,11.35
160,623.7,0.0500,-71.41,0.64
161,631.0,0.0500,-71.68,0.24
162,638.3,0.0500,-71.43,0.33
163,645.7,0.0500,-70.49,14.95
164,653.1,0.0500,-70.39,-5.67
165,660.7,0.0500,-74.35,-0.97
166,668.3,0.0500,-70.87,21.53
167,676.1,0.0500,-72.09,10.21
168,683.9,0.0500,-70.80,-1.43
169,691.8,0.0500,-70.48,6.41
170,699.8,0.0500,-70.24,16.77
171,707.9,0.0500,-71.30,10.42
172,716.1,0.0500,-71.40,8.94
173,724.4,0.0500,-71.91,0.29
174,732.8,0.0500,-70.59,6.24
175,741.3,0.0500,-70.78,2.84
176,749.9,0.0500,-71.96,15.56
177,758.6,0.0500,-70.09,20.56
178,767.4,0.0500,-72.40,12.30
179,776.2,0.0500,-70.33,0.39
180,785.2,0.0500,-71.67,9.67
181,794.3,0.0500,-71.29,10.39
182,803.5,0.0500,-68.73,11.27
183,812.8,0.0500,-70.66,9.51
184,822.2,0.0500,-70.59,15.61
185,831.8,0.0500,-71.29,15.67
186,841.4,0.0500,-69.93,6.98
187,851.1,0.0500,-69.46,9.38
188,861.0,0.0500,-71.51,9.52
189,871.0,0.0500,-71.05,10.82
190,881.0,0.0500,-72.05,19.05
191,891.3,0.0500,-72.84,3.63
192,901.6,0.0500,-71.51,13.00
193,912.0,0.0500,-70.09,0.56
194,922.6,0.0500,-70.24,11.97
195,933.3,0.0500,-72.54,16.56
196,944.1,0.0500,-71.13,6.44
197,955.0,0.0500,-70.70,11.96
198,966.1,0.0500,-71.10,5.41
199,977.2,0.0500,-69.57,22.82
200,988.6,0.0500,-70.34,10.34
201,1000.0,0.0500,-69.93,7.09
202,1011.6,0.0500,-68.80,8.51
203,1023.3,0.0500,-71.05,16.78
204,1035.1,0.0500,-70.24,7.34
205,1047.1,0.0500,-71.38,-3.93
206,1059.3,0.0500,-69.48,16.09
207,1071.5,0.0500,-71.22,22.37
208,1083.9,0.0500,-70.29,22.54
209,1096.5,0.0500,-69.81,13.36
210,1109.2,0.0500,-70.68,8.41
211,1122.0,0.0500,-70.48,22.23
212,1135.0,0.0500,-70.89,9.95
213,1148.2,0.0500,-70.46,16.45
214,1161.4,0.0500,-70.50,7.26
215,1174.9,0.0500,-71.04,10.35
216,1188.5,0.0500,-69.21,20.10
217,1202.3,0.0500,-70.19,6.98
218,1216.2,0.0500,-69.60,15.48
219,1230.3,0.0500,-71.36,2.38
220,1244.5,0.0500,-70.98,17.64
221,1258.9,0.0500,-70.76,2.36
222,1273.5,0.0500,-70.27,10.60
223,1288.2,0.0500,-70.38,12.55
224,1303.2,0.0500,-72.12,26.37
225,1318.3,0.0500,-70.88,-2.49
226,1333.5,0.0500,-70.83,10.31
227,1349.0,0.0500,-69.49,13.55
228,1364.6,0.0500,-70.49,21.39
229,1380.4,0.0500,-70.11,22.56
230,1396.4,0.0500,-70.80,14.62
231,1412.5,0.0500,-71.69,28.94
232,1428.9,0.0500,-71.45,6.74
233,1445.4,0.0500,-69.99,17.30
234,1462.2,0.0500,-70.00,21.42
235,1479.1,0.0500,-70.91,12.66
