#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-65.09,-2.47
2,101.2,0.0500,-62.75,-2.88
3,102.3,0.0500,-64.09,8.71
4,103.5,0.0500,-64.73,-0.76
5,104.7,0.0500,-65.59,13.25
6,105.9,0.0500,-63.79,-0.66
7,107.2,0.0500,-63.94,-1.15
8,108.4,0.0500,-65.52,1.17
9,109.6,0.0500,-64.42,2.02
10,110.9,0.0500,-64.04,-1.98
11,112.2,0.0500,-63.80,14.89
12,113.5,0.0500,-64.43,2.93
13,114.8,0.0500,-63.54,-2.25
14,116.1,0.0500,-64.41,9.43
15,117.5,0.0500,-64.79,6.44
16,118.9,0.0500,-64.11,5.26
17,120.2,0.0500,-64.51,3.85
18,121.6,0.0500,-63.06,0.55
19,123.0,0.0500,-64.22,2.70
20,124.5,0.0500,-65.23,1.12
21,125.9,0.0500,-63.97,-7.52
22,127.4,0.0500,-63.76,2.12
23,128.8,0.0500,-64.00,1.06
24,130.3,0.0500,-63.31,5.19
25,131.8,0.0500,-65.69,2.24
26,133.4,0.0500,-64.59,6.31
27,134.9,0.0500,-64.60,5.68
28,136.5,0.0500,-63.98,1.46
29,138.0,0.0500,-64.20,3.76
30,139.6,0.0500,-63.61,5.64
31,141.3,0.0500,-64.33,3.88
32,142.9,0.0500,-64.43,11.30
33,144.5,0.0500,-64.05,0.60
34,146.2,0.0500,-63.77,6.92
35,147.9,0.0500,-63.47,-0.56
36,149.6,0.0500,-64.61,-0.05
37,151.4,0.0500,-64.20,-0.19
38,153.1,0.0500,-64.67,-0.68
39,154.9,0.0500,-63.45,5.95
40,156.7,0.0500,-64.34,-0.87
41,158.5,0.0500,-63.03,0.38
42,160.3,0.0500,-64.46,10.58
43,162.2,0.0500,-64.27,1.20
44,164.1,0.0500,-64.56,10.99
45,166.0,0.0500,-64.32,12.27
46,167.9,0.0500,-65.75,4.11
47,169.8,0.0500,-63.01,2.85
48,171.8,0.0500,-64.41,0.42
49,173.8,0.0500,-64.14,-0.85
50,175.8,0.0500,-64.96,9.66
51,177.8,0.0500,-64.44,3.25
52,179.9,0.0500,-64.25,8.58
53,182.0,0.0500,-65.54,12.70
54,184.1,0.0500,-64.40,10.35
55,186.2,0.0500,-64.24,9.18
56,188.4,0.0500,-64.22,6.52
57,190.5,0.0500,-64.36,10.60
58,192.8,0.0500,-64.68,5.95
59,195.0,0.0500,-63.61,4.74
60,197.2,0.0500,-63.33,6.78
61,199.5,0.0500,-64.27,4.27
62,201.8,0.0500,-63.51,5.89
63,204.2,0.0500,-64.86,10.35
64,206.5,0.0500,-63.58,1.85
65,208.9,0.0500,-64.76,1.40
66,211.3,0.0500,-64.36,5.42
67,213.8,0.0500,-64.58,6.41
68,216.3,0.0500,-63.88,0.99
69,218.8,0.0500,-64.28,0.22
70,221.3,0.0500,-63.86,4.54
71,223.9,0.0500,-65.23,16.09
72,226.5,0.0500,-63.79,4.94
73,229.1,0.0500,-64.06,8.31
74,231.7,0.0500,-62.91,9.37
75,234.4,0.0500,-63.99,10.33
76,237.1,0.0500,-63.93,6.70
77,239.9,0.0500,-64.66,4.79
78,242.7,0.0500,-63.44,4.89
79,245.5,0.0500,-63.76,2.58
80,248.3,0.0500,-64.06,10.08
81,251.2,0.0500,-63.67,11.35
82,254.1,0.0500,-64.26,4.15
83,257.0,0.0500,-63.43,5.85
84,260.0,0.0500,-64.56,12.26
85,263.0,0.0500,-64.15,9.73
86,266.1,0.0500,-64.46,10.54
87,269.2,0.0500,-64.19,5.90
88,272.3,0.0500,-63.26,5.88
89,275.4,0.0500,-64.12,7.95
90,278.6,0.0500,-64.04,10.16
91,281.8,0.0500,-64.21,8.87
92,285.1,0.0500,-64.17,3.60
93,288.4,0.0500,-63.95,7.56
94,291.7,0.0500,-63.83,9.85
