#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-61.27,0.30
2,101.2,0.0500,-61.93,-5.34
3,102.3,0.0500,-61.93,2.21
4,103.5,0.0500,-61.17,4.18
5,104.7,0.0500,-61.07,5.22
6,105.9,0.0500,-62.11,3.31
7,107.2,0.0500,-61.29,0.86
8,108.4,0.0500,-61.05,8.86
9,109.6,0.0500,-62.43,-0.85
10,110.9,0.0500,-61.71,7.55
11,112.2,0.0500,-61.48,5.94
12,113.5,0.0500,-61.82,0.73
13,114.8,0.0500,-61.17,4.80
14,116.1,0.0500,-61.49,8.38
15,117.5,0.0500,-61.45,1.85
16,118.9,0.0500,-61.88,3.01
17,120.2,0.0500,-61.70,3.76
18,121.6,0.0500,-62.01,2.22
19,123.0,0.0500,-60.10,2.12
20,124.5,0.0500,-61.56,1.21
21,125.9,0.0500,-60.60,4.81
22,127.4,0.0500,-62.17,6.57
23,128.8,0.0500,-60.55,3.26
24,130.3,0.0500,-61.23,3.16
25,131.8,0.0500,-61.47,2.07
26,133.4,0.0500,-61.98,6.42
27,134.9,0.0500,-62.10,6.09
28,136.5,0.0500,-60.82,4.01
29,138.0,0.0500,-61.88,6.22
30,139.6,0.0500,-61.27,4.15
31,141.3,0.0500,-61.59,8.33
32,142.9,0.0500,-61.57,6.68
33,144.5,0.0500,-61.54,-0.37
34,146.2,0.0500,-61.44,5.46
35,147.9,0.0500,-61.46,1.60
36,149.6,0.0500,-60.81,4.18
37,151.4,0.0500,-61.04,6.22
38,153.1,0.0500,-61.28,1.64
39,154.9,0.0500,-61.76,2.31
40,156.7,0.0500,-61.42,6.28
41,158.5,0.0500,-61.96,3.08
42,160.3,0.0500,-61.79,5.40
43,162.2,0.0500,-60.87,6.79
44,164.1,0.0500,-61.45,3.57
45,166.0,0.0500,-61.21,4.44
46,167.9,0.0500,-61.33,7.47
47,169.8,0.0500,-61.90,3.87
48,171.8,0.0500,-62.19,6.01
49,173.8,0.0500,-61.59,7.78
50,175.8,0.0500,-62.31,6.33
51,177.8,0.0500,-61.71,3.89
52,179.9,0.0500,-60.97,0.48
53,182.0,0.0500,-61.90,1.70
54,184.1,0.0500,-62.24,8.07
55,186.2,0.0500,-61.56,1.72
56,188.4,0.0500,-61.42,0.67
57,190.5,0.0500,-61.80,-1.76
58,192.8,0.0500,-61.54,3.74
59,195.0,0.0500,-60.78,3.96
60,197.2,0.0500,-61.38,5.78
61,199.5,0.0500,-60.62,3.78
62,201.8,0.0500,-61.56,1.69
63,204.2,0.0500,-61.34,-3.43
64,206.5,0.0500,-60.90,5.80
65,208.9,0.0500,-61.22,1.12
66,211.3,0.0500,-62.48,2.22
67,213.8,0.0500,-61.63,4.75
68,216.3,0.0500,-61.27,0.98
69,218.8,0.0500,-61.08,7.02
70,221.3,0.0500,-61.33,8.84
71,223.9,0.0500,-61.58,1.12
72,226.5,0.0500,-61.46,3.19
73,229.1,0.0500,-60.58,2.83
74,231.7,0.0500,-61.42,3.90
75,234.4,0.0500,-61.63,10.49
76,237.1,0.0500,-61.04,5.93
77,239.9,0.0500,-61.54,13.69
78,242.7,0.0500,-61.24,4.90
79,245.5,0.0500,-61.05,3.00
80,248.3,0.0500,-61.48,8.30
81,251.2,0.0500,-61.03,3.97
82,254.1,0.0500,-60.37,10.44
83,257.0,0.0500,-61.64,5.12
84,260.0,0.0500,-61.80,8.51
85,263.0,0.0500,-61.16,4.92
86,266.1,0.0500,-61.95,10.44
87,269.2,0.0500,-61.20,3.81
88,272.3,0.0500,-61.88,7.95
89,275.4,0.0500,-61.07,10.23
90,278.6,0.0500,-61.86,7.71
91,281.8,0.0500,-60.80,3.27
92,285.1,0.0500,-61.79,11.52
93,288.4,0.0500,-61.93,8.59
94,291.7,0.0500,-61.05,8.79
95,295.1,0.0500,-61.33,11.64
96,298.5,0.0500,-61.02,5.61
97,302.0,0.0500,-61.09,8.74
98,305.5,0.0500,-60.88,8.24
99,309.0,0.0500,-61.30,4.49
100,312.6,0.0500,-62.34,5.64
101,316.2,0.0500,-60.92,6.22
102,319.9,0.0500,-61.58,8.73
103,323.6,0.0500,-61.05,9.92
104,327.3,0.0500,-61.24,10.01
105,331.1,0.0500,-62.00,5.83
106,335.0,0.0500,-61.74,7.59
107,338.8,0.0500,-61.91,9.48
108,342.8,0.0500,-61.33,8.12
109,346.7,0.0500,-62.22,7.89
110,350.8,0.0500,-61.47,12.79
111,354.8,0.0500,-60.74,6.47
112,358.9,0.0500,-60.68,6.65
113,363.1,0.0500,-61.60,9.85
114,367.3,0.0500,-60.69,6.89
115,371.5,0.0500,-60.61,12.46
116,375.8,0.0500,-61.89,5.81
117,380.2,0.0500,-61.27,10.03
118,384.6,0.0500,-61.12,10.20
119,389.0,0.0500,-60.64,10.04
120,393.6,0.0500,-61.26,10.53
121,398.1,0.0500,-61.04,8.15
122,402.7,0.0500,-61.05,10.91
123,407.4,0.0500,-61.72,10.27
124,412.1,0.0500,-61.32,11.40
125,416.9,0.0500,-61.92,12.20
126,421.7,0.0500,-61.13,14.23
127,426.6,0.0500,-61.04,8.79
128,431.5,0.0500,-61.14,13.25
129,436.5,0.0500,-61.20,12.54
130,441.6,0.0500,-60.84,10.35
131,446.7,0.0500,-61.40,11.53
132,451.9,0.0500,-60.95,7.69
133,457.1,0.0500,-60.93,6.11
134,462.4,0.0500,-61.44,12.46
135,467.7,0.0500,-60.68,8.69
136,473.2,0.0500,-61.14,14.07
137,478.6,0.0500,-61.34,12.20
138,484.2,0.0500,-61.03,15.80
139,489.8,0.0500,-61.29,12.00
140,495.5,0.0500,-60.65,11.84
141,501.2,0.0500,-60.67,17.13
142,507.0,0.0500,-60.90,15.21
143,512.9,0.0500,-60.49,9.71
144,518.8,0.0500,-61.31,13.39
145,524.8,0.0500,-61.42,13.84
146,530.9,0.0500,-60.68,13.17
147,537.0,0.0500,-60.44,14.06
148,543.3,0.0500,-60.98,10.24
149,549.5,0.0500,-60.83,13.51
150,555.9,0.0500,-61.27,16.08
151,562.3,0.0500,-60.97,11.62
152,568.9,0.0500,-60.86,15.02
153,575.4,0.0500,-61.43,12.27
154,582.1,0.0500,-61.44,12.28
155,588.8,0.0500,-61.79,9.73
156,595.7,0.0500,-61.08,16.44
157,602.6,0.0500,-61.27,13.29
158,609.5,0.0500,-61.00,10.42
159,616.6,0.0500,-60.72,13.93
160,623.7,0.0500,-61.53,15.73
161,631.0,0.0500,-61.10,10.37
162,638.3,0.0500,-61.19,18.41
163,645.7,0.0500,-60.72,18.49
164,653.1,0.0500,-61.73,17.42
165,660.7,0.0500,-60.84,19.33
166,668.3,0.0500,-60.84,19.74
167,676.1,0.0500,-60.71,13.79
168,683.9,0.0500,-61.10,15.08
169,691.8,0.0500,-61.52,13.32
170,699.8,0.0500,-61.10,16.02
171,707.9,0.0500,-60.79,15.93
172,716.1,0.0500,-61.13,15.97
173,724.4,0.0500,-61.20,15.48
174,732.8,0.0500,-60.51,21.76
175,741.3,0.0500,-60.78,22.01
176,749.9,0.0500,-60.90,21.04
177,758.6,0.0500,-60.61,16.37
178,767.4,0.0500,-61.85,18.49
179,776.2,0.0500,-60.25,17.24
