#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-61.82,0.17
2,101.2,0.0500,-64.53,4.07
3,102.3,0.0500,-63.07,-3.56
4,103.5,0.0500,-63.55,0.06
5,104.7,0.0500,-64.77,-1.33
6,105.9,0.0500,-63.40,1.26
7,107.2,0.0500,-62.94,2.25
8,108.4,0.0500,-63.32,2.26
9,109.6,0.0500,-63.76,0.68
10,110.9,0.0500,-63.95,11.07
11,112.2,0.0500,-63.15,2.68
12,113.5,0.0500,-62.55,9.77
13,114.8,0.0500,-63.01,3.04
14,116.1,0.0500,-62.60,5.06
15,117.5,0.0500,-63.64,0.95
16,118.9,0.0500,-62.80,0.76
17,120.2,0.0500,-62.68,-1.00
18,121.6,0.0500,-63.63,3.60
19,123.0,0.0500,-63.14,0.11
20,124.5,0.0500,-64.94,1.91
21,125.9,0.0500,-62.70,3.93
22,127.4,0.0500,-62.40,4.20
23,128.8,0.0500,-63.17,1.68
24,130.3,0.0500,-63.70,-1.29
25,131.8,0.0500,-63.29,1.21
26,133.4,0.0500,-63.32,2.00
27,134.9,0.0500,-62.02,0.68
28,136.5,0.0500,-63.45,-1.83
29,138.0,0.0500,-63.62,-0.32
30,139.6,0.0500,-63.05,1.88
31,141.3,0.0500,-62.60,6.42
32,142.9,0.0500,-62.32,-0.71
33,144.5,0.0500,-62.89,1.02
34,146.2,0.0500,-63.22,6.85
35,147.9,0.0500,-63.32,5.41
36,149.6,0.0500,-62.83,3.55
37,151.4,0.0500,-63.44,6.87
38,153.1,0.0500,-63.61,3.68
39,154.9,0.0500,-63.10,4.26
40,156.7,0.0500,-62.95,4.71
41,158.5,0.0500,-63.36,0.97
42,160.3,0.0500,-63.09,5.12
43,162.2,0.0500,-62.47,2.30
44,164.1,0.0500,-63.19,3.61
45,166.0,0.0500,-63.89,7.05
46,167.9,0.0500,-62.37,4.38
47,169.8,0.0500,-62.29,3.61
48,171.8,0.0500,-62.52,7.77
49,173.8,0.0500,-63.63,7.35
50,175.8,0.0500,-63.52,7.42
51,177.8,0.0500,-63.11,8.46
52,179.9,0.0500,-63.70,9.40
53,182.0,0.0500,-62.42,9.63
54,184.1,0.0500,-63.64,8.56
55,186.2,0.0500,-62.95,1.37
56,188.4,0.0500,-63.39,6.81
57,190.5,0.0500,-62.46,8.73
58,192.8,0.0500,-63.59,6.07
59,195.0,0.0500,-62.29,2.86
60,197.2,0.0500,-62.66,4.96
61,199.5,0.0500,-62.66,8.58
62,201.8,0.0500,-63.00,10.59
63,204.2,0.0500,-63.96,2.90
64,206.5,0.0500,-62.46,10.74
65,208.9,0.0500,-62.73,4.74
66,211.3,0.0500,-63.45,9.19
67,213.8,0.0500,-63.12,4.76
68,216.3,0.0500,-62.69,6.27
69,218.8,0.0500,-63.14,7.82
70,221.3,0.0500,-62.64,-4.07
71,223.9,0.0500,-63.73,6.91
72,226.5,0.0500,-62.31,6.79
73,229.1,0.0500,-62.23,1.22
74,231.7,0.0500,-62.03,3.78
75,234.4,0.0500,-63.15,11.19
76,237.1,0.0500,-63.57,5.50
77,239.9,0.0500,-62.90,4.06
78,242.7,0.0500,-62.72,2.38
79,245.5,0.0500,-63.00,5.05
80,248.3,0.0500,-63.55,2.55
81,251.2,0.0500,-63.41,7.10
82,254.1,0.0500,-63.02,12.02
83,257.0,0.0500,-62.77,9.45
84,260.0,0.0500,-63.62,11.54
85,263.0,0.0500,-62.37,6.00
86,266.1,0.0500,-63.89,5.51
87,269.2,0.0500,-62.16,7.22
88,272.3,0.0500,-63.63,4.12
89,275.4,0.0500,-63.39,10.32
90,278.6,0.0500,-63.17,3.68
91,281.8,0.0500,-62.95,9.86
92,285.1,0.0500,-63.03,4.53
93,288.4,0.0500,-63.25,7.25
94,291.7,0.0500,-63.12,1.97
95,295.1,0.0500,-62.35,11.70
96,298.5,0.0500,-62.82,14.73
97,302.0,0.0500,-62.92,12.40
98,305.5,0.0500,-62.37,6.18
99,309.0,0.0500,-62.50,5.81
100,312.6,0.0500,-63.03,9.84
101,316.2,0.0500,-63.08,10.36
102,319.9,0.0500,-62.80,5.11
103,323.6,0.0500,-62.57,13.19
104,327.3,0.0500,-62.70,7.12
105,331.1,0.0500,-63.56,9.92
106,335.0,0.0500,-63.35,12.54
107,338.8,0.0500,-62.33,11.64
108,342.8,0.0500,-63.15,10.00
109,346.7,0.0500,-63.19,11.54
110,350.8,0.0500,-62.48,9.51
111,354.8,0.0500,-62.67,10.67
112,358.9,0.0500,-63.50,8.37
113,363.1,0.0500,-62.32,16.92
114,367.3,0.0500,-62.97,8.30
115,371.5,0.0500,-63.42,11.53
116,375.8,0.0500,-62.98,9.02
117,380.2,0.0500,-62.86,13.04
118,384.6,0.0500,-63.13,12.81
119,389.0,0.0500,-63.26,13.23
120,393.6,0.0500,-62.66,13.62
121,398.1,0.0500,-62.64,17.20
122,402.7,0.0500,-63.49,9.38
123,407.4,0.0500,-62.71,11.53
124,412.1,0.0500,-62.47,10.67
125,416.9,0.0500,-63.85,9.51
126,421.7,0.0500,-62.45,16.69
127,426.6,0.0500,-63.08,15.20
128,431.5,0.0500,-62.71,13.90
129,436.5,0.0500,-63.14,14.00
130,441.6,0.0500,-62.93,12.32
131,446.7,0.0500,-63.13,15.23
132,451.9,0.0500,-62.73,8.98
133,457.1,0.0500,-62.21,14.98
134,462.4,0.0500,-62.39,12.94
135,467.7,0.0500,-63.05,12.15
136,473.2,0.0500,-62.36,14.50
137,478.6,0.0500,-62.50,12.89
138,484.2,0.0500,-62.76,17.71
139,489.8,0.0500,-61.93,13.89
140,495.5,0.0500,-63.10,19.36
141,501.2,0.0500,-62.79,13.29
142,507.0,0.0500,-62.94,16.36
143,512.9,0.0500,-62.54,14.16
144,518.8,0.0500,-62.43,13.45
145,524.8,0.0500,-63.08,15.40
146,530.9,0.0500,-63.10,16.10
147,537.0,0.0500,-62.99,16.90
148,543.3,0.0500,-62.42,15.19
149,549.5,0.0500,-62.84,20.65
150,555.9,0.0500,-62.95,20.72
151,562.3,0.0500,-62.47,14.35
152,568.9,0.0500,-62.26,17.31
153,575.4,0.0500,-62.05,13.68
154,582.1,0.0500,-62.29,16.12
155,588.8,0.0500,-63.33,20.62
