#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-60.33,1.20
2,101.2,0.0500,-60.84,2.74
3,102.3,0.0500,-60.25,1.97
4,103.5,0.0500,-59.92,-0.79
5,104.7,0.0500,-60.47,0.72
6,105.9,0.0500,-60.26,-2.31
7,107.2,0.0500,-60.54,-1.55
8,108.4,0.0500,-60.04,-0.70
9,109.6,0.0500,-61.00,2.26
10,110.9,0.0500,-60.49,3.87
11,112.2,0.0500,-59.97,0.36
12,113.5,0.0500,-61.30,6.66
13,114.8,0.0500,-61.34,5.08
14,116.1,0.0500,-60.02,0.23
15,117.5,0.0500,-59.86,4.27
16,118.9,0.0500,-60.43,1.65
17,120.2,0.0500,-60.56,1.92
18,121.6,0.0500,-59.94,3.02
19,123.0,0.0500,-60.70,3.06
20,124.5,0.0500,-59.93,-2.75
21,125.9,0.0500,-60.63,9.00
22,127.4,0.0500,-61.01,1.13
23,128.8,0.0500,-60.09,3.56
24,130.3,0.0500,-60.42,0.25
25,131.8,0.0500,-59.98,0.76
26,133.4,0.0500,-61.05,1.40
27,134.9,0.0500,-60.33,4.92
28,136.5,0.0500,-59.96,1.75
29,138.0,0.0500,-60.75,4.18
30,139.6,0.0500,-60.06,2.94
31,141.3,0.0500,-60.62,5.70
32,142.9,0.0500,-60.50,1.10
33,144.5,0.0500,-60.48,-1.02
34,146.2,0.0500,-60.85,2.03
35,147.9,0.0500,-59.64,-0.11
36,149.6,0.0500,-60.06,6.69
37,151.4,0.0500,-59.95,4.48
38,153.1,0.0500,-61.24,3.56
39,154.9,0.0500,-60.42,1.92
40,156.7,0.0500,-60.73,4.64
41,158.5,0.0500,-60.16,5.99
42,160.3,0.0500,-60.27,2.71
43,162.2,0.0500,-61.01,9.01
44,164.1,0.0500,-60.17,1.93
45,166.0,0.0500,-59.98,3.87
46,167.9,0.0500,-60.24,4.69
47,169.8,0.0500,-60.18,9.14
48,171.8,0.0500,-60.78,6.86
49,173.8,0.0500,-60.38,2.89
50,175.8,0.0500,-60.40,4.42
51,177.8,0.0500,-60.20,8.55
52,179.9,0.0500,-59.98,1.60
53,182.0,0.0500,-60.58,1.34
54,184.1,0.0500,-59.84,3.89
55,186.2,0.0500,-60.15,3.92
56,188.4,0.0500,-60.20,7.39
57,190.5,0.0500,-60.41,7.20
58,192.8,0.0500,-60.53,1.30
59,195.0,0.0500,-59.79,6.26
60,197.2,0.0500,-60.09,5.40
61,199.5,0.0500,-60.13,5.75
62,201.8,0.0500,-60.19,3.26
63,204.2,0.0500,-60.65,4.66
64,206.5,0.0500,-60.13,5.89
65,208.9,0.0500,-59.90,7.71
66,211.3,0.0500,-60.87,3.51
67,213.8,0.0500,-59.89,4.39
68,216.3,0.0500,-60.49,3.53
69,218.8,0.0500,-59.84,3.18
70,221.3,0.0500,-61.11,4.54
71,223.9,0.0500,-60.44,3.36
72,226.5,0.0500,-60.40,7.95
73,229.1,0.0500,-60.58,5.73
74,231.7,0.0500,-60.38,8.72
75,234.4,0.0500,-60.11,4.83
76,237.1,0.0500,-60.45,5.03
77,239.9,0.0500,-60.20,8.88
78,242.7,0.0500,-60.50,4.63
79,245.5,0.0500,-59.91,5.12
80,248.3,0.0500,-60.75,11.02
81,251.2,0.0500,-60.16,2.49
82,254.1,0.0500,-59.81,7.58
83,257.0,0.0500,-60.56,3.50
84,260.0,0.0500,-60.45,3.00
85,263.0,0.0500,-59.97,5.40
86,266.1,0.0500,-60.39,4.60
87,269.2,0.0500,-60.62,4.84
88,272.3,0.0500,-60.89,5.71
89,275.4,0.0500,-60.38,6.64
90,278.6,0.0500,-60.20,11.57
91,281.8,0.0500,-60.29,5.05
92,285.1,0.0500,-60.22,7.91
93,288.4,0.0500,-60.89,4.90
94,291.7,0.0500,-60.40,5.81
95,295.1,0.0500,-59.90,5.12
96,298.5,0.0500,-59.97,8.02
97,302.0,0.0500,-60.90,7.75
98,305.5,0.0500,-60.38,7.53
99,309.0,0.0500,-60.36,8.87
100,312.6,0.0500,-59.97,5.88
101,316.2,0.0500,-60.61,11.80
102,319.9,0.0500,-60.61,8.99
103,323.6,0.0500,-60.30,4.51
104,327.3,0.0500,-60.74,9.94
105,331.1,0.0500,-59.91,7.38
106,335.0,0.0500,-60.19,8.66
107,338.8,0.0500,-60.04,7.85
108,342.8,0.0500,-60.73,3.73
109,346.7,0.0500,-60.70,9.60
110,350.8,0.0500,-60.27,10.41
111,354.8,0.0500,-60.14,7.53
112,358.9,0.0500,-60.47,11.75
113,363.1,0.0500,-60.21,13.14
114,367.3,0.0500,-60.47,5.96
115,371.5,0.0500,-60.36,13.19
116,375.8,0.0500,-60.40,10.71
117,380.2,0.0500,-60.02,6.69
118,384.6,0.0500,-60.07,10.19
119,389.0,0.0500,-60.73,10.67
120,393.6,0.0500,-60.54,10.25
121,398.1,0.0500,-60.09,8.64
122,402.7,0.0500,-60.02,10.31
123,407.4,0.0500,-59.51,9.80
124,412.1,0.0500,-60.24,14.58
125,416.9,0.0500,-60.51,9.60
126,421.7,0.0500,-60.55,9.62
127,426.6,0.0500,-59.93,8.14
128,431.5,0.0500,-60.94,8.43
129,436.5,0.0500,-60.13,7.62
130,441.6,0.0500,-59.99,8.95
131,446.7,0.0500,-59.95,13.16
132,451.9,0.0500,-60.51,11.81
133,457.1,0.0500,-60.18,11.96
134,462.4,0.0500,-59.65,9.80
135,467.7,0.0500,-59.66,12.94
136,473.2,0.0500,-59.71,15.03
137,478.6,0.0500,-60.22,10.37
138,484.2,0.0500,-60.27,14.87
139,489.8,0.0500,-60.15,11.11
140,495.5,0.0500,-59.75,13.96
141,501.2,0.0500,-59.85,14.28
142,507.0,0.0500,-60.67,12.17
143,512.9,0.0500,-60.88,16.68
144,518.8,0.0500,-60.16,12.22
145,524.8,0.0500,-59.94,9.65
146,530.9,0.0500,-60.35,11.62
147,537.0,0.0500,-59.95,13.78
148,543.3,0.0500,-60.49,15.20
149,549.5,0.0500,-60.31,13.28
150,555.9,0.0500,-59.62,13.75
151,562.3,0.0500,-59.49,13.54
152,568.9,0.0500,-60.04,10.84
153,575.4,0.0500,-59.85,15.79
154,582.1,0.0500,-59.85,12.84
155,588.8,0.0500,-60.12,16.41
156,595.7,0.0500,-60.15,14.15
157,602.6,0.0500,-59.98,15.31
158,609.5,0.0500,-60.04,16.27
159,616.6,0.0500,-59.83,18.40
