#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-67.38,-10.97
2,101.2,0.0500,-66.97,0.22
3,102.3,0.0500,-69.47,-13.24
4,103.5,0.0500,-70.70,-7.39
5,104.7,0.0500,-66.68,10.44
6,105.9,0.0500,-66.73,-2.18
7,107.2,0.0500,-68.82,9.81
8,108.4,0.0500,-67.36,-2.40
9,109.6,0.0500,-67.53,-3.87
10,110.9,0.0500,-67.12,3.02
11,112.2,0.0500,-67.01,-3.99
12,113.5,0.0500,-69.79,7.19
13,114.8,0.0500,-67.91,7.70
14,116.1,0.0500,-68.84,-3.33
15,117.5,0.0500,-66.93,-3.21
16,118.9,0.0500,-68.04,-8.39
17,120.2,0.0500,-67.96,-2.36
18,121.6,0.0500,-67.26,4.29
19,123.0,0.0500,-68.64,-5.74
20,124.5,0.0500,-68.35,11.48
21,125.9,0.0500,-68.15,-2.92
22,127.4,0.0500,-67.47,7.23
23,128.8,0.0500,-68.48,-3.31
24,130.3,0.0500,-69.90,2.32
25,131.8,0.0500,-68.06,0.73
26,133.4,0.0500,-68.13,5.65
27,134.9,0.0500,-69.81,-3.57
28,136.5,0.0500,-67.64,7.38
29,138.0,0.0500,-67.25,-7.43
30,139.6,0.0500,-67.94,2.80
31,141.3,0.0500,-67.84,-1.02
32,142.9,0.0500,-66.97,-5.46
33,144.5,0.0500,-68.65,4.67
34,146.2,0.0500,-68.44,-0.59
35,147.9,0.0500,-69.51,1.59
36,149.6,0.0500,-69.14,1.29
37,151.4,0.0500,-70.63,6.25
38,153.1,0.0500,-70.07,7.68
39,154.9,0.0500,-69.20,-2.75
40,156.7,0.0500,-67.84,-7.57
41,158.5,0.0500,-68.55,3.17
42,160.3,0.0500,-69.98,-8.15
43,162.2,0.0500,-67.99,-1.29
44,164.1,0.0500,-68.43,2.30
45,166.0,0.0500,-68.60,-3.11
46,167.9,0.0500,-69.22,-1.74
47,169.8,0.0500,-67.56,-4.68
48,171.8,0.0500,-68.43,-1.13
49,173.8,0.0500,-70.65,-12.67
50,175.8,0.0500,-68.47,-7.30
51,177.8,0.0500,-68.64,6.56
52,179.9,0.0500,-68.34,4.44
53,182.0,0.0500,-68.61,10.36
54,184.1,0.0500,-68.25,2.87
55,186.2,0.0500,-68.58,3.74
56,188.4,0.0500,-68.77,-6.99
57,190.5,0.0500,-68.27,10.41
58,192.8,0.0500,-67.70,4.24
59,195.0,0.0500,-68.57,8.80
60,197.2,0.0500,-68.93,5.32
61,199.5,0.0500,-68.64,4.40
62,201.8,0.0500,-68.09,7.33
63,204.2,0.0500,-69.26,-4.04
64,206.5,0.0500,-70.89,1.26
65,208.9,0.0500,-69.05,19.13
66,211.3,0.0500,-67.76,-7.01
67,213.8,0.0500,-67.59,4.12
68,216.3,0.0500,-67.92,-0.64
69,218.8,0.0500,-67.99,7.38
70,221.3,0.0500,-67.78,2.44
71,223.9,0.0500,-67.91,3.34
72,226.5,0.0500,-68.66,0.66
73,229.1,0.0500,-67.85,6.16
74,231.7,0.0500,-67.39,1.86
75,234.4,0.0500,-68.25,1.62
76,237.1,0.0500,-68.81,-0.94
77,239.9,0.0500,-67.68,1.20
78,242.7,0.0500,-68.99,-9.29
79,245.5,0.0500,-68.63,12.84
80,248.3,0.0500,-68.44,12.20
81,251.2,0.0500,-68.03,11.90
82,254.1,0.0500,-68.10,4.71
83,257.0,0.0500,-67.38,-2.93
84,260.0,0.0500,-67.86,5.68
85,263.0,0.0500,-67.15,-2.68
86,266.1,0.0500,-68.41,12.38
87,269.2,0.0500,-69.58,-3.89
88,272.3,0.0500,-68.18,12.21
89,275.4,0.0500,-68.60,-4.33
90,278.6,0.0500,-68.28,11.32
91,281.8,0.0500,-67.91,3.10
92,285.1,0.0500,-68.18,14.95
93,288.4,0.0500,-68.21,-3.78
94,291.7,0.0500,-67.73,6.64
95,295.1,0.0500,-67.41,1.57
96,298.5,0.0500,-70.25,1.83
97,302.0,0.0500,-68.95,6.61
98,305.5,0.0500,-67.83,6.28
99,309.0,0.0500,-67.76,6.60
100,312.6,0.0500,-68.33,4.14
101,316.2,0.0500,-69.34,-0.61
102,319.9,0.0500,-68.45,2.66
103,323.6,0.0500,-66.97,8.49
104,327.3,0.0500,-68.88,6.37
105,331.1,0.0500,-68.89,9.42
106,335.0,0.0500,-67.43,11.18
107,338.8,0.0500,-68.43,3.34
108,342.8,0.0500,-68.86,8.02
109,346.7,0.0500,-67.66,7.25
110,350.8,0.0500,-67.11,11.63
111,354.8,0.0500,-68.84,1.12
112,358.9,0.0500,-69.20,4.76
113,363.1,0.0500,-69.36,1.41
114,367.3,0.0500,-68.19,-4.60
115,371.5,0.0500,-68.41,4.00
116,375.8,0.0500,-67.99,-8.41
117,380.2,0.0500,-68.57,-2.06
118,384.6,0.0500,-68.19,9.24
119,389.0,0.0500,-69.06,5.02
120,393.6,0.0500,-67.27,9.32
121,398.1,0.0500,-68.86,0.38
122,402.7,0.0500,-68.48,-4.21
123,407.4,0.0500,-68.34,6.47
124,412.1,0.0500,-68.02,2.59
125,416.9,0.0500,-69.25,-2.93
126,421.7,0.0500,-68.30,9.89
127,426.6,0.0500,-68.30,5.31
128,431.5,0.0500,-67.45,-0.74
129,436.5,0.0500,-69.83,-1.55
130,441.6,0.0500,-68.80,9.21
131,446.7,0.0500,-67.68,-2.79
132,451.9,0.0500,-68.13,5.26
133,457.1,0.0500,-67.75,6.69
134,462.4,0.0500,-69.51,8.35
135,467.7,0.0500,-68.56,-1.40
136,473.2,0.0500,-67.99,4.92
137,478.6,0.0500,-67.78,11.00
138,484.2,0.0500,-68.08,9.28
139,489.8,0.0500,-67.55,6.85
140,495.5,0.0500,-69.09,2.17
141,501.2,0.0500,-67.84,-2.87
142,507.0,0.0500,-68.74,1.21
143,512.9,0.0500,-68.45,13.00
144,518.8,0.0500,-68.08,12.14
145,524.8,0.0500,-68.70,8.12
146,530.9,0.0500,-68.24,13.10
147,537.0,0.0500,-69.04,7.45
148,543.3,0.0500,-68.91,7.77
149,549.5,0.0500,-68.26,7.25
150,555.9,0.0500,-69.37,10.35
151,562.3,0.0500,-69.31,-1.02
152,568.9,0.0500,-67.27,3.73
153,575.4,0.0500,-68.18,10.61
154,582.1,0.0500,-69.43,8.57
155,588.8,0.0500,-68.76,7.13
156,595.7,0.0500,-67.72,5.32
157,602.6,0.0500,-67.97,1.30
158,609.5,0.0500,-68.25,13.55
159,616.6,0.0500,-68.26,8.33
160,623.7,0.0500,-68.27,15.59
161,631.0,0.0500,-68.53,3.81
162,638.3,0.0500,-68.36,6.23
163,645.7,0.0500,-66.55,12.03
164,653.1,0.0500,-68.73,5.78
165,660.7,0.0500,-68.34,13.05
