#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,0.0500,-69.26,-7.45
2,101.2,0.0500,-69.91,8.88
3,102.3,0.0500,-67.66,5.12
4,103.5,0.0500,-70.82,-26.39
5,104.7,0.0500,-67.53,3.42
6,105.9,0.0500,-68.86,4.78
7,107.2,0.0500,-70.77,4.91
8,108.4,0.0500,-69.99,-2.12
9,109.6,0.0500,-67.61,-2.20
10,110.9,0.0500,-68.06,6.21
11,112.2,0.0500,-70.30,5.55
12,113.5,0.0500,-66.40,1.26
13,114.8,0.0500,-70.94,-2.83
14,116.1,0.0500,-69.05,4.43
15,117.5,0.0500,-68.58,-2.25
16,118.9,0.0500,-69.45,7.32
17,120.2,0.0500,-67.96,8.78
18,121.6,0.0500,-69.62,0.90
19,123.0,0.0500,-68.67,11.91
20,124.5,0.0500,-66.93,8.59
21,125.9,0.0500,-68.22,-5.85
22,127.4,0.0500,-71.17,5.13
23,128.8,0.0500,-71.15,-5.63
24,130.3,0.0500,-68.26,3.73
25,131.8,0.0500,-68.50,-5.57
26,133.4,0.0500,-70.29,3.69
27,134.9,0.0500,-67.50,-3.54
28,136.5,0.0500,-69.39,-13.27
29,138.0,0.0500,-65.59,8.58
30,139.6,0.0500,-68.10,8.93
31,141.3,0.0500,-71.60,11.38
32,142.9,0.0500,-68.85,-2.29
33,144.5,0.0500,-68.40,-9.08
34,146.2,0.0500,-68.69,-4.69
35,147.9,0.0500,-68.94,9.70
36,149.6,0.0500,-67.92,6.30
37,151.4,0.0500,-70.51,-3.89
38,153.1,0.0500,-69.79,4.54
39,154.9,0.0500,-69.66,-9.89
40,156.7,0.0500,-69.75,18.67
41,158.5,0.0500,-67.82,-11.98
42,160.3,0.0500,-67.19,1.92
43,162.2,0.0500,-68.83,-2.46
44,164.1,0.0500,-67.82,-8.20
45,166.0,0.0500,-68.12,17.54
46,167.9,0.0500,-68.05,3.82
47,169.8,0.0500,-69.48,11.64
48,171.8,0.0500,-69.04,-2.37
49,173.8,0.0500,-68.51,-0.74
50,175.8,0.0500,-66.25,7.21
51,177.8,0.0500,-67.49,6.09
52,179.9,0.0500,-67.69,2.96
53,182.0,0.0500,-67.58,-1.20
54,184.1,0.0500,-68.32,6.52
55,186.2,0.0500,-68.20,1.53
56,188.4,0.0500,-68.27,-0.45
